{'短评内容': '位置不错，环境尚可，没有入住或其他酒店，所以没有比较，下次到和田可以尝试再次入住，旁边有家拌面馆，据说还不错', '短评打分': 4}
{'短评内容': '地处市中心，购物方便。早餐一般，停车位太少，设施陈旧不推荐', '短评打分': 3}
{'短评内容': '酒店干净卫生', '短评打分': 5}
{'短评内容': '房间挺贵，早餐不包含，有些遗憾，不过房间还可以', '短评打分': 5}
{'短评内容': '酒店住起来很舒服', '短评打分': 5}
{'短评内容': '每次去和田必住酒店，附近比较安全。', '短评打分': 4}
{'短评内容': '不错  干净整洁。已经入住过好多次了', '短评打分': 5}
{'短评内容': '算是和田最好的酒店了，房间设施有些陈旧，卫生一般，和内地三星酒店差不多', '短评打分': 4}
{'短评内容': '很老的酒店了，不符', '短评打分': 2}
{'短评内容': '房间安静，有院子停车，距离闹市、夜市不远', '短评打分': 5}
{'短评内容': '不错，员工热情', '短评打分': 4}
{'短评内容': '住了和田几个比较好的，感觉这个性价比是最低的，不过早餐比较好吃！只是酒店设施有点陈旧！', '短评打分': 4}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '不错', '短评打分': 4}
{'短评内容': '早餐不错', '短评打分': 4}
{'短评内容': '和田目前最好的酒店，软件硬件都很好，值得推荐！', '短评打分': 5}
