{'短评内容': '早餐很好。', '短评打分': 5}
{'短评内容': '位置好，服务好，停车方便', '短评打分': 5}
{'短评内容': 'wifi超级慢', '短评打分': 5}
{'短评内容': '還可以，前臺接待都很快。', '短评打分': 3}
{'短评内容': '非常好，不能加床，有停车场，很大，适合带孩子一起住。在文化路，距离市中心很近，距离孔雀河也很近，非常方便。', '短评打分': 5}
{'短评内容': '还可以，开票 时间比较长', '短评打分': 5}
{'短评内容': '不错的可以', '短评打分': 5}
{'短评内容': '可以不错的', '短评打分': 5}
{'短评内容': '可以不错的', '短评打分': 5}
{'短评内容': '房间冷的和冰窖一样，打电话到前台让问客房部，客房部的人居然反问我为什么空调不热，最后又说我们操作的不对。空调根本就没有热风！！！', '短评打分': 3}
{'短评内容': '宾馆条件还行。就是宾馆电梯和餐饮电梯没有分开，上下楼非常不方便，人多且杂。还有携程价格还没有单位协议价便宜！不划算！', '短评打分': 5}
{'短评内容': '房间干净', '短评打分': 5}
{'短评内容': '非常满意，连续住了3天了，就是电视机顶盒不是高清的，美中不足', '短评打分': 3}
{'短评内容': '一切都满意，电视能换高清机顶盒就完美了', '短评打分': 3}
{'短评内容': '非常好，非常满意，继续住', '短评打分': 3}
{'短评内容': '非常好，非常满意，下次来还住这儿', '短评打分': 3}
{'短评内容': '很不错的旅行，下次还来，已住好多次;了', '短评打分': 3}
{'短评内容': '4星级，总体上不错，酒店设施挺全面，看着比较干净、舒服。行政房价有电脑，不巧，我那间的电脑是坏的，结果酒店给换了一间。', '短评打分': 5}
{'短评内容': '酒店设施不错。性价比优。', '短评打分': 3}
{'短评内容': '  这酒店总体来说还可以吧！  但是服务8态度很差！  电脑也不行最起码连个qq都上不了！   还要下载等了2个小时！  还有就是枕套上有点血迹就扣了我60元押金！  这太坑人！', '短评打分': 3}
{'短评内容': '非常不错，在这个价位上很值，房间干净，设施齐全。', '短评打分': 5}
{'短评内容': '酒店是新开的，酒店大堂挺宽敞，挺好，酒店房间各项设施不错，干净、整洁，床比较舒服，服务也较好，总体感觉还是不错的，值得推荐。', '短评打分': 5}
{'短评内容': '超值，非常好。', '短评打分': 3}
{'短评内容': '酒店是新开的，酒店大堂挺宽敞，挺好，酒店房间各项设施不错，干净、整洁，床比较舒服，服务也较好，总体感觉还是不错的，值得推荐。', '短评打分': 5}
{'短评内容': '该酒店房间有足够的空间，入住感觉很好。可能是酒店满员的原因，餐厅显的有点小。下次去库尔勒还将入住该酒店。', '短评打分': 5}
{'短评内容': '酒店早餐非常差', '短评打分': 3}
{'短评内容': '我已经是第4次住在这家酒店了，环境性价比都不错，这次酒店好像接了一个大型培训会议，全都是少数民族比较吵，所以在晚上12:30之前旁边客房噪音较大。但是酒店还是值得推荐的。', '短评打分': 5}
{'短评内容': '性价比很高，干净卫生设施新', '短评打分': 3}
{'短评内容': '库尔勒市较新的酒店，酒店设施较新，房间内各项设施较好，入住比较舒服，地理位置也较好，酒店服务挺好，印象比较好，推荐入住，但早上离店结账时间稍稍有些长，早上结账的客人多的缘故吧，总体挺好', '短评打分': 5}
{'短评内容': '非常干净而且价格便宜，只是对面广场的音乐要到12点才停止，让没有倒过时差的我难以适应', '短评打分': 5}
{'短评内容': '该酒店属于比较新的酒店，金三角商业区比较近，交通也比较便利，周边有很多吃饭的新疆特色的饭店，房间环境较好，比较干净，宽带网速也很快，价格较经济划算值得推荐！', '短评打分': 5}
{'短评内容': '帮爸爸他们订的酒店   他们住了之后评价很好  说房间很大 又新  价格又合理 才198 还四星标准', '短评打分': 5}
{'短评内容': '酒店的硬件不错，位置在城边上。服务不怎么样，前台一片混论，接待也不热情。如果以后生意走下坡路，绝对是服务造成的。感觉服务员没怎么接受过培训。', '短评打分': 5}
{'短评内容': '酒店较新房间环境不错，性价比较高，离中心商业街很近。', '短评打分': 3}
{'短评内容': '服务好，价格好谢谢', '短评打分': 3}
{'短评内容': '环境不错', '短评打分': 3}
{'短评内容': '很不错的酒店，房间大，设施较新，卫生干净，住得很舒服。价格也不高，值得推荐！', '短评打分': 5}
{'短评内容': '凌晨六点到的酒店，环境不错，没有标准间，住了三人间，房间宽敞，无异味，设施还可以', '短评打分': 3}
{'短评内容': '很不错的酒店，挺干净，装修也不错，就是早餐没什么水果，蔬菜也不太好', '短评打分': 3}
{'短评内容': '豪标房间很大  还不错  就是早餐一般', '短评打分': 3}
{'短评内容': '房间较宽敞，很不错。但是早餐不够好，没肉类，没水果，挺失望的。', '短评打分': 5}
{'短评内容': '酒店的网络不好，第一晚一直到凌晨2点还是无法顺利打开网页。', '短评打分': 5}
{'短评内容': '酒店不错，很干净，值得再次住宿。的确是按四星标准承建，唯一缺点就是最后一天不知为何服务员一大早就连敲两次门，闹的觉没睡好。\n', '短评打分': 5}
{'短评内容': '房间大，干净，安静！服务员也很礼貌周围饭馆很多方便，感觉不错，下次去库尔勒还会住那的！', '短评打分': 5}
{'短评内容': '很好…', '短评打分': 3}
