{'短评内容': '酒店住的人不是很多，有点吵。房间没有一次性拖鞋。', '短评打分': 3}
{'短评内容': '怎么说呢，地方是入周庄的桥的边上，方不方便就那样，毕竟我是穷游的，家庭楼房改造的客房，到处都是。客房其实到处都是，没必要非的觉得网上便宜', '短评打分': 4}
{'短评内容': '总体不错，平时128元，五一要380，老板赚钱，人多没得办法，出去耍就只能认了。我看其他店也差不多，怕没得住，现在人不是很多，大家消费都很理性。', '短评打分': 5}
{'短评内容': '老板很客气。吃饭打折。味道好', '短评打分': 5}
{'短评内容': '老板挺好，这家的条件在周庄算很好的了，推荐', '短评打分': 5}
{'短评内容': '家庭式的那种酒店，设施不多，只能说是干净整洁吧，关键是位置好，窗外的风景很好，尤其是早上起床的时候，太震撼了，一定要挑好房间', '短评打分': 4}
{'短评内容': '厕所不是很好', '短评打分': 5}
{'短评内容': '一般', '短评打分': 4}
{'短评内容': '就在桥头，位置还行，窗外是运河，就是屋里面霉味重，关键是便宜。', '短评打分': 3}
{'短评内容': '无发票', '短评打分': 3}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '一般一般，离得太远，态度不是很好', '短评打分': 3}
{'短评内容': '还可以，可是离景区有点远', '短评打分': 3}
{'短评内容': '不错。', '短评打分': 5}
{'短评内容': '房间还不错，就是牙刷掉毛，希望改进一下', '短评打分': 3}
