{'短评内容': '很冷，不想说了', '短评打分': 3}
{'短评内容': '火车站附近的旅店，称不上宾馆，去的时候因为下雨，屋内空气很潮湿，环境不佳，设施老旧。我预定的是独卫1.5m大床房，开的确是1.2m单人间。另外最不能忍受的是隔音效果太差，门口走路声一清二楚，总体来说，性价比太低，不推荐。', '短评打分': 3}
{'短评内容': '服务很好，很感谢！', '短评打分': 5}
{'短评内容': '没有早餐，房间隔音差，一楼的洗衣机早上6点多就开始轰轰洗衣服，被单床单阵旧。周边早餐难吃又贵，停车倒方便。毕竟价钱便宜，也能理解。', '短评打分': 2}
{'短评内容': '还不错，就是房间里没有水壶，还有一些蚊子！', '短评打分': 4}
{'短评内容': '他坑爹了，很差，服务态度很差，老板娘很丑，房间很差', '短评打分': 1}
{'短评内容': '名不符实，需大力改进', '短评打分': 2}
{'短评内容': '一如既往的好，每次出差都住在这里，服务好，交通方便，推荐！', '短评打分': 5}
{'短评内容': '服务还不错，环境一般，最主要的是离火车站很近', '短评打分': 5}
{'短评内容': '什么都太一般了，价格还算便宜', '短评打分': 4}
{'短评内容': '在阜阳这种城市，住的话，还算可以，……', '短评打分': 3}
{'短评内容': '环境一般，卫生条件一般般，不算干净。价格不高，也就那样吧。', '短评打分': 4}
{'短评内容': '挺不错得啊！！！！！', '短评打分': 3}
{'短评内容': '这次出了不太大的小问题，我明明入住了，结果艺龙却告知要确定自己是否入住，也幸亏自己记得住房间号，不然的话又要瞎了。。。啥情况啊？', '短评打分': 3}
{'短评内容': '差评，本来在网上定的房间58元起返五元去到后老板说那个房间没单独卫生间 非让我在加20说是带卫生间的 。由于是夜晚 我一个女生刚下了火车 也不熟悉周边 就又加了二十，房间还特别小真是坑，不推荐', '短评打分': 3}
{'短评内容': '还不错，就是电脑太不给力了', '短评打分': 5}
