{'短评内容': '破旅馆 价格贵 环境差', '短评打分': 1}
{'短评内容': '环境设备极差就算了   前台那女的态度恶劣  真的是特别差', '短评打分': 2}
{'短评内容': '虽然便宜，但是牙刷，牙膏都要另算钱，加起来就没那么合算了！', '短评打分': 3}
{'短评内容': '酒店设施简单了点，招待所性质，但便宜位置也不错', '短评打分': 4}
{'短评内容': '只能说一般吧', '短评打分': 3}
{'短评内容': '设施稍显落后，作为普通的旅馆也算可以了。', '短评打分': 4}
{'短评内容': '蚊子太多一宿基本没睡了', '短评打分': 3}
{'短评内容': '帮朋友订的', '短评打分': 5}
{'短评内容': '帮别人订的', '短评打分': 5}
{'短评内容': '还行吧', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 4}
{'短评内容': '有点被骗的感觉  网上订好的  到了说没有', '短评打分': 3}
{'短评内容': '一点都不好，和前台要吹风机，没说完就挂了，和价钱一点不符合', '短评打分': 1}
{'短评内容': '还可以.离我出差的位置还可以....就是边上吃饭的少了点', '短评打分': 5}
{'短评内容': '宾馆离机场很近，打车起步价就到了，离家佳源超市很近', '短评打分': 3}
{'短评内容': '一般般啦，不过价格还不算太贵。洗手间洗浴和厕所米有分开。。', '短评打分': 1}
{'短评内容': '虽然住的特价房，但面积挺大也可以上网只是没有电梯', '短评打分': 3}
{'短评内容': '住一晚还可以吧，然后有送到机场的服务（开始还不愿意，我说是因为有这个服务才来的住的，所以才答应第二天送到机场），，房间巨大，我的那间那隔楼，，就是不整洁，然后洗手间马桶水一直流估计是坏了，吵死了，，一点也不商务啊', '短评打分': 1}
{'短评内容': '一般的很', '短评打分': 3}
