{'短评内容': '设备有点老了 还好吧 这个价格', '短评打分': 4}
{'短评内容': '不错 值得入住', '短评打分': 5}
{'短评内容': '早餐还好，周边有旅游景点，设施不错', '短评打分': 5}
{'短评内容': '还行', '短评打分': 5}
{'短评内容': '还不错，设施完整，还有个电脑小孩子的玩具。早餐也还可以。', '短评打分': 5}
{'短评内容': '比前台的价格还贵30块钱&hellip;&hellip;', '短评打分': 2}
{'短评内容': '太干没法睡', '短评打分': 2}
{'短评内容': '太干meifashui！', '短评打分': 2}
{'短评内容': '太干了，睡眠质量不好！', '短评打分': 2}
{'短评内容': '成熟的酒店', '短评打分': 3}
{'短评内容': '挺干净的', '短评打分': 5}
{'短评内容': '非常不错', '短评打分': 5}
{'短评内容': '感觉酒店一般。。。', '短评打分': 3}
{'短评内容': '位置一般，不过住宿不错，早点也较丰盛', '短评打分': 5}
{'短评内容': '卫生条件差', '短评打分': 3}
{'短评内容': '很舒服，早餐不错。', '短评打分': 5}
{'短评内容': '很好哦', '短评打分': 3}
{'短评内容': '不错的酒店，就是无法刷卡，早餐也蛮好吃的，还有按摩椅', '短评打分': 5}
{'短评内容': '房间还可以，但只靠空调取暖，保持不了室内暖气。', '短评打分': 3}
