{'短评内容': '订的标间，升级成套房，宽敞、舒服！', '短评打分': 5}
{'短评内容': '所谓的大床房居然是临时叫人拼起来的', '短评打分': 4}
{'短评内容': '装修有点旧', '短评打分': 4}
{'短评内容': '装修有点旧', '短评打分': 4}
{'短评内容': '早餐还不错', '短评打分': 5}
{'短评内容': '早餐没问没吃，浴缸没的堵住，房间一进去有点异味，总体来说还好吧', '短评打分': 4}
{'短评内容': '金东的商品一直值得大家拥有', '短评打分': 5}
{'短评内容': '垃圾酒店，一群垃圾货，完全忽悠人的！', '短评打分': 1}
{'短评内容': '服务不错，感觉很好，比较干净，很喜欢的酒店，很美好的旅程。交通也比较方便的。价格也比较便宜。下次会继续来住。', '短评打分': 5}
{'短评内容': '入住时直接给升了级，房间很大，还有一个小客厅，很赞！', '短评打分': 5}
{'短评内容': '位置是不错，就是呵呵了', '短评打分': 4}
{'短评内容': '酒店内部还是比较老旧', '短评打分': 4}
{'短评内容': '房间新，大，超值', '短评打分': 5}
{'短评内容': '高楼层，安静。电视机不能开启，因仅1晚，故未找总台。这是一个细节，需要改善。', '短评打分': 4}
{'短评内容': '酒店出行方便，房间设施齐全，价格还合适', '短评打分': 5}
{'短评内容': '位置不错，出行方便 ，不远处就能看海 ，吃的也方便 ，价格适中，值得推荐，目前好像换了老板，在装修大堂，装好后可能就更不错了。 。', '短评打分': 5}
{'短评内容': '酒店位置还可以，出行比较方便，服务不错，设施有些陈旧', '短评打分': 4}
{'短评内容': '在装修很不方便啊', '短评打分': 5}
{'短评内容': '很让人惊喜的是房间不小，床很大。价格公道，不错不错', '短评打分': 5}
{'短评内容': '酒店不错，交通方便，服务也好！就是早餐花样少点 ', '短评打分': 5}
{'短评内容': '满意', '短评打分': 3}
{'短评内容': '23402345678不好去玩儿体育去玩儿体育io  观后感', '短评打分': 1}
{'短评内容': '地点好，可是服务一般,装修比较旧式，其他还不错', '短评打分': 5}
{'短评内容': '位于离吉大商业区，闹中取静，酒店很干净，也比较实惠。', '短评打分': 5}
{'短评内容': 'The breakfast is totally suck. The service suck too.', '短评打分': 1}
{'短评内容': '服务效率比较高。房间配置包括日常用品配备齐全。', '短评打分': 5}
{'短评内容': '酒店的地理位置很好，靠近市中心。距离珠海的情侣路非常近。', '短评打分': 5}
{'短评内容': '房间的配置硬件设施标准很高，尤其是卫生间的配置。舒适度很好的一家酒店。', '短评打分': 5}
{'短评内容': '中天酒店很安静，休息睡眠很好。房间卫生也很好，很干净。', '短评打分': 5}
{'短评内容': '酒店位置好，出去玩和逛都特别方便！周围环境很好！', '短评打分': 5}
{'短评内容': '离免税商场很近，交通十分便利，还有设施还比较齐全，入着还不错。', '短评打分': 5}
{'短评内容': '卫生条件挺好的，房间干净整齐，酒店服务也很温馨，总的来说很理想。', '短评打分': 5}
{'短评内容': '房间设施太陈旧，房间地毯太脏，其他方面还能说的过去。', '短评打分': 5}
{'短评内容': '位置可以，价格适中。', '短评打分': 5}
{'短评内容': '早餐不敢恭维，那豆浆简直就不是豆浆。网上订和前台问价几乎一样，虽然房间还算可以。', '短评打分': 1}
{'短评内容': '地理位置好，具体商业区免税店近。是个老酒店，性价比不错。', '短评打分': 5}
{'短评内容': '卫生不错,早餐也挺满意,不过住了几天一直上不了网,但一直没有人帮我解决,服务小姐帮我转他们的技术人员,但一直没有人回应.', '短评打分': 5}
{'短评内容': '早餐好难吃!!就几个红薯!', '短评打分': 1}
{'短评内容': '酒店位置不错，离九洲港和拱北都不算远，去深圳和澳门都比较方便。早餐非常的一般，种类太少！', '短评打分': 5}
