{'短评内容': '出差路过广州，晚上在朋友家附近找落脚处，这间商务酒店很干净，可惜来得晚了没有带外窗的房间，好在室内卫生还不错。对于出差严格限制住宿标准的商务人士是不错的选择', '短评打分': 4}
{'短评内容': '早餐太差了', '短评打分': 5}
{'短评内容': '还行', '短评打分': 5}
{'短评内容': '房间少，价格偏高，没有窗户，有霉味，空调系统不行。', '短评打分': 3}
{'短评内容': '早餐很好的', '短评打分': 5}
{'短评内容': '非常满意', '短评打分': 5}
{'短评内容': '官方的大概会斤斤计较', '短评打分': 5}
{'短评内容': '设施一般，性价比差。', '短评打分': 2}
{'短评内容': '房间设施一般，没窗户携程也不注明，简直啃爹。', '短评打分': 2}
{'短评内容': '此次 v 不扭扭捏捏你那么快吗', '短评打分': 5}
{'短评内容': '看懂游戏运动一点一滴运动一下', '短评打分': 5}
{'短评内容': '不错的选择', '短评打分': 5}
{'短评内容': '整个风格比较阴暗，就在酒店用品城旁边，机场大巴很方便，有7-11、还含不错早餐，总体满意', '短评打分': 4}
{'短评内容': '房间窗户是假窗，订房时千万小心避免上当。', '短评打分': 3}
{'短评内容': '性价比不高，而且交通不便，房间床够大，床品舒服。洗手间也够宽敞。', '短评打分': 4}
{'短评内容': '房间空调不给力', '短评打分': 4}
{'短评内容': '性价比超高', '短评打分': 4}
