{'短评内容': '卫生干净整洁，服务挺好，每天都给打扫。', '短评打分': 5}
{'短评内容': '第三次住了，依旧好评。就是前台的大姐，电脑操作不行，我让她在电脑上确认我已入住，可这姐姐不会，算了，有房住就行了；还有，我的订单是付过款的，不用再交押金，可大姐非要交押金，交就交吧，都住了几回了，环境还不错，离地铁站也不是太远', '短评打分': 5}
{'短评内容': '酒店闹中取静，房间很干净，布置的也很温馨，相比同档次的酒店，性价比很高。服务员也很热情，下次还会入住。', '短评打分': 5}
{'短评内容': '房间挺干净', '短评打分': 5}
{'短评内容': '地理位置得天独厚', '短评打分': 5}
{'短评内容': '没有沐浴露，电视老旧，不清晰，', '短评打分': 5}
{'短评内容': '早餐比较简单', '短评打分': 5}
{'短评内容': '服务可以，干净整洁，安静，就是空调太差，比风扇还差劲', '短评打分': 5}
{'短评内容': '环境不错，服务很好，最主要的是十一旅游季节通过携程预订不涨价，赞一个。酒店位置交通方便，非常适合中转注意！', '短评打分': 5}
{'短评内容': '老房子，设备都很旧了，关键热水还没有', '短评打分': 4}
{'短评内容': '酒店位置好，紧挨着洋货市场', '短评打分': 4}
{'短评内容': '每次路过塘沽都是住这的 门口停车场有保安不错～价格不贵离洋货市场就一条马路，空调有点响，离轻轨有点进 容易失眠的朋友考虑下', '短评打分': 5}
{'短评内容': '不错，很干净，值得推荐。', '短评打分': 5}
{'短评内容': '不错，很干净，值得推荐。', '短评打分': 5}
{'短评内容': '一般般', '短评打分': 1}
{'短评内容': '噪音太大....', '短评打分': 2}
{'短评内容': '还不错', '短评打分': 4}
{'短评内容': '环境不错！干净舒适，早餐很丰盛！值得推荐！', '短评打分': 3}
{'短评内容': '室内整体不错，饮水机的水不一定多久换一次呢！其他还好，前台可能刚与难缠的客人交涉过，态度不是特别好，只住一晚刚好赶上大爆炸，有被吓到啊！还有一个人住标间，应该有两份自助早餐啊，虽然一张就够了，但还是觉得亏了。', '短评打分': 4}
