{'短评内容': '前台服务好，酒店环境优美', '短评打分': 5}
{'短评内容': '环境优雅，设施完备。服务好', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '房间很宽敞，环境很优美！', '短评打分': 5}
{'短评内容': '环境好，房间超级大，安静空气清新，度假酒店，去散步方便', '短评打分': 5}
{'短评内容': '很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好', '短评打分': 5}
{'短评内容': '在近郊，酒店性价比不错，驾车入住比较方便。房间够大，设施齐全，就是有点破败了，在旁边食街的饭店已经倒闭，要吃饭就得开车出去附件的农家乐或者中心城区。早餐量足，就是档次不高，普通早餐。', '短评打分': 4}
{'短评内容': '酒店环境真的很不错，房间很大很舒服。', '短评打分': 5}
{'短评内容': '酒店服务很好，环境不错', '短评打分': 5}
{'短评内容': '服务态度很好', '短评打分': 5}
{'短评内容': '酒店性价比很高，环境和服务真是一流，设施也齐全，酒店就在龙舟山隧道附近也不难找，爱运动的朋友可以试下她家的健身房和绿跑活动，第二天的早餐也挺好的，爱健康的我，最喜欢是现榨的果汁，还有服务员介绍的班尼迪克蛋，比较西式的口味，整体不错，下次还会入住', '短评打分': 5}
{'短评内容': '房间非常大，非常满意', '短评打分': 5}
{'短评内容': '希望进一步提升品质', '短评打分': 4}
{'短评内容': '总体不错，就是远离市区。还会选择它。', '短评打分': 4}
{'短评内容': '酒店在汽车总站附近，距离市中心10钟车程，环境安静晚上休息非常好，客房设施配套完善，热水充足水压非常好，房间卫生好，前厅服务好，进去酒店的路基本修好，再也不用那么麻烦兜圈，值得再次入住。', '短评打分': 5}
{'短评内容': '酒店本身挺好的，房间很大带阳台，洗手间大且干湿分开，热水一开就有，这些是赞的。大堂和房间的灯光都感觉很昏暗。因为酒店旁的餐厅停业，前台推荐去五邑人家晚餐，环境气氛果然不错。碧桂园旁就是大西坑水库，环境好还免费，有免费停车场，里面有个知青旧址，可以照相怀旧一下。九十分钟应该可以走完全程5800米的水库环湖路，运动量刚好。唯一不足是小区周边正建马路，烟尘滚滚，进出稍有影响。', '短评打分': 5}
{'短评内容': '很好，很安静，基本来都是住这里。挺方便的。', '短评打分': 5}
{'短评内容': '酒店不错，环境幽静，房间够大。', '短评打分': 5}
{'短评内容': '适合一家大小悠闲型度假，吃饭方便，门前的顺之味酒店出品还行。', '短评打分': 5}
{'短评内容': '环境好，休息好', '短评打分': 3}
{'短评内容': '入住该酒店,发觉该酒店客房的房间大,设施齐全,干净,卫生,服务周到.但因时间的关系,没去体验游泳池的设施.下次到江门玩,还是入住该酒店的', '短评打分': 5}
{'短评内容': '酒店虽已显旧，但仍喜欢凤凰酒店的大房大阳台，周边生活设施如更配套更佳…', '短评打分': 3}
{'短评内容': '非常好的酒店，   旁边有一个很大的公园', '短评打分': 5}
{'短评内容': '环境不错，人少，比较清静，值得推介给朋友，下次还会再来', '短评打分': 5}
{'短评内容': '环境优雅，适合居家旅行。。。...............\n推荐', '短评打分': 5}
{'短评内容': '环境不错，服务也好，地点也很容易就能找到，有充足的停车位置。', '短评打分': 5}
{'短评内容': '酒店很好，房间大，很舒服。', '短评打分': 3}
{'短评内容': '环境优雅，安静，设施齐全，服务周到，去江门旅游住所最佳选择，虽然离汽车总站比较近，但是距离市区比较远，出入不是好方便。', '短评打分': 5}
{'短评内容': '设施有点旧，不过环境很好，有个游泳池，很不错。不过交通不方面。', '短评打分': 5}
{'短评内容': '虽然位置较偏，但是换回的却是那宁静和清新的环境，房间宽敞，设施完善，适合休闲度假居住，下次再来', '短评打分': 5}
{'短评内容': ' 已入住', '短评打分': 3}
{'短评内容': '实至名归，确实是一家静得可爱，静得让人喜欢的酒店！有机会下回还来。。。', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 3}
{'短评内容': '很一般,在江门这个价钱可以住得超好的酒店.蚊子多,设备也旧,没有一样满意的.', '短评打分': 1}
{'短评内容': '朋友们都认为很好，环境不错！下次还会再订。。。', '短评打分': 5}
{'短评内容': '酒店环境好，服务周到', '短评打分': 3}
{'短评内容': '给客户订的，酒店环境不错，但是早餐做得不太好', '短评打分': 5}
{'短评内容': '第二次入住，感覺都很好。下次还会再來住。', '短评打分': 5}
{'短评内容': '很不错的一家度假酒店，性价比很好。', '短评打分': 3}
{'短评内容': '酒店的地理位置有些偏，但是那边环境很好，适合度假入住。', '短评打分': 5}
{'短评内容': '周围环境很好，绿化的很好。设施配置不是很新。', '短评打分': 5}
{'短评内容': '环境幽静，空气舒适清新，度假的很好选择。', '短评打分': 5}
{'短评内容': '酒店的环境舒适，硬件设施齐全，氛围也很好。', '短评打分': 5}
{'短评内容': '酒店的设施配置很完善，环境卫生都很好。', '短评打分': 3}
{'短评内容': '对预定的效率很满意，房间也很舒适。', '短评打分': 3}
{'短评内容': '很安静的一家酒店，设施配置有些陈旧，卫生还不错。', '短评打分': 5}
{'短评内容': '很安静的一家酒店，环境设施都很不错，硬件设施也很达标。', '短评打分': 5}
{'短评内容': '房间很大，真的如介绍所说的50平米，阳台也挺大的。但经过隔壁房，好像小很多！是我比较幸运？！', '短评打分': 5}
{'短评内容': '住得还不错，就是找好吃的不容易。', '短评打分': 5}
{'短评内容': '房间很大很舒服！早晨坐在露台喝喝咖啡很写意！', '短评打分': 3}
{'短评内容': '很大的房间！坐在对着游泳池的阳台喝喝咖啡、喝喝茶，好休闲、好写意！最喜欢阳台！', '短评打分': 5}
{'短评内容': '房间较大，但卫生等各方面条件相对其他碧桂园酒店差，刚进去有点异味', '短评打分': 1}
{'短评内容': '我們訂的是豪華客房。房間很大很漂亮。地毯軟綿綿的，踏上去非常舒適。^0^衛生間有淋浴和浴缸，很開心﹗﹗﹗有露台，外面還有2張椅子和一張小枱，可惜我們去的時候下雨，所以不能使用，只是趁第二天早上有少許陽光時，在露台上拍了照。^0^&lt;br /&gt;\n非常喜歡這間酒店，唯一不好的是位置較偏辟，回酒店前一定要買食物，不然晚上沒夜宵吃啦﹗', '短评打分': 5}
