{'短评内容': '掌柜很热情，考虑的很周到，谢谢', '短评打分': 5}
{'短评内容': '一般把，不怎么喜欢', '短评打分': 1}
{'短评内容': '一般般吧', '短评打分': 4}
{'短评内容': '定的是圆房，没有了圆房，老板也不跟我们说。建议亲们订的时候先看了房间再确定要不要订', '短评打分': 4}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '老板娘是个美女 很热情 又帮我们买半价票又帮我们酒吧打折 下次还会选这家', '短评打分': 5}
{'短评内容': '挺不错的', '短评打分': 5}
{'短评内容': '还行，老板娘人挺热情的！', '短评打分': 4}
{'短评内容': '老板娘人特别的好！客栈住着非常舒适！赞！！！', '短评打分': 5}
{'短评内容': '首先店家人很好，服务也很到位，虽然没有停车场，但店家也帮忙拿行李，虽说是景区内但离检票口还有点距离，不推荐真正在景区里的客栈，因为晚上酒吧会更吵。总的来说都很不错啦，只是当天下大雨，玩得还不算尽兴', '短评打分': 5}
{'短评内容': '总体还可以，老板娘服务态度也很好。就停车停在马路边早上有罚款单了', '短评打分': 5}
{'短评内容': '实在是太“小巧”了 性价比一般 服务 环境 卫生也只能说一般', '短评打分': 1}
{'短评内容': '我已经入住了哦', '短评打分': 3}
{'短评内容': '长春聚缘假日商务宾馆的床太硬了，睡得很不舒服', '短评打分': 1}
{'短评内容': '环境挺好的,很暖和干净.就是一点折扣也没有.提前预订也没有折扣.', '短评打分': 5}
{'短评内容': ' 环境设施很好但不能打外线电话 结账时间比别人早2个小时', '短评打分': 3}
{'短评内容': '酒店位置还可以，早餐太简单，房间隔音不行', '短评打分': 1}
{'短评内容': '离西安大路很近，很方便，房屋有点冷，不能2点退房不太好！', '短评打分': 5}
{'短评内容': '服务很热情，走的时候一再说哥你下次再来，不过我住的体验房我419元，性价比一般了。。。', '短评打分': 3}
{'短评内容': '干净，幽静，不错，下次还会住。', '短评打分': 3}
{'短评内容': '不错的感觉', '短评打分': 3}
{'短评内容': '环境不错', '短评打分': 3}
{'短评内容': '酒店的环境不错，并且位于中心位置。相对来说，还是很不错。', '短评打分': 5}
