{'短评内容': '马马虎虎', '短评打分': 3}
{'短评内容': '物有所值，卫生安全。', '短评打分': 5}
{'短评内容': '早餐不错，种类齐全', '短评打分': 5}
{'短评内容': '设备太旧了，卫生还可以，一般吧', '短评打分': 3}
{'短评内容': '不错，还可以。停车位比较紧张', '短评打分': 5}
{'短评内容': '还行吧，主要是离医院近，两百多一晚已经算实惠了，虽然设备有些陈旧，倒也算干净，睡的也还好，陪家人看病也算方便', '短评打分': 5}
{'短评内容': '京东的服务很好啊。', '短评打分': 5}
{'短评内容': '很喜欢宝贝比想象中的还好给好评', '短评打分': 5}
{'短评内容': '服务水准亟待提升。', '短评打分': 2}
{'短评内容': '宾馆设施有些陈旧，房间小，电视不是液晶，空调噪音大，不过地角好，出行方便。', '短评打分': 5}
{'短评内容': '服务态度相当一般，以后不会再选择。', '短评打分': 2}
{'短评内容': '价格高，房间小，电视每次都要叫服务员，才能开启，而且从未见过这么差的。', '短评打分': 2}
{'短评内容': '宾馆的地理位置十分优越，出入比较方便离地铁口很近。', '短评打分': 4}
{'短评内容': '房间够大，住的挺舒服', '短评打分': 5}
{'短评内容': '每次父母去上海看病都喜欢住在长航宾馆，安静、温馨、安全，尤其离医院近，非常方便，虽然在其他好的宾馆也住过，但比较后还是长航宾馆好。', '短评打分': 5}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '主要就是离医院近 环境设施真的很一般', '短评打分': 3}
{'短评内容': '在上海位置佳，地铁口，出行方便，服务，卫生，设施等也不错，值得推荐。下次来上海还要住这里。服务员都很不错，待人热情。', '短评打分': 4}
{'短评内容': '酒店位置不错，靠近地铁站，周围吃东西也方便，酒店整体不错，房间有点狭小，房间卫生方面做得还不错，设施还行只是有点旧了，服务人员态度很好，只是酒店后面有一个大工地，施工时比较吵。', '短评打分': 4}
{'短评内容': '酒店交通位置不错，毗邻地铁站，周边地区餐饮方便，房间卫生方面做得还不错，设施也还行只是有点旧了，服务人员态度好，这个价格略偏高。', '短评打分': 3}
{'短评内容': '一般般了', '短评打分': 4}
{'短评内容': '没住也收钱，坑', '短评打分': 1}
{'短评内容': '酒店靠近上海肿瘤医院，就医很方便。环境也比较安静。', '短评打分': 5}
{'短评内容': '酒店靠近肿瘤医院，就医方便。环境也比较安静。', '短评打分': 5}
{'短评内容': '酒店还不错，距离东安路地铁站很近，方便。', '短评打分': 5}
{'短评内容': '非常实惠的一家宾馆，设施也完备，餐厅的粤菜味道不错。', '短评打分': 5}
{'短评内容': '酒店离地铁较近,交通较方便. 卫生状况较好, 普通间较小. 价格也较实惠.', '短评打分': 5}
{'短评内容': '酒店离地铁较近,交通较方便. 卫生状况较好, 普通间较小. 价格也较实惠.', '短评打分': 5}
{'短评内容': '酒店离地铁较近,交通较方便. 卫生状况较好, 普通间较小. 价格也较实惠.', '短评打分': 5}
{'短评内容': '很安静！', '短评打分': 3}
{'短评内容': '酒店整体不错！！配套娱乐设施较多！！早餐较丰富！！', '短评打分': 5}
{'短评内容': '靠近医院方便，装修有点旧了，卫生和服务一般，尚待改进', '短评打分': 5}
{'短评内容': '补充一句哦，谢谢了。补充一句哦，谢谢了。补充一句哦，谢谢了。', '短评打分': 5}
{'短评内容': '第一，位置非常的好，很方便。\n第二，服务非常的好，很热情。\n第三，卫生非常的好，很干净。', '短评打分': 5}
{'短评内容': '宾馆地理位置很好，卫生一般，前台态度不好', '短评打分': 5}
{'短评内容': '长航宾馆环境好优，服务好。', '短评打分': 3}
{'短评内容': '上海长航宾馆条件不错。', '短评打分': 3}
{'短评内容': '很好，很温馨的地方，地毯的感觉很好，空调也很好。', '短评打分': 5}
{'短评内容': '95年酒店刚刚开业就住过，当时的价格和现在也就差三，四十块钱，真实没想到。酒店还是挺不错的，服务业很好。', '短评打分': 5}
{'短评内容': '不知如何评价，一个字，爽！', '短评打分': 3}
{'短评内容': '酒店一般，卫生一般，服务差', '短评打分': 3}
{'短评内容': '设施较旧，空调不起作用，房间灯也有不亮的。睡觉还安静。服务员态度一般。', '短评打分': 3}
{'短评内容': '房间很小、还有八脚虫、隔音差、而且网速非常非常慢，看一部电影花了我大概4个小时，反正我唯一满意的地方是卫浴还是很干净，洗澡水流也很舒服', '短评打分': 1}
{'短评内容': '酒店还行，干净卫生，安静，房间隔音好，适合深度睡眠。顺着地铁4号线东安路站2号出口的方向直走200米就能看到。\n\n结账也快，不用等。', '短评打分': 5}
{'短评内容': '屋内设施很陈旧，很有年头的酒店，但是床单比较干净。', '短评打分': 1}
{'短评内容': '房间中老是看到蚂蚁在爬。房间狭窄。要求品质的朋友就不建议入住了。电梯很陈旧，老是会夹人。环境还是比较清静，地铁很近。', '短评打分': 1}
{'短评内容': '如果你要求实惠经济，还是可以选择的。酒店设施有点旧，卫生基本可以。房间狭长。环境比较安静。', '短评打分': 5}
{'短评内容': '帮朋友订的房间，他说还可以，住的挺好的~', '短评打分': 5}
{'短评内容': '酒店较旧，卫生一般，隔音不好，但位置好，价钱也不贵，故仍然推荐。', '短评打分': 5}
{'短评内容': '宾馆的环境不错，室内也挺干净的，地理位置好出行特别方便。', '短评打分': 5}
{'短评内容': '设施有点陈旧,交通还是比较方便的，离上海市肿瘤医院比较近。', '短评打分': 1}
{'短评内容': '位置闹中取静，房间干净，服务好，周边的餐饮很多，海鲜店的粥很好', '短评打分': 5}
{'短评内容': '价格还可以，就是酒店较老了，电视还是老电视。', '短评打分': 5}
{'短评内容': '幾年前住過,當時覺得還算可以,這次卻令我滿失望的,房間的裝潢還能見到牆面剝落,房間內包括寢具那些都是一股濃厚的煙味........', '短评打分': 1}
{'短评内容': '同上次一样哈哈\n同上次一样哈哈\n同上次一样哈哈\n同上次一样哈哈\n同上次一样哈哈\n同上次一样哈哈\n', '短评打分': 5}
{'短评内容': '同上次一样哈哈\n同上次一样哈哈\n同上次一样哈哈\n同上次一样哈哈\n同上次一样哈哈', '短评打分': 5}
{'短评内容': '酒店设施条件还好，离地铁站很近，出行比较方便。', '短评打分': 1}
{'短评内容': '安静，交通方便，房间不大，地毯需要清洗。', '短评打分': 5}
{'短评内容': '方便 服务一般 价格大众 \n方便 服务一般 价格大众 \n方便 服务一般 价格大众 ', '短评打分': 5}
{'短评内容': '宾馆陈旧，窗帘布满破洞，光线透过破洞撒入房间。总台服务员态度不友好，语言生硬。', '短评打分': 1}
{'短评内容': '服务一般，就是离上海的肿瘤医院进，房价合适，就是希望早上能有早餐。。', '短评打分': 5}
