{'短评内容': '非常方便的地方', '短评打分': 5}
{'短评内容': '看在商务标间是1.5米两张床的份上订的，前台妹妹服务态度不好，有点不耐烦的样子，房间里面墙纸都剥落了，看上去脏兮兮的', '短评打分': 3}
{'短评内容': '住在地税局对面，闹市区，出门吃饭很方便', '短评打分': 5}
{'短评内容': '总体服务卫生还可以。', '短评打分': 5}
{'短评内容': '太差了，携程推荐的不值，价高设施很差', '短评打分': 1}
{'短评内容': '还可以，标间床蛮大', '短评打分': 4}
{'短评内容': '特别好！完全在期待值之上的酒店！宾馆标间是两张1米5的床 睡得特别舒服 服务质量也很高 前台的美女很热情 且宾馆所处位置也很好 价格也便宜 非常满意', '短评打分': 5}
{'短评内容': '麻将机就是没花，其他都好', '短评打分': 3}
{'短评内容': '双床床比较大，都挺好', '短评打分': 3}
{'短评内容': '房间太小了，里面摆满消费品!不干净，价格不符', '短评打分': 3}
{'短评内容': '不好不好不好不好不好 差差差差差差', '短评打分': 3}
{'短评内容': '真心便宜又实惠，很干净，值得推荐！', '短评打分': 3}
{'短评内容': '房间大，干净整洁，边上饭店商店较多很方便，但设施较陈旧', '短评打分': 5}
{'短评内容': '环境蛮好的，服务就是一般般了，交通比较便利', '短评打分': 2}
{'短评内容': '还不错，房间设施有点老旧，其它都还好', '短评打分': 4}
