{'短评内容': '么看咳咳咳额么么么么么咳咳', '短评打分': 5}
{'短评内容': '咳咳咳哇卡哇卡', '短评打分': 5}
{'短评内容': '同上', '短评打分': 4}
{'短评内容': '酒店旁边就是绵阳市医院，酒店的窗户和房门比较不隔音，晚上睡觉会稍微有一点吵。洗澡水非常小。', '短评打分': 4}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '一个人出来旅行，走到这里想休息一下，就在网上随便订了一个房间！去办理的时候前台接待服务很不错，挺温柔！前台美女所有事情都有交代清楚，还含有早餐！进到房间，灯光正是我喜欢的柔和式灯光，不会太亮，房间布局也很不错，而且窗户外面就是一个好像叫做清真寺的地方，感觉挺好的！出门觅食，问了前台美女，哪里有吃的，她给我说得很仔细，一边是小吃街，一边是火锅中餐！地理位置很好，交通很方便，吃得也很多，逛也比较多选择', '短评打分': 5}
{'短评内容': '非常好  ', '短评打分': 5}
{'短评内容': '斤斤计较今年那你呢', '短评打分': 5}
{'短评内容': '哈哈哈还好还好', '短评打分': 5}
{'短评内容': '挺好', '短评打分': 5}
{'短评内容': 'wifi 太慢了，环境也就那样，幸好只住一晚', '短评打分': 3}
{'短评内容': '在这酒店总得住了半个月，挺好的，房间大而且价格还不贵，房间无线网出问题了，前台立刻给我还了一间，很好很棒，', '短评打分': 5}
{'短评内容': '感觉还不错，卫生条件也挺好。但房间内灯光有点暗，房间色调太暗。', '短评打分': 5}
{'短评内容': '可以的  环境挺好', '短评打分': 5}
{'短评内容': '环境非常好，前台服务很专业，小妹也很漂亮', '短评打分': 5}
{'短评内容': '很不错', '短评打分': 5}
{'短评内容': '房间设施、卫生都挺好，电视能点播电影。房间布局像迷宫。', '短评打分': 4}
{'短评内容': '挺好的', '短评打分': 4}
{'短评内容': '房间里边很干净，房间也很清净，酒店服务态度一般般，挨着绵阳市中心医院，出行也非常的方便，周边有条小吃街，有好多绵阳美食，楼下有超市水果店，还可以，但是早餐实在是不可恭维，有点难吃！', '短评打分': 5}
{'短评内容': '算市中心吧 吃饭什么的很方便！空调很热！关键是价格便宜啊！不足是隔音不好！', '短评打分': 5}
{'短评内容': '价格比较适中，酒店虽然在医院旁边，但是房间里面还是比较安静的。房间比较大，床还可以。酒店服务态度很好，值得推荐', '短评打分': 4}
{'短评内容': '还可以，干净', '短评打分': 4}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '环境好，价格好，建议入住', '短评打分': 5}
{'短评内容': '酒店不错，服务不错。环境也可以', '短评打分': 5}
{'短评内容': '1、地理位置还是比较好找的，在绵阳市中心医院急救中心街对面，离绵阳的商业中心还是比较近的，走路5分钟后可以到一个富乐百货\n2、酒店总体不错，房间内部干净整洁，但是没有单独配电吹风，要打6111叫服务员送，这点不好。所有房间临街（有2个房间不临街，但是没有窗户），街上车来车往还是比较多，高峰时段会堵车（因为临近医院嘛），但是基本不是太吵，除了个别不良司机按喇叭时比较讨厌。\n3、酒店提供停车位，白天可', '短评打分': 5}
{'短评内容': '床很软很舒服，装修现代，设施较新', '短评打分': 3}
{'短评内容': '除了电梯莫名的闷热加客房走廊太过于汗臭脚臭其他还是不错的 希望多注意空气质量', '短评打分': 5}
{'短评内容': '挨着医院，中央空调老了，发出的声音很大，279的品质房设施一般', '短评打分': 1}
{'短评内容': '酒店服务很好！就是毛巾等用品太破旧，希望能重新更换！', '短评打分': 3}
{'短评内容': '整理感觉不错，就是品质房和时尚房房间较少，好像只有2间。房间楼层较低，所以白天开窗就比较吵。', '短评打分': 5}
