{'短评内容': '酒店周边有很多店，交通便利', '短评打分': 5}
{'短评内容': '这个价格只能说一般', '短评打分': 4}
{'短评内容': '5楼真的好吵，睡不着觉，差评', '短评打分': 3}
{'短评内容': '结婚给伴郎预定的', '短评打分': 5}
{'短评内容': '我的想法很简单，多赚点钱，找一个因为我的钱而爱上我的人，而不是单纯的看上我的温和、正直、善良、智慧与帅！', '短评打分': 5}
{'短评内容': '太差了！预订不到，才入住这了，太老装修各方面都太不值得的一提，什么设备都很老了，还是石详路的瑞来克斯好，那边很欧式感觉比这高大上多了！老板好装修了！', '短评打分': 1}
{'短评内容': '东西不错，反正没啥问题，稍微有点远。', '短评打分': 5}
{'短评内容': '物有所值&hellip;&hellip;', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '房间很大 很舒适', '短评打分': 5}
{'短评内容': '櫃檯人員有待加強', '短评打分': 3}
{'短评内容': '酒店干净整洁！洗漱用品品种少了点！还有待提高！房间面积挺大，住着舒服', '短评打分': 5}
{'短评内容': '性价比挺好的，', '短评打分': 4}
{'短评内容': '不错 下次再住', '短评打分': 4}
{'短评内容': '环境不错，位置不错，设施一般，服务一般，但价格适中', '短评打分': 5}
{'短评内容': '环境一般，位置好，设施一般，服务一般，但价格适中', '短评打分': 5}
{'短评内容': '环境不错，停车方便，酒店价格也不贵，挺满意的！', '短评打分': 5}
{'短评内容': '位置方便，停车方便，服务一般，设施齐全，但比较旧，但价格适中。', '短评打分': 5}
{'短评内容': '该酒店交通十分便利，停车方便，四周环境好，房间性价比高，空间大，早餐也不错值得推荐，我是常客了，下次还会入住该酒店。唯一一点建议，就是早餐一个人登记只给一张餐券显得不合理，因为不管客人是一个人还是二个人，收费是按房间的，所以应该给客人二张餐券。', '短评打分': 5}
{'短评内容': '酒店還算乾淨清新,不過晚上夜總會的音樂聲吵雜,是美中不足!', '短评打分': 5}
{'短评内容': '酒店环境不错，可以停车，交通十分方便，服务员也很有礼貌，就是房间小了点，如果房门能反扣就好了，这样会更有安全感。下次还会考虑入住。', '短评打分': 5}
