{'descr': '环境都挺好。院子很大有停车地方。订完房最好提前打电话沟通一下。', 'star': 5}
{'descr': '还可以吧', 'star': 5}
{'descr': '还可以。', 'star': 5}
{'descr': '地理位置不错，距离佳木斯大学的d区很近。酒店的各项设施比较齐全。卫生条件还好，属于性价比很高的处所。值得推荐。', 'star': 5}
{'descr': '垃圾', 'star': 1}
{'descr': '整体环境不错。', 'star': 5}
{'descr': '差', 'star': 2}
{'descr': '环境不错，', 'star': 5}
{'descr': '老婆出门，帮老婆定的，挺好挺好', 'star': 5}
{'descr': '不干净', 'star': 2}
{'descr': '一般般 啥也别说了 一肚子眼泪', 'star': 3}
{'descr': '还好', 'star': 3}
{'descr': '比较满意，就是wifi信号少了点！', 'star': 5}
{'descr': '隔音不好，毛巾什么的好旧，地板上各种头发', 'star': 3}
{'descr': '不错!！相对来说还是蛮安静的，服务也挺好！', 'star': 5}
{'descr': '这个价格相对来说还是不错的，服务挺热情的，就是房间小点！', 'star': 5}
{'descr': '非常不推荐着一家，服务人员的态度真的很差劲，而且，住了那么多年酒店，很少看到房间这么小的', 'star': 1}
{'descr': '整体环境还是比较好的，睡的很舒服，但在网上订的商务房，可惜却上不了网，也没有说明，害得我背个大电脑跑来跑去，很不给力，只能看电视', 'star': 5}
{'descr': '环境还好，就是离市中心有点远。服务倒还热情到位。', 'star': 5}
