{'短评内容': '干净卫生，服务也很好', '短评打分': 5}
{'短评内容': '外边装修一般 里边设施还行', '短评打分': 5}
{'短评内容': '房间环境不错', '短评打分': 5}
{'短评内容': '酒店挺干净，价钱合理，很不。', '短评打分': 5}
{'短评内容': '现在修人行道，不能停车', '短评打分': 5}
{'短评内容': '有点小，还好', '短评打分': 5}
{'短评内容': '还不错吧，性价比还行', '短评打分': 4}
{'短评内容': '一般一般一般', '短评打分': 3}
{'短评内容': '一般一般一般', '短评打分': 3}
{'短评内容': '一般一般一般', '短评打分': 3}
{'短评内容': '每次出门都住如家，都很不错，好好好好好好好好好好', '短评打分': 5}
{'短评内容': '酒店非常不错，前台也非常好，以后还来住。', '短评打分': 5}
{'短评内容': '环境很好，房间打扫很及时', '短评打分': 3}
{'短评内容': '不是很好找，其他都还不错吧。', '短评打分': 5}
{'短评内容': '一般', '短评打分': 4}
{'短评内容': '6点左右入住，酒店就有奇怪的声音了，位置离市区比较远吧', '短评打分': 4}
{'短评内容': '交通还是挺方便的，宾馆也蛮干净！离高铁站打车只需要10几分钟路线。', '短评打分': 5}
{'短评内容': '地点有点偏，主要是离我去的单位比较近。价格贵了，性价比比较低，毕竟地方非常偏了。卫生很一般，特别是卫生间里面哑剧什么的就随便一放，连个袋子也没有！', '短评打分': 1}
{'短评内容': '地点有点偏，主要是离我去的单位比较近。性价比比较低，毕竟地方非常偏了。卫生很一般，特别是卫生间里面哑剧什么的就随便一放，连个袋子也没有！', '短评打分': 1}
{'短评内容': '环境好，交通便利，以后还会光顾。涨价了，价格有点偏高。', '短评打分': 5}
{'短评内容': '房间比较宽敞，也干净。很好。', '短评打分': 3}
{'短评内容': '刚装修，环境不错，关键是早餐很不错，离我想去的地方仅300米，很方便。', '短评打分': 3}
{'短评内容': '不错，挺干净的，毕竟是新开业没多久的，服务也很好。', '短评打分': 5}
{'短评内容': '真的很不错。评论晚了。^_^不知道能不能收到。住了三天。网上预定比会员卡便宜三十。', '短评打分': 3}
{'短评内容': '这个酒店实惠，环境不错', '短评打分': 3}
{'短评内容': '不错不错，143元一晚还含早餐。环境也不错', '短评打分': 5}
{'短评内容': '在周边的快捷酒店里 算不错的 门前的公路车不多 因此即使靠公路的房间也能接受', '短评打分': 5}
{'短评内容': '十干净，在开发区比较方便', '短评打分': 3}
