{'短评内容': '脏的一塌糊涂，卫生间很小，排风哄哄的响，', '短评打分': 1}
{'短评内容': '还可以。。环境还挺好的。。房间也挺大的。。就是厕所不给力。。有点脏的感觉', '短评打分': 5}
{'短评内容': '进入房间就有一股臭味，来自卫生间里面，好像是那种下水道的味道。想打开卫生间的排气扇把这个味道消除一些，噪音却大的像拖拉机，另人无法休息。房间设备比较旧，特别是被子被套不干净，被子上面有像血迹一样的几个红点，比较恶心。 前台服务态度一般。', '短评打分': 1}
{'短评内容': '还不错，就是有很多特殊服务的卡片，房间很舒适！！', '短评打分': 5}
{'短评内容': '酒店挺好的，就是淋浴间太小。酒店位置不错，邻近华中师大，周边有许多小吃。', '短评打分': 5}
{'短评内容': '还可以吧 只是正好只剩二楼的房间 旁边的餐厅有点吵', '短评打分': 5}
{'短评内容': '位置还可以，价格也公道，房间还不错，性价比算好的！', '短评打分': 5}
{'短评内容': '酒店房间倒还宽敞，但是淋浴间确实太小了，像被绑在里面洗澡一样。好像没有安保人员，因为每天晚上从门缝里被塞进无数张带有诱惑性的卡片，一晚上收集起来，可以凑成一副扑克，而且天天如此。房间隔音效果好。不过酒店前台服务不是太好，还有最近可能因生意太好，一般要午后才能入住，郁闷。我们6点前到酒店，硬生生多收了我们一天的房费。实在没房住了再考虑吧。', '短评打分': 5}
{'短评内容': '短期入住还可以推荐，2天以上要考虑了。酒店出来打车不方便。房间不是很干净，晚上居然有“小强”，吓人，豪华套间面积倒是很大，但是隔壁是带棋牌室的，半夜三更还有人抽烟打麻将，烟居然飘过来了，把领导给呛醒了。', '短评打分': 5}
{'短评内容': '隔音方面还不错，洗澡间有点小，一不小心就碰到胳膊了。整体还行。', '短评打分': 5}
{'短评内容': '真的太乱了，而且很脏，一进门一大堆垃圾卡片，晕死了！', '短评打分': 1}
{'短评内容': '不好意思，五一的时候住的现在才来点评。环境不错，只是套房太大了，总感觉太浪费了，呵呵！在华师南门口，交通业方便，介于火车站和光谷的中间，非常好。', '短评打分': 5}
{'短评内容': '酒店周边出行很方便，打车和座公交都还可以，前台服务很好，卫生条件不错，硬件设施齐全，下次还会考虑入住', '短评打分': 3}
{'短评内容': '距离火车站较近，房间硬件设施很齐全，前台服务蛮好的，住宿环境还是很好的', '短评打分': 5}
{'短评内容': '设施卫生都不错但是隔音效果挺差的，交通还是挺方便，服务还行，性价比还是一般。', '短评打分': 5}
{'短评内容': '酒店整体装修设施比较齐全完善，周边出行还是很方便的，座公交或者打车都没问题，房间卫生条件不错，打扫的很干净，住着很舒服', '短评打分': 5}
{'短评内容': '酒店性价比不错，价格经济实惠，前台服务员办事效率快，酒店有自己很大的停车场，自驾方便，房间里可以上网，很方便', '短评打分': 5}
{'短评内容': '大堂装潢的不错，灯光颜色很柔和，服务员办事很周到热情，价格很合适，距离我办事地方也很方便', '短评打分': 5}
{'短评内容': '服务员态度很好，很真诚，房间很宽敞，硬件设施齐全，周边环境很好，蛮安静的，出行方便', '短评打分': 5}
{'短评内容': '性价比蛮高的酒店，前台服务很好，房间设计的很别致，卫生条件很好，蛮干净的，住着还是很放心的', '短评打分': 5}
{'短评内容': '整体感觉还可以，服务不错，房间干净整洁，地理位置还算方便，住宿条件还行', '短评打分': 3}
{'短评内容': '房间硬件设施很齐全，整体装修格调蛮清新的，周围环境优雅，靠近华中师范大学等院校，距离新世界百货也不远，出行还是比较方便的', '短评打分': 5}
{'短评内容': '房间环境很好，装修的有些欧式现代化风格的，空间蛮大的，比较通透，采光也很好，卫生间装修的很现代，很喜欢它家的浴盆布局不错，值得推荐', '短评打分': 5}
