{'短评内容': '没早餐，房间很小，设施很差。网上下单了，店家一直查不到单子，然后是房间设施简陋。房间门反锁坏了，电视机显示坏的，厕所灯坏的，走道的声音很响，换房间也不能换。详情图片，不联系入住。', '短评打分': 2}
{'短评内容': '可以带孩子', '短评打分': 5}
{'短评内容': '这几天这个价还不错，处于闹事，离留园近，在通贵桥附近，买鲜肉月饼、逛街都很方便。晚上也安静。', '短评打分': 5}
{'短评内容': '靠近山塘街，是个不错的落脚点', '短评打分': 5}
{'短评内容': '房间里信号都没有，手机都不能用，手机在房间里信号一格都没有，无线也不能用，无线信号只有一格，可能只适合老年人住吧', '短评打分': 1}
{'短评内容': '真的是一般般', '短评打分': 3}
{'短评内容': '不错', '短评打分': 4}
{'短评内容': '和预订款不一致', '短评打分': 2}
{'短评内容': '其实一个人住不要太讲究的话这个小房间真的挺好的，什么都有，反正我个人觉得还是挺值的，因为我不喜欢和别人合住。', '短评打分': 5}
{'短评内容': '真心的太差了！毛巾也没有！连个纸都没有，下次不会去了', '短评打分': 1}
{'短评内容': '不错，比较干净，也很安静', '短评打分': 5}
{'短评内容': '非常好，交通便利，干净卫生，性价比高', '短评打分': 3}
{'短评内容': '还好，不讲究那么多，，', '短评打分': 3}
{'短评内容': '很好，房间很大！老板娘也很好！', '短评打分': 5}
{'短评内容': '大床还行，，，房间不错', '短评打分': 3}
{'短评内容': '便宜，还可以，这个价格也就这样了，小了点', '短评打分': 3}
