{'短评内容': '已经退订了，没住成很可惜。', '短评打分': 5}
{'短评内容': '环境非常阔以，下面还有KTV', '短评打分': 5}
{'短评内容': '不错的酒店', '短评打分': 4}
{'短评内容': '酒店很不错，非常值得推荐给大家，我们去的时候比较晚，整完的保留的房间。前台的服务也非常棒，非常感谢这个酒店给我们的假期提供了愉快的服务。', '短评打分': 5}
{'短评内容': '酒店非常不错，值得推荐给大家做，本来说这个性价比比较高的，下次去还会选择住在这里的。前台的服务也非常棒，周边的环境也很好', '短评打分': 5}
{'短评内容': '很不错的酒店', '短评打分': 5}
{'短评内容': '一直住西驿，这次印象极差。周六早上9点多酒店居然在过道大声播放音乐，房间里听的一清二楚，反馈了半小时才有人处理。', '短评打分': 3}
{'短评内容': '顺利入住。。。。。。。', '短评打分': 5}
{'短评内容': '领券以后还是挺划算的，希望优惠力度再大点就好了，多上一些酒店，可选择性高些会好很多，这次住的不错', '短评打分': 5}
{'短评内容': '酒店不错，就是周围环境不好，人多杂乱，希望改进', '短评打分': 5}
{'短评内容': '多次欲订说明一切，交通非常方便，嗯，房间也很干净，服务态度也很好', '短评打分': 5}
{'短评内容': '比在其他地方预定的价格要便宜很多，交通很方便，啊，房间也很干净', '短评打分': 5}
{'短评内容': '交通方便，嗯，环境也也不错，房间很干净。', '短评打分': 5}
{'短评内容': '不错不错，还是一如既往的快。', '短评打分': 5}
{'短评内容': '还是不错的！', '短评打分': 4}
{'短评内容': '还不错，每次都住这里', '短评打分': 5}
{'短评内容': '环境不错，下次再住', '短评打分': 5}
{'短评内容': '方便，但酒店刷牙的杯子太烂了，不是钢化杯，轻轻一碰就裂开，手被扎了好大的口子，不是钢化的么，应该是碎沫啊，还赔了20元，扫兴', '短评打分': 4}
{'短评内容': '位置好交通方便', '短评打分': 5}
{'短评内容': '非常满意，比南疆上档次多了！下次还会选择这里，直接机场大巴1号总站，往返机场方便的很。', '短评打分': 5}
{'短评内容': '干净、设施齐全，交通方便', '短评打分': 5}
{'短评内容': '服务不好', '短评打分': 3}
{'短评内容': '服务不好', '短评打分': 3}
{'短评内容': '服务不好', '短评打分': 3}
{'短评内容': '不错', '短评打分': 4}
{'短评内容': '地方在市中心，位置比较好，交通比较方便，态度也很不错。', '短评打分': 5}
{'短评内容': '地方在市中心，位置比较好，交通比较方便，态度也很不错。', '短评打分': 5}
{'短评内容': '地方在市中心，位置比较好，交通比较方便，态度也很不错。', '短评打分': 5}
{'短评内容': '地方在市中心，位置比较好，交通比较方便，态度也很不错。', '短评打分': 5}
{'短评内容': '还行，配套少点', '短评打分': 4}
{'短评内容': '有点小贵，卫生希望能做好一点，收拾干净了再让客人入住。', '短评打分': 5}
{'短评内容': '干净整洁,很好的酒店.离目的地也很近,晚上周围还有夜市. ', '短评打分': 5}
{'短评内容': '，酒店环境不错，住得也很安逸', '短评打分': 3}
{'短评内容': '环境和设施都还不错  只是又涨价了  豪华单人间住了四晚 五百多的房价 却只送第一天的水果  别那么小气哦', '短评打分': 5}
{'短评内容': '住过很多次了 感觉很不错！  只是相同价位 房型却有大有小', '短评打分': 5}
{'短评内容': '各方面都还可以，装修较新，就是高层无线网络覆盖不了，现在到处都是wifi了，这个最好改进下。', '短评打分': 5}
{'短评内容': '硬件较新，服务尚可，早餐简单，出行方便。', '短评打分': 5}
{'短评内容': '个人感受该酒店性价比比较高，标间比较大。头晚入住的是翠湖宾馆，那房间小得，真让人压抑！西驿酒店总体不错，下次还来。', '短评打分': 3}
{'短评内容': '隔音很差，入住人员素质太低，居然在凌晨五点被吵醒，再也不会再入住了。', '短评打分': 1}
{'短评内容': '給朋友訂的，聽說不錯。幹嘛要規定評價字數呢？', '短评打分': 5}
{'短评内容': '一家全新的酒店\n还有些装修的气味\n卫生间地面设计不合理 沾水非常滑', '短评打分': 5}
{'短评内容': '很好', '短评打分': 3}
{'短评内容': '酒店刚装修不久，大堂还有装修的味道，但房间内没有，装修品味不错，可以接受。\n各种设施都很新，用起来很舒适。\n不足的是，早餐品种不多。', '短评打分': 5}
{'短评内容': '很不错的房间！~`价格合适！~``早餐不错！~下次还会入住', '短评打分': 5}
{'短评内容': '重新装修后还不错。位置很好，只是门口车停得太乱。', '短评打分': 5}
{'短评内容': ' 不错', '短评打分': 3}
{'短评内容': '新南疆酒店 出于是中心位置.周边交通,娱乐设施,还有用餐的地方都很多,一应聚全.而且翠湖也在旁边,确实是地利.', '短评打分': 5}
{'短评内容': '环境不错,服务也周到,价格也很实惠,位置也很好,出行非常方便', '短评打分': 5}
