{'短评内容': '酒店就在春熙路地铁口e出口附近，周围小吃的很多，老板还给免费升级了房型，很赞', '短评打分': 5}
{'短评内容': '还可以吧 耶', '短评打分': 3}
{'短评内容': '有家的感觉，很不错，还有阳台厨房洗衣机衣柜', '短评打分': 5}
{'短评内容': '交通比较方便', '短评打分': 4}
{'短评内容': '位置在春熙路还是可以，酒店环境各方面有点恼火', '短评打分': 2}
{'短评内容': '还不错。', '短评打分': 5}
{'短评内容': '繁華街のど真ん中で好立地。低層に飲食店があり、共用部は衛生上良くないが、室内は比較的きれい。シャワーのカーテンにカビが発生したままである点が気になるが、その他は泊まるだけなら問題ない。wifiはあるが、接続できない日があった。', '短评打分': 4}
{'短评内容': '房间没有卖家拍的图片好，没有酒店大堂，就是一个自己住的房间，登记也就是一张手写的临时居住单，设备设施都比较老，床也不是很舒服，而且住到最后两天发现了很多小蟑螂。楼下就是各种火锅店，很吵，油烟味很重。服务基本上谈不上，就是个公寓罢了，而且在订房的时光，老板居然还临时涨价，也是醉了。最后退房的时光，老板居然说用的毛巾有点脏，洗不掉，要赔钱？？！！最后自己亲手去洗干净了，还墨迹了好久才没有说要赔钱……反', '短评打分': 2}
{'短评内容': '房间位置很好，虽然设施旧些，但是很干净……特别方便', '短评打分': 4}
{'短评内容': '地理位置特别好……非常方便……设施旧一些，但是很干净……卫生挺好……', '短评打分': 5}
{'短评内容': '还不错，老板挺好', '短评打分': 4}
{'短评内容': '挺不错的', '短评打分': 5}
{'短评内容': '环境安静，设施齐全，服务周到。还可以', '短评打分': 5}
{'短评内容': '酒店不错，位置很好，去哪都很方便，最主要是老板服务特别好', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 4}
{'短评内容': '很不错，干净，舒心，住着有种家的感觉。。推荐。', '短评打分': 5}
