{'短评内容': '酒店位置离会展中心很近很方便，服务也不错！', '短评打分': 5}
{'短评内容': '住了一个晚上，适合学生朋友以及参加周边学校考试的青年提供方便住宿，价格实惠，周边公交车站还是很方便。', '短评打分': 5}
{'短评内容': '因为没有房间，只能住集体房间。房东很好，找不到酒店也很耐心说明，酒店距离会展中心很近，作为商务出差，很好。', '短评打分': 5}
{'短评内容': '位置离会展中心很近，但不容易找，民宿性质的，条件尚可，服务态度很好。只是有一事不得不说，以为是24小时营业的，有一天晚上回去晚了，大概凌晨1点左右，然后竟然关门了，敲门打电话均无人应，没办法，毕竟不是大酒店，然后我就没回去。当时是很气愤的，后来也没有提出此时，想想民宿毕竟是民宿，不可太过苛求。只是有可能很晚回去的朋友请慎重。除此之外，其余都还很好。', '短评打分': 4}
{'短评内容': '位置有点不好找', '短评打分': 5}
{'短评内容': '还可以的', '短评打分': 5}
{'短评内容': '住房是上下铺，冷气足，一觉到天亮。偶遇一东北哥们，第一次见面，就很大气地把踩了两次的爱车借给了我，真给力！总体来说，不错！希望生意越来越好，下次还会订这里。', '短评打分': 4}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '适合短住，价格合适。', '短评打分': 3}
{'短评内容': '适合短住，价格合适。', '短评打分': 3}
{'短评内容': '与国际会展中心很近，卫生可以，房间设施只能说对得起价格。', '短评打分': 5}
{'短评内容': '姐姐考试帮她们定的，感觉还不错', '短评打分': 5}
{'短评内容': '还不错吧，', '短评打分': 5}
{'短评内容': 'Very close to Xiamen Convention Center.  The location is surrounded by food and amenities.  ', '短评打分': 4}
{'短评内容': '酒店的环境还算比较小清新，', '短评打分': 3}
{'短评内容': ' 很不错的旅舍哦…………', '短评打分': 3}
{'短评内容': '家庭旅馆，服务很好，很干净，就是一楼有点潮湿，可能海边的房子都这样吧，位置不太好找，但是主人会出来迎接', '短评打分': 5}
{'短评内容': '青年旅舍，广交朋友！', '短评打分': 3}
{'短评内容': '位置、交通还可以，就是环境不是很好，自己住的那间窗帘坏了，而且电视也坏了，实在是有够郁闷了。\n至于最大的问题，就是卫生了，用的热水壶盖上的灰尘不是一周两周没擦过的，而且房间的设备多多少少都有积尘。就卫生而言，感觉很不舒服。\n唯一比较好的就是服务态度还算可以，但还是极力不推荐去这家旅舍！', '短评打分': 1}
{'短评内容': '该旅舍位于一个小胡同里面，条件非常一般，相当于北方30~40一晚上的房间。再有机会去厦门，不会选择该处了。', '短评打分': 1}
{'短评内容': '位置较偏僻，离景区太远，设施简单。', '短评打分': 3}
{'短评内容': '环境不错，服务态度很好！附近的交通很方便', '短评打分': 5}
{'短评内容': '服务态度很好，各种设施也很完善，价格很实惠，强烈推荐', '短评打分': 5}
{'短评内容': '很热情！环境也可以，就是位置偏远些，没有人接不好找！', '短评打分': 5}
{'短评内容': '刚入住，老板热情，就是在巷内有点小难找。新店较干净，还在添设施。', '短评打分': 3}
{'短评内容': '比较适合驴友的旅舍 离海边较近 老板人很好 经济实惠的住宿 特别适合个人旅行时选择', '短评打分': 5}
