{'短评内容': '房间比较小，距林科大近，有免费停车场挺方便', '短评打分': 4}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 4}
{'短评内容': '还行还行', '短评打分': 5}
{'短评内容': '没吃早餐 二楼有茶餐厅消费适中 位置很好', '短评打分': 4}
{'短评内容': '环境很好，位置很方便，安全性不错，热水够热，就是房间里的灯光有点暗，隔音效果一般，还有房间里一些付费物品没有标价。', '短评打分': 4}
{'短评内容': '还行吧？方便', '短评打分': 4}
{'短评内容': '环境好！服务很到位', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '环境不错，服务态度特别好，干净卫生', '短评打分': 5}
{'短评内容': '还好，就是房间太小了，在学校附近差不多', '短评打分': 5}
{'短评内容': '还好', '短评打分': 5}
{'短评内容': '交通方便', '短评打分': 4}
{'短评内容': '环境很棒，服务员态度良好，值得再来！中南林附近住的最舒服最安逸的一次！', '短评打分': 5}
{'短评内容': '极好的地段，优质的服务态度，帮忙解决了所有的问题和疑问，完全对得住这个价格。', '短评打分': 5}
{'短评内容': '酒店环境不错，里面曲径通幽的，装修很别致，也很舒适，物有所值！', '短评打分': 5}
{'短评内容': '房间很干净  住在最里面比较安静 但是隔音不好  自助早餐太难吃', '短评打分': 5}
{'短评内容': '环境很好，很舒适。价格适中。\n但是晚上有点吵。', '短评打分': 5}
{'短评内容': '不要再打环保牌，而后变相收费。\r\n伪环保，不提供洗漱用品，然后设一个收费的洗漱包，\r\n真正的环保就直接不提供这样的收费项目，客人需要什么就自带或者出去买。\r\n去欧洲住酒店的时候都是这样。\r\n你提供个洗漱包，里面如果只有牙膏牙刷是我需要的，那么其他的东西都得扔掉，\r\n环什么保？？？\r\n\r\n目的只有一个，省下了成本，增加了收入，还好听，说自己酒店很环保。\r\n****！！！\r\n\r\n客观的说，酒店价位不算', '短评打分': 1}
{'短评内容': '环境不错，工艺方面做的很细致，很用心的服务！', '短评打分': 5}
{'短评内容': '双人间，床比较小。一般吧', '短评打分': 3}
{'短评内容': '酒店不错 很满意  下次还会住这里的酒店不错 很满意  下次还会住这里的酒店不错 很满意  下次还会住这里的酒店不错 很满意  下次还会住这里的', '短评打分': 5}
{'短评内容': '比较有特色，有种文艺范，懂的人会喜欢。我是外行自我感觉房间灯光偏暗了点，其它都还好', '短评打分': 1}
{'短评内容': '推荐复式套房，性价比很高，就是拖鞋、牙刷另外收钱', '短评打分': 5}
{'短评内容': '该酒店交通便利，离长途南站很近。就是早餐太过简单。', '短评打分': 5}
{'短评内容': '房间设施一般，环境较好，隔音较差，楼下KTV彻夜不眠的扰民，希望加强隔音建设。早餐实在一般，没有选择性，凑合吃。', '短评打分': 5}
{'短评内容': '交通便利，就在林科大门口，早餐太简单切不变化花样，过于单调，希望改进，KTV噪音有扰民只限，太影响休息，如要选择建议选择高楼层。', '短评打分': 5}
