{'短评内容': '很好很干净', '短评打分': 5}
{'短评内容': '最骗人的酒店，可能是雇了很多水军在携程上吹，真是受骗了，连快捷酒店都不如。', '短评打分': 2}
{'短评内容': '洗手间牙刷杯的杯垫估计保洁员不知道要更换吧，已经泛黄，毛巾浴巾已经有破洞了，酒店没有商务中心，电梯口的员工通道每次有人进出时门板声音太大，其余还可以啦', '短评打分': 4}
{'短评内容': '性价比还可以', '短评打分': 5}
{'短评内容': '这是我住过最差的酒店，没有一样东西符合这个酒店的名字，脏乱的卫生，陈旧的设施，最让人受不了的是浴巾：TMD，脏也就算了，烂的像狗啃过一样，看下图。真心差的不要不要的烂酒店，携程你们就这样为我们提供中介的吗？', '短评打分': 1}
{'短评内容': '一般一般', '短评打分': 5}
{'短评内容': '环境不错，性价比高', '短评打分': 5}
{'短评内容': '非常好', '短评打分': 5}
{'短评内容': '酒店里面很黑暗，设施也很旧，早餐太简单了，一点都不好吃，和一百多块钱的酒店一个样，再也不会来住了', '短评打分': 3}
{'短评内容': '环境优美，最关键的是比较安静', '短评打分': 5}
{'短评内容': '非常好 满意', '短评打分': 5}
{'短评内容': '还行吧，酒店都是商务团接待比较多。', '短评打分': 4}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '一直住他家，比较安静', '短评打分': 5}
{'短评内容': '酒店旧了，性价比不高。', '短评打分': 2}
{'短评内容': '不错，很好，我喜欢', '短评打分': 5}
{'短评内容': '早餐很不错，居住环境还行！！', '短评打分': 5}
{'短评内容': '干净，大气。门口就有服务生叫车。走路15分钟或者花5元坐小电动车可以到达超市，比较方便。', '短评打分': 5}
{'短评内容': '酒店位于主干道--中心大道旁，房间空间大。', '短评打分': 5}
{'短评内容': '环境不错，交通方便，还送了龟苓膏甜品，很好吃。性价比很高的酒店', '短评打分': 5}
{'短评内容': '酒店的东西有点老旧，房间比较大。感觉还可以', '短评打分': 5}
{'短评内容': '酒店服务和整体都很不错，还会选择入住的。', '短评打分': 5}
{'短评内容': '外观和大堂看起来不错，但是房间的设施比较陈旧，早餐的品种不是很多。', '短评打分': 1}
{'短评内容': ' 酒店很舒适，价位也不高，就是早饭品种少了点，总体来说不错！', '短评打分': 3}
{'短评内容': '在这个价位下这样的酒店应该算是不错的了，房间空间可以，整体环境也还好，自己驾车的话离椒江城区各处都不是很远。', '短评打分': 5}
{'短评内容': '酒店时间有点老，装修旧，一般般了，现在评不了四星', '短评打分': 3}
{'短评内容': '酒店环境好，服务周到细心，是出差的好去处，今后一定会再来！', '短评打分': 5}
{'短评内容': '周边没什么吃的逛得，但是离政府部门很近。网速很快。早餐的选择不是很多，但是还算过的去。', '短评打分': 5}
{'短评内容': '很不错，卫生佳，自助早餐很丰盛，晚上还有水果赠送。', '短评打分': 5}
{'短评内容': '不错的酒店，服务很好，早餐也很丰盛，我住了两晚，第一晚还有水果送，环境也很好而且很干净，很值得推荐！', '短评打分': 5}
{'短评内容': '不错，服务态度好，晚上还有水果送，环境也很好', '短评打分': 3}
{'短评内容': '隔壁就是海洋馆，房间还不错，早餐丰富，值得推荐', '短评打分': 5}
{'短评内容': '很不错的酒店\u3000房间舒服\u3000视野也不错\u3000下次一定要早点起来吃早餐', '短评打分': 5}
{'短评内容': '不错的酒店，服务态度不错，性价比高，已经推荐给朋友了。', '短评打分': 5}
{'短评内容': '房间蛮大的,略显陈旧了,其他蛮好的,还不错', '短评打分': 5}
{'短评内容': '房间很漂亮，而且干净，视野很好。有早餐，服务态度很好。', '短评打分': 5}
