{'短评内容': '暖气很热，交通也很方便', '短评打分': 5}
{'短评内容': '酒店周边还是很好的，距离酒店不远有商场！里面卖有美食城！总之 买东西、吃饭还是很方便的！距离汽车站很近，去机场还是很方便的', '短评打分': 5}
{'短评内容': '服务好，位置好，会再来', '短评打分': 5}
{'短评内容': '房间有暖气，很好，很暖和，还干净，整洁，服务也不错', '短评打分': 5}
{'短评内容': '服务好，位置好，会再来', '短评打分': 5}
{'短评内容': '会再来的，挺好的酒店。', '短评打分': 5}
{'短评内容': '酒店位置很好，还会再来', '短评打分': 5}
{'短评内容': '酒店位置很好，还会再来', '短评打分': 5}
{'短评内容': '服务特别好，房间卫生打扫的也特别干净，住了半个多月了，很舒服', '短评打分': 5}
{'短评内容': '还好吧，头一次在京东订房间还算满意', '短评打分': 5}
{'短评内容': '服务很好，以后会在来的', '短评打分': 5}
{'短评内容': '很好?喜欢这里，会再来的！', '短评打分': 5}
{'短评内容': '不只是一次来这里住，感觉一直很好，地理位置也好。房间也大。', '短评打分': 5}
{'短评内容': '第二次住这里了，除了不好停车外，其他都不错', '短评打分': 5}
{'短评内容': '可以，方便出行', '短评打分': 5}
{'短评内容': '可以，方便出行', '短评打分': 5}
{'短评内容': '还可以的环境', '短评打分': 5}
{'短评内容': '不错不错', '短评打分': 5}
