{'descr': '房间太小，设施一般，还可以把', 'star': 5}
{'descr': '环境太差且味道太重，建议最好不要入住！', 'star': 1}
{'descr': '环境太差，同时房间味道太重！', 'star': 1}
{'descr': '如果为了去南浦大桥坐汽车的话，还是很方便的，也有地铁站。房间嘛，设施有些陈旧了。这次我们住的房间虽然有窗户，但是是天井。', 'star': 5}
{'descr': '一般般的莫泰，主要是离我下车的地方近，环境一般吧，特别是楼下的便利店黑黑黑。。。', 'star': 5}
{'descr': '办理入住和退房速度慢，隔音效果差，离地铁站有点距离。在其他酒店都可以用储蓄卡刷预授权就这家不行连试都不愿意试，前台服务不够人性化', 'star': 1}
{'descr': '办理入住和退房速度慢，隔音效果差，离地铁站有点距离。在其他酒店都可以用储蓄卡刷预授权就这家不行连试都不愿意试，前台服务不够人性化', 'star': 1}
{'descr': '可以推荐，各方面都挺不错的，交通、饮食、购物、旅行都不错', 'star': 5}
{'descr': '各方面都挺不错的，交通很方便，就在南浦大桥出入口，可以推荐', 'star': 5}
{'descr': '我们定的是商务大床房，可是走进房间觉得像是很久没人住很破旧的感觉，离地铁也没有介绍上说的那么近，总之还没有至少我在南京住的特价标准间来的好', 'star': 1}
{'descr': 'bucuo ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~', 'star': 5}
{'descr': '地点不错~环境也还好~服务态度很好~下次还要订这边~', 'star': 5}
{'descr': '不错，就是即使没有窗户也不会感到空间小，服务态度还不错。', 'star': 5}
{'descr': '住得还舒坦', 'star': 3}
{'descr': '脏乱差,是我所住的MOTEL里最差的一个,隔音那叫一个差哦.', 'star': 1}
{'descr': '房间面积和设施都还齐备，可怕的是“小强”无处不在，就连床上都有~~~\n需要改进', 'star': 1}
{'descr': '房间还不错就是楼下环境实在不怎么样，等check in的时间比较长', 'star': 5}
{'descr': '除了吃饭稍微麻烦点，其他都还好，找找公交车哪都能到。环境也不错的，就是没电脑，室内卫生也还可以，隔音稍微有点小差，总体来说，不错，推荐一下！', 'star': 5}
{'descr': '环境还可以，房间靠近马路', 'star': 3}
{'descr': '还不错啦，就是吃饭稍微麻烦了点，门口路要绕一大圈', 'star': 5}
{'descr': '挺好的  我感觉。\n就是感觉酒店的人 都怪怪的  ', 'star': 5}
{'descr': ' 酒店还可以，价格便宜，就是床头木板是破的', 'star': 3}
{'descr': '住起來舒適，挺不錯的!下次來出差的話將會再次入住!', 'star': 5}
{'descr': '不当心把杯子打碎了 偷偷处理了 房间有点旧了 有些年头了', 'star': 5}
{'descr': '不知道第几次入住了 除了最便宜的那个 其他性价比一般般', 'star': 5}
{'descr': '靠近马路的一侧 汽车噪音好响  其他的还可以', 'star': 5}
{'descr': '位置还行吧，设施不好，大床房连吹风机都没有，服务员不厚道，入住的时候直接安排到8楼，问她为什么居然说8楼噪音小，实际上八楼是外面有大广告牌而且人可以走到窗户边的。', 'star': 1}
{'descr': ' 总体来说还不错，基本设施都齐全!就是枕头有点儿软...', 'star': 3}
{'descr': '很卫生，交通很方便，就是隔音差了，值得一住', 'star': 3}
{'descr': ' 莫泰168非常差，不满意……提前预定的房间没有……临时调换的房间卫生很差！床单上竟然有不明体毛数根！！！很恶心！！！差差差！！！！', 'star': 3}
{'descr': '酒店设施可以，经济实惠，前台服务好，离要去的地方很近，下次还住这里。', 'star': 5}
{'descr': '位置还算方便，离南浦大桥下的上海旅游集散中心比较近，附近有沃尔玛超市。房间环境一般，门口还有一些“特服”的卡片，估计是从门外塞进去的····呵呵', 'star': 5}
{'descr': '平平常常，很一般，没有像一直住下去的欲望、、', 'star': 1}
{'descr': '不错实惠', 'star': 3}
{'descr': '价格居然比门市价使用会员卡后贵', 'star': 3}
{'descr': '有点小，遥控器不好用，室内有些老旧，还遇到了小强，卫生间除了整体浴室的那块有些通透的磨砂玻璃有点尴尬以外都很好。。。', 'star': 1}
{'descr': '还可以。就是不太安静。', 'star': 3}
{'descr': '酒店年久失修，东西很旧~~跟七天至少差一个星级~~~', 'star': 1}
{'descr': '已按时入住莫泰上海南外滩店503房间.酒店交通方便房间宽敞希下次还住!', 'star': 3}
{'descr': '这个是加盟店，随便打发一晚是不错的，就是环境不怎么好。', 'star': 5}
{'descr': '交通方便，靠近外滩，直达打浦桥和徐家汇。服务周到。性价比较高，', 'star': 5}
{'descr': '床蛮大的,很不错,周围没什么吃的,可能自己没有找到吧...呵呵\n总体来说还不错,环境蛮好的', 'star': 5}
{'descr': '我觉得莫泰的房间还不错，158这个价格还是值得的，位置很好找，交通也方便！', 'star': 3}
{'descr': '莫泰的房都不错吧，这家附近没什么可以逛的，不过去南京路还是蛮近的', 'star': 5}
{'descr': '还行，走的匆忙，把一个小钱包拉下了，第二天去问，给保管的很好，非常感谢。', 'star': 5}
{'descr': '地理位置不错，交通便捷，附近超市和餐厅很多。但是房间隔音效果很差，空间小，最崩溃的是那个中央空调声音太大了。。。', 'star': 5}
{'descr': '特价的大床房，电视好小，而且还不好关，', 'star': 3}
{'descr': '   这个店地理位置很好，距离南浦大桥很近，乘公交64路直达人民广场和上海火车站，地铁站就在附近，十几分钟路程。马路对面是沃尔玛超市、肯德基，购物吃饭都很方便，还能泊车。店内比较干净，肃静。适合公出和旅游住宿。', 'star': 5}
{'descr': ' 不错，很舒适', 'star': 3}
{'descr': '住的大床房，房间挺大的，打扫服务也很细心，在住的连锁酒店中算不错的。', 'star': 5}
{'descr': '离考点位置很近，附近有沃尔玛、肯德基，酒店楼下就有便利店，吃饭购物挺方便的。', 'star': 5}
{'descr': '一般般，没有南京的168好，不是很温馨，感觉就那样', 'star': 5}
{'descr': '其实环境，服务，什么的都还行，就是空调声音太大了，睡不着觉了都', 'star': 5}
{'descr': '房间大小还可以，但是床不够舒服，还是如家的床好', 'star': 3}
{'descr': '离我想去的地方倒是很近 还算可以了 可以报销打车费 哈哈 这个不错 ', 'star': 5}
{'descr': '离九院不近 不过出租车过去只要起步费 最近有活动出组费可以抵扣房费还不错 前台小姐服务态度不好 有168会员卡不能延迟退房', 'star': 1}
{'descr': '房间隔音不好，离客车站挺近的。有三人房，挺方便！.', 'star': 5}
{'descr': '从机场坐地铁过去的。10号转8号下来有点远。离4号线挺近。对面就是沃尔玛。挺方便的。房间也不错~', 'star': 5}
{'descr': '总体来说感觉不错！~舒适，方便！价格也合适', 'star': 5}
{'descr': '不错，到外滩跟世博中国馆都是20左右，对面就有沃尔玛，很好！', 'star': 5}
{'descr': '房间还不错，挺干净。缺点是：隔音效果差，而且我的住的房间空调噪音很大。\n希望改进。', 'star': 1}
{'descr': '还可以！', 'star': 3}
{'descr': '特价房没窗', 'star': 3}
{'descr': '靠近世博园,比较方便,环境还可以', 'star': 3}
{'descr': '位置不错，房间烟味很大。洗手间灯光暗，但蛮干净的。', 'star': 3}
{'descr': '满意', 'star': 3}
{'descr': '感觉不错，距离城隍庙和外滩只有一个起步价的距离。床单很干净，推荐！', 'star': 5}
{'descr': '干净,方便,就是房间有点闷', 'star': 3}
{'descr': '满意！', 'star': 3}
{'descr': '说实话 酒店一般 靠马路噪音很大！沙发看上去不是很干净！', 'star': 1}
{'descr': '该酒店电视不能正常收看，服务人员称因有线电视机顶盒欠费，强烈投诉该酒店！\n', 'star': 1}
{'descr': '房间小、环境差，前台服务小姐态度很差，对农村来的客人不尊敬', 'star': 1}
{'descr': '房间太小了，设施也太陈旧，总台服务小姐狗眼看人！', 'star': 5}
{'descr': '很好的。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。', 'star': 5}
{'descr': '酒店房间隔音效果太差，隔壁吵闹声听得很烦人。交通还算方便。', 'star': 3}
{'descr': '很一般的酒店，几乎所有的东西都很一般，除了离外滩近就没有什么特色了', 'star': 1}
{'descr': ' 一般  发票忘开了，能补开给我吗？', 'star': 5}
{'descr': '住的很满意,非常好', 'star': 5}
{'descr': '坐地铁、去世博很方便，条件也很不错！\r\n', 'star': 3}
{'descr': '都不错，又吃饭的地方也有超市，比较方便。就是世博搞得价格上去了！\r\n', 'star': 3}
{'descr': '酒店离世博浦西场馆走路20分钟，并紧邻地铁站，交通十分便利。酒店设施在经济型酒店中属相当不错，床品很舒适，值得推荐！', 'star': 5}
{'descr': '看世博可以住，离园区3号门2公里不到吧。大床房388一天，但酒店设施比较旧，7楼房间没电，给我换到2楼，房间卫生情况也不好，在洗手间看到只西瓜虫。房内地毯也是污迹斑斑。而且酒店窗户隔音很差，紧挨马路噪音很大。前台服务不专业，临走电话通知前台退房，我人就可以直接下楼了，这样可以节省不少时间。前台非要我人出现在她面前才肯喊客房部验房，其实都扣了1000块押金还怕人跑了不成。而且我人到前台确实也等了很久', 'star': 1}
