{'短评内容': '性价比高，我到苏州都住那边', '短评打分': 5}
{'短评内容': '淋浴喷头和洗手池的水龙头都是坏的。枕头特别低，两个人都睡落枕了。窗户关不严，进风。被子薄。空调上厚厚的一层灰。卫生间连门都没有。', '短评打分': 3}
{'短评内容': '淋浴喷头和洗手池的水龙头都是坏的。枕头特别低，两个人都睡落枕了。窗户关不严，进风。被子薄。空调上厚厚的一层灰。卫生间连门都没有。', '短评打分': 3}
{'短评内容': '房间不错，来了就住这里，实惠干净，停车方便', '短评打分': 5}
{'短评内容': '房间不错，来了就住这里，实惠干净，停车方便', '短评打分': 5}
{'短评内容': '房间有异味，两人住，一个人晚上都没睡好，设施比较旧，价格与连锁酒店相差不大，格局有点乱，估计太久了吧', '短评打分': 3}
{'短评内容': '太潮，不满意', '短评打分': 3}
{'短评内容': '不错 已经成苏州出差的常住酒店', '短评打分': 5}
{'短评内容': '地理位置不错 ', '短评打分': 4}
{'短评内容': '卫生不好', '短评打分': 3}
{'短评内容': '价格不高 交通方便', '短评打分': 4}
{'短评内容': '交通方面 环境一般', '短评打分': 4}
{'短评内容': '房间干净，出行方便，服务热情', '短评打分': 4}
{'短评内容': '还不错，边上风景相当美', '短评打分': 3}
{'短评内容': '可以', '短评打分': 5}
