{'短评内容': '酒店很不错很干净服务很好', '短评打分': 5}
{'短评内容': '初次入住，服务周到，卫生整洁，停车方便！', '短评打分': 5}
{'短评内容': '酒店位置离医院很近，周围有金德利之类的快餐。 吃饭很方便。', '短评打分': 5}
{'短评内容': '酒店很干净，服务也很好，周围吃饭的也很多～交通便利～', '短评打分': 5}
{'短评内容': '好！', '短评打分': 5}
{'短评内容': '好评', '短评打分': 5}
{'短评内容': '服务热情，环境卫生', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '这是我住过所有佳驿设备环境比较差的一家了！', '短评打分': 1}
{'短评内容': '不怎么样！房间小不干净！屋子一股怪味！潮湿！设备陈旧！', '短评打分': 1}
{'短评内容': '挺好的，就是支持酒店有点少', '短评打分': 5}
{'短评内容': '地理位置很好，酒店环境也不错，带窗户，就是电视机不给力，还需要自己手动调试机顶盒，有杂音。', '短评打分': 5}
{'短评内容': '好好好好好好', '短评打分': 5}
{'短评内容': '非常棒', '短评打分': 5}
{'短评内容': '挺好', '短评打分': 4}
{'短评内容': '酒店环境和设施整体来说不错，底下就是统一银座，买些什么东西都比较方便，周围有金得利民什么的，吃早饭也很方便！', '短评打分': 5}
{'短评内容': '酒店工作人员态度超好 位置很好找 环境也很卫生 赞', '短评打分': 5}
{'短评内容': '山东的酒店还可以 ！房间安静干净', '短评打分': 5}
{'短评内容': '交通方便，服务态度也好。', '短评打分': 5}
{'短评内容': '交通方便快捷，干净', '短评打分': 4}
{'短评内容': '性价比挺好，其他的SOSO JUST', '短评打分': 3}
{'短评内容': '挺好的，不错，好好，，，，', '短评打分': 5}
{'短评内容': '已经多次入住了，唯独有一点不满意的地方就是停车场太小了，每次开车到酒店停车是一个问题。希望能扩建停车场', '短评打分': 3}
{'短评内容': '很好很干净，就是没有洗刷用具要自己带或者买，除了这点其他都很好', '短评打分': 5}
{'短评内容': '酒店很干净，附近也安静，走不远就有个大超市。', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 3}
{'短评内容': '环境不错干净下回有事还住', '短评打分': 3}
{'短评内容': '总体感觉还可以，就是餐厅小了些，因为餐厅小的缘故早餐的数量也少了些，质量也一般。 希望能扩建一下餐厅', '短评打分': 5}
{'短评内容': '很不错 前台服务态度较好  房间 也非常不错下次还来', '短评打分': 5}
{'短评内容': '酒店很干净，不错。', '短评打分': 3}
{'短评内容': '干净整洁额 床也挺大 就是房间小了点 洗漱包另收费 价格无优势 到140以内会更好 还是不错的\n ', '短评打分': 5}
{'短评内容': ' 佳驿不错！', '短评打分': 3}
{'短评内容': '环境中等.服务不错.但是房间内没有吹风机和免费一次性牙具很不习惯.', '短评打分': 1}
{'短评内容': '宾馆地点还算不错，离大明湖比较近。但是周围没有什么餐厅和景点，相对来说性价比较低。', '短评打分': 5}
{'短评内容': '房间干净、价格适宜', '短评打分': 3}
{'短评内容': '这家店很干净，服务也很好，出差基本都入住这里。', '短评打分': 3}
{'短评内容': '设施不知道全不全', '短评打分': 3}
{'短评内容': '             是个旅游的好住处 里泉城广场和洪楼都挺近 装修的不错。环境也很好。服务很到位  只不过电视有点问题。。 下次还去', '短评打分': 5}
{'短评内容': '下回来还会选择这个酒店的。很不错!尤其很晚了才订上！', '短评打分': 5}
{'短评内容': '环境也不错，离办事的地方也近。都临晚上了才想起定。好在还有房', '短评打分': 5}
{'短评内容': '酒店很干净,交通方便,,坐K91可直接到黑虎泉/解放阁/趵突泉等景点.只是牙具须单独付钱,不过这个价位,也可以了.', '短评打分': 5}
{'短评内容': '房间有些小、但是挺干净卫生、还算可以…', '短评打分': 3}
{'短评内容': '房间和电视有点小，卫生还不错  算是还能接受吧', '短评打分': 5}
{'短评内容': '环境很好，干净、舒适，比较喜欢，公交车也很方便。', '短评打分': 5}
{'短评内容': '还好吧～一分钱一分货～价格和服务是对等的\n', '短评打分': 5}
{'短评内容': '充满惊喜感的地方，价格很便宜，但是干净整洁温馨，非常好！', '短评打分': 5}
{'短评内容': '挺好的', '短评打分': 3}
{'短评内容': '很好', '短评打分': 3}
{'短评内容': '很好的酒店，服务很不错，早餐很不错，下次考虑还住在那里', '短评打分': 5}
{'短评内容': '很好的 地理位置还可以 住的很干净舒服~服务很好的', '短评打分': 5}
{'短评内容': '不错', '短评打分': 3}
{'短评内容': '房间内饰布置很好 就是那个破门很不配套，那么大一个缝，而且好像每个门都那样。还有就是隔断不是实心墙，是用木板隔得，隔音不是很好吧', '短评打分': 5}
{'短评内容': '房间很好，服务也不错，就是空调吹的不行，直接对着床！值得入住', '短评打分': 3}
{'短评内容': '不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错', '短评打分': 5}
{'短评内容': '酒店距离趵突泉和商业步行街比较近，出行还可以，房间隔音不错，服务很周到，卫生条件干净，住宿环境还不错', '短评打分': 5}
{'短评内容': '硬件设施太简单，卫生还可以挺干净的，主要是位置很好靠近我办事的地方，其他都一般', '短评打分': 5}
{'短评内容': '推荐大家入住,交通、卫生以及服务质量均可以', '短评打分': 3}
{'短评内容': '新装修的房间室内还是有股味道.不过硬件条件还是不错的,综合性价比很好.', '短评打分': 5}
{'短评内容': '比想象中的要好很多，值得选择，下次继续！', '短评打分': 5}
{'短评内容': '位置还不错，酒店设施及服务都不错，装修也具现代个性，不错了。', '短评打分': 5}
{'短评内容': '位置还算可以，环境也比较安静，就是前台比较少，有时办理入住有点慢，客房很舒适，网速也挺快，但是卫生间有点小，没有数字电视挺可惜的。', '短评打分': 5}
{'短评内容': '我觉得这家酒店挺不错，各方面都很达标，住的挺舒适的。', '短评打分': 5}
