{'descr': '位置合适，环境也可以。', 'star': 4}
{'descr': '不错，性价比很好，', 'star': 5}
{'descr': '晚上火警报警器响了因为有人抽烟，吓死人了以为有火灾，厕所排风扇是坏的，热水很慢，隔音超级差！！也是醉了', 'star': 3}
{'descr': '入住环境比想想的好多，赞了', 'star': 5}
{'descr': '服务态度不错，空调不热', 'star': 5}
{'descr': '环境不错，价格实惠！', 'star': 5}
{'descr': '位置离汾河较近。没有停车场。早餐还有餐厅，还可以吧。服务不错。', 'star': 5}
{'descr': '里边有蚊子', 'star': 1}
{'descr': '很舒适', 'star': 5}
{'descr': '一般吧', 'star': 3}
{'descr': '还好', 'star': 3}
{'descr': '经济实惠，舒适', 'star': 5}
{'descr': '一如既往的如家，好', 'star': 5}
{'descr': '很好', 'star': 5}
{'descr': '房间还行，挺干净的，唯一不好的就是这wifi，用到我想爆炸，就两格，还老掉，还有暖气片没开，冷了只能开空调，这空调还老响。', 'star': 4}
{'descr': '还可以啦，就是没有窗户，有点闷，隔音差', 'star': 5}
{'descr': '不错不错出行方便', 'star': 5}
{'descr': '不错不错价格优出行方便', 'star': 5}
{'descr': '还可以', 'star': 3}
{'descr': '嗯嗯嗯 嗯嗯嗯', 'star': 5}
{'descr': '屋内的设施很陈旧，希望装修下，不然很难有回头客。', 'star': 3}
{'descr': '地理位置很好，离迎泽大道很近，有各路公交车到太原市内各处，其中6路到火车站，对我们这样的背包客非常方便。面临的小街干净，卫生，购物、饮食非常方便（隔壁就有几家体育用品店，甚至有一家奶制品批发的，对面有肯德基和一个小饭店）。前台人员比较热情，楼层服务人员也很可亲和大方。住在这里深深体会到太原这个城市的秩序和安宁！', 'star': 5}
{'descr': '很好，很干净，处于市中心，交通非常方便，完全推荐！', 'star': 5}
{'descr': '还可以交通便利，旁边就是滨河公园，对面有KFC和麦当劳。离柳巷也不远，逛街很方便。就是房间太小了', 'star': 5}
{'descr': '嗯，很不错，下次来还是首选。就是那个早餐不太给力啊', 'star': 5}
{'descr': '干净、舒适、卫生，服务热情，是一家不错的酒店。', 'star': 3}
{'descr': '每次到太原，我都住这里。非常方便，周围的环境不错。打车购物吃饭都很方便。', 'star': 5}
{'descr': '一直就这儿很方便，早餐12元一位，旁边有麦当劳，肯德基还有超市，对面有卡拉ok的。', 'star': 5}
{'descr': '房间还不错，服务员态度很好，周围有很多吃东西的地方，坐车也方便', 'star': 5}
{'descr': '房间还不错，宾馆旁边有个如家餐厅很是方便，附近吃的东西很多，交通也便利。', 'star': 5}
{'descr': '交通不便利，条件一般般，打车很难，不推荐', 'star': 1}
{'descr': '住过好几次了，挺不错的一个酒店。装修挺好挺新的。。。。。。。。', 'star': 5}
{'descr': '环境不错', 'star': 3}
{'descr': ' 如家环境很好空间也大', 'star': 3}
{'descr': '还不错，来太原就住这边，周边交通方便，吃饭也方便，就是电视有点次', 'star': 5}
{'descr': '房间无窗，其他一样。距离火车站4公里左右，周边有超市。', 'star': 5}
{'descr': '不错', 'star': 3}
{'descr': '还不错。', 'star': 3}
{'descr': '干净.卫生.服务好.下次还会入住', 'star': 3}
{'descr': '环境很幽静，设施也很好，价格也有优惠，经常住。', 'star': 5}
{'descr': '一直住这里，不错', 'star': 3}
{'descr': '服务员态度不错，', 'star': 3}
{'descr': '挺好的，交通方便，吃饭也方便', 'star': 3}
{'descr': '房间一般，但是服务员很热情，感觉挺好的！如果房间质量提高下就好', 'star': 3}
{'descr': '不错，服务员态度也很好，附近吃饭也方便，交通也可以，', 'star': 3}
{'descr': '房间虽小，还算干净。冲凉水量特别大，舒服。其他一般。', 'star': 5}
{'descr': '房间很安静，就是不是太好找', 'star': 3}
{'descr': '入住的是小单间，条件很好，看上去应该是最近翻新过。很舒服，最重要的是很安静，就像是在小区里面住的感觉，以后还会来。', 'star': 5}
{'descr': '还可以吧，就是离我去的地方有点远，整天还不错啦', 'star': 5}
{'descr': '交通很方便，如家态度也很好，房间挺大。\n就是味道有点，感觉有点潮，隔音也不是很理想，但是总体还是很满意', 'star': 5}
{'descr': '在推荐与不推荐徘徊许久还是放弃，觉得它两不靠！\n值得推荐的是它吃比较方便，中档可以去对面的招待所餐厅，抵档可以去学员餐厅。\n尽管10元自助早餐不算贵，但是它早餐冷菜肠胃不好的可能会不适应，\n我母亲就拉了两天肚子，我这个常出差的也微微感觉肚子不舒服！\n前面的学员餐厅其实更加实惠，找到当年大学餐厅的那种感觉。\n但是点餐学员餐厅明显档次差一点，炒菜太油南方人不太适应，\n而且油明显不如招待所餐厅那么清爽，', 'star': 1}
{'descr': '气象局内，周围环境好  临近地铁公交，交通便利', 'star': 5}
{'descr': '环境好，清净', 'star': 3}
{'descr': ' 住过如家很多次，但这家的服务态度特别好，服务员包括打扫卫生的阿姨都很热情，很不错', 'star': 3}
{'descr': '比我想象的要好多了，很干净，安静，睡的很香。和一般快捷酒店差不多了', 'star': 5}
{'descr': '总体可以，周围的环境不错，价位还好，隔音很差，出行方便', 'star': 1}
{'descr': '早饭不好吃', 'star': 3}
{'descr': '有免费的薄荷糖 很好\n对面有很好吃的饭店，比如洪老五，还有桃园二巷的美食街，太喜欢那了\nbtw，还有kfc在附近', 'star': 5}
{'descr': '旅馆地理位置好，交通方便；服务员对人友好，能热情解答客人的问题，感觉挺温馨的；旅馆房间干净、明亮，但隔音效果不好，隔壁说话能听得很清楚；卫生间热水很好，但排水系统需要改进，一旦洗澡，整个卫生间满地都是水。总体给好评吧！', 'star': 5}
{'descr': '比较安静，安静是我最看重的。地理位置优——适合去中关村一带办事的人。性价比算是比较好了。。…。…', 'star': 5}
{'descr': '房间还好了，就是特价放的空间感觉有点压抑。', 'star': 5}
{'descr': '还可以\n不错。\n网速慢。................', 'star': 5}
{'descr': '房间小，\n灰尘大，\n墙皮脱落，\n卫生间换气扇大声。。。', 'star': 1}
{'descr': '经济房的房间很小，\n天花板都脱皮了\n电视不清晰；老式的。交通蛮方便。\n卫生间噪音大。', 'star': 1}
{'descr': '各方面都不错，连住了6天，对面有一家羊汤馆，羊肉汤特不错，就是网速实在是太慢了。', 'star': 5}
{'descr': '不错，交通方便，周围什么都有，服务什么的也挺好，连住了一周。', 'star': 5}
{'descr': '房间干净整洁，无气味，空调温度很暖和，床很大，我这订的是单人无窗户间，靠近电梯口，隔音效果不好，服务人员有点不负责任，昨天问过不会涨价，结果第二天续房说要涨价，后经过抗议，没给调。', 'star': 5}
{'descr': '条件不好,朋友去了没房，有短信才给开了一个208的房打了85折', 'star': 1}
