{'短评内容': '很好～', '短评打分': 5}
{'短评内容': '老板一家人很好，定的房子觉得有点小，老板给优惠升到了最大的屋子哈，院子古香古色，临走老板给我们送到停车场，还送了一桶醋。另外提点小建议，屋子里除了灯笼装饰灯，能不能外加个LED照明灯。', '短评打分': 5}
{'短评内容': '房间很不错，有古城的风格，屋里有空调，电褥子，店家服务真的很好，从火车站免费接送，耐心告诉我们怎么玩，联系去壶口瀑布啥的，很温柔的大哥哥，还会送当地陈醋，如果有机会能再来的话，会再次选择他们家', '短评打分': 5}
{'短评内容': '老板人超级nice，老板娘介绍的特别详细。老板还从北门把我们接到客栈。周围晚上有很多很不错的小酒吧。客栈的环境不错，很安静的小院子，很适合旅行住。标准的民宿值得推荐！', '短评打分': 5}
{'短评内容': '店家超好，不知道地方还会接送，还会告诉你怎么逛。不错不错。', '短评打分': 5}
{'短评内容': '老板人超好，老板娘旅游功课做的超好，还送了地图，地图上画了路线，圈出了必玩景点，还帮我们找了去王家大院的拼车，特别推荐', '短评打分': 5}
{'短评内容': '老板胖哥哥很热情，环境很古朴，推荐的桃花面味道超好，价钱合理', '短评打分': 5}
{'短评内容': '客栈卫生不错，周边到西大街北大街还算近，老板给了免费地图，介绍了游览线路和注意事项，很有帮助。进出古城车子接送，方便。带着老人，给升级了大床，宽敞。', '短评打分': 5}
{'短评内容': '离北门很近，来的时候和走的时候老板都派车接送了，服务态度很好，还介绍在哪儿买东西最划算（客栈旁边就是个生产漆器的厂家，在那里买比外面划算，我们买的时候漆器厂老板亲自介绍，便宜了不少）。离程家大院二部很近，价格上便宜不少。推荐给大家。', '短评打分': 5}
{'短评内容': '趁着新年给自己放假，出来看看古城的风景，感受古城的气息，第一次在携程上预订住房，刚开始还有些担心，来到客栈之后感觉到了家的温馨，美女姐姐老板娘还耐心的跟我介绍了平遥古城的景点，路线也耐心的告诉了我，很是谢谢。第一次睡土炕，本以为是真的原始的炕下有暖气的，这个有点点小失望喔，不过晚上有电褥子，房间还有暖气，睡得也很舒服，最重要的是体会了一把睡土炕的生活，哈哈，今天新年第一天，又要开始幸福之旅了，祝自', '短评打分': 5}
{'短评内容': '老板人特好，而且特别细心给讲解去那里逛买东西不会上当1????点一点告诉，大赞', '短评打分': 5}
{'短评内容': '非常满意，环境很好，老板人非常热情，讲解了游玩攻略，下次还会再选择！', '短评打分': 5}
{'短评内容': '老板很不错，给我们一张地图，讲解了古城的路线。', '短评打分': 3}
{'短评内容': '环境好，交通方便，老板热情，值得推荐', '短评打分': 5}
{'短评内容': '这个酒店太不守信用了，我们预订了该酒店，而且电话通知会晚到，酒店还给我们发了短信告知路线，但是当我们到酒店时，该酒店却说没房了。请问这么不守信用的酒店你还敢去住吗？', '短评打分': 3}
