{'短评内容': '很好', '短评打分': 5}
{'短评内容': '刚预订就被取消，这个季节有那么多人住酒店吗？一颗星都不想给。', '短评打分': 1}
{'短评内容': '不隔音', '短评打分': 4}
{'短评内容': '早餐不错！', '短评打分': 5}
{'短评内容': '挺一般的酒店，高级双床也没提现优势，比现场订还贵，没有什么亮点，设施也较陈旧', '短评打分': 3}
{'短评内容': '离厦门火车站太近了。', '短评打分': 5}
{'短评内容': '不发表看法，不做评论，一切看评分。', '短评打分': 2}
{'短评内容': '服务态度极差', '短评打分': 5}
{'短评内容': '服务态度极差', '短评打分': 5}
{'短评内容': '一般，老酒店，还凑合吧。', '短评打分': 5}
{'短评内容': '没有这个房，弄的我又要退，麻烦', '短评打分': 5}
{'短评内容': '一般般，有点麻烦', '短评打分': 5}
{'短评内容': '还不错，环境挺好的。', '短评打分': 5}
{'短评内容': '跟快捷酒店差不多，动车车务人员定点宾馆，在厦门火车站边也算便宜了', '短评打分': 4}
{'短评内容': '安全正点服务好。点赞安全正点服务好。点赞安全正点服务好。点赞', '短评打分': 5}
{'短评内容': '一般，商务出行足够', '短评打分': 4}
{'短评内容': '非常一般了', '短评打分': 3}
{'短评内容': '不好不坏，按照出费来看中规中矩', '短评打分': 4}
{'短评内容': '酒店离办事地点近，房间宽敞卫生，前台妹妹甜美热情，周围环境不错，性价比比较高，总体相当满意，下次还会考虑入住。', '短评打分': 4}
{'短评内容': '酒店地理位置还可以，离火车站比较近，但是客服发票开错了，水单也不能盖章。', '短评打分': 4}
{'短评内容': '太旧', '短评打分': 3}
{'短评内容': '好，11月17号【快乐大本营】录制，嘉宾：杨幂，张云龙，迪丽热巴和周笔畅，包贝尔，武艺等', '短评打分': 5}
{'短评内容': '酒店内设施太差，跟普通宾馆相比还是差，周边环境确实不错，交通也是方便，就是酒店内设施太差。', '短评打分': 2}
{'短评内容': '一般，有点失望', '短评打分': 3}
{'短评内容': '妈妈比较满意', '短评打分': 4}
