{'短评内容': '实惠型，麻雀虽小，五脏俱全，值得入住！', '短评打分': 4}
{'短评内容': '服务很好', '短评打分': 5}
{'短评内容': '哦', '短评打分': 5}
{'短评内容': '打扫卫生不是很干净', '短评打分': 4}
{'短评内容': '还行吧周边超市什么的很少但是位置不错', '短评打分': 3}
{'短评内容': '这个酒店全电子化门禁，没有实体门卡，有点意思', '短评打分': 5}
{'短评内容': '因地理环境优越，再续订一晚', '短评打分': 4}
{'短评内容': '因地理环境优越，又续订一晚。', '短评打分': 4}
{'短评内容': '在携程订的一个订单两晚，结果前台非说两晚必须两个订单。最后找携程投诉才顺利入住。酒店服务有待加强培训。', '短评打分': 5}
{'短评内容': '环境一般，条件一般，服务一般！', '短评打分': 5}
{'短评内容': '还可以吧！房间有点小，价格不错！', '短评打分': 4}
{'短评内容': '很好，120元，很干净舒适。', '短评打分': 3}
{'短评内容': '房间有点旧，客服不错，热情。艺龙超级差。下次不敢在艺龙定了，一波三折。累', '短评打分': 3}
{'短评内容': 'Hhh', '短评打分': 3}
{'短评内容': '连续入住三天，因为与我办事的地方较近，环境一般，设施比较陈旧，其它还好。', '短评打分': 3}
