{'短评内容': '环境太好了。房间很大。服务态度很好还送大果盘。', '短评打分': 5}
{'短评内容': '非常非常好', '短评打分': 5}
{'短评内容': '服务好环境好', '短评打分': 5}
{'短评内容': '蛮适合旅游居住', '短评打分': 5}
{'短评内容': '位置不错，海景迷人', '短评打分': 5}
{'短评内容': '运气好，房间免费升级成了高级海景标准间，带阳台，而且是朝东的，遥望刘公岛，而且早晨起来在阳台上就能看海上日出。大堂经理很热情，房间里挺干净的，各种设施齐全，还有免费的水果和点心。就是冰箱里看着不太干净，不过我们也没用。游泳池是海水的，而且加温过，下去不会觉得太凉。但是要注意，每天每个房间只能允许两个人免费游泳，而且必须戴泳帽，如果你没有的话要在服务台买，20块钱一个。楼下可以直接走到海边，现在新修了步道，沿着台阶可以一直下到海水里，不过都是大石头，不能游泳，但可以踩着礁石去捉捉小鱼小虾，光在这就能玩上一天。酒店可能有国企背景吧，来的这天赶上有会议在这召开，满院子的军人和警察，特有安全感。总之各方面都不错的，自驾来玩是个不错的选择。', '短评打分': 5}
{'短评内容': '挺好的酒店，休闲度假的好去处，下次去威海的首选。', '短评打分': 5}
{'短评内容': '很不错的服务，周边环境也很好，就在海边', '短评打分': 5}
{'短评内容': '老宾馆啦，就那样吧', '短评打分': 4}
{'短评内容': '风景服务都非常好 散步溜达也一流 餐厅味道也不错', '短评打分': 5}
{'短评内容': '一般般了，价格便宜', '短评打分': 3}
{'短评内容': '不错的酒店，就是离市区远一点，不过威海本身也没多大', '短评打分': 5}
{'短评内容': '早上要去赶飞机，告诉前台没有房间消费，居然让我等了5分钟查房。我没有等查房等习惯', '短评打分': 4}
{'短评内容': '环境非常好～设备也很新～', '短评打分': 5}
{'短评内容': '性价比稍差， 距离5星标准还有一定距离。', '短评打分': 3}
{'短评内容': '还不错，海边环境很好。', '短评打分': 5}
