{'短评内容': '舒适环境好。', '短评打分': 5}
{'短评内容': '给老板添了不少麻烦，但是他很有耐心。虽然没有暖气，特地多给了我一床被子，而且有电热毯，并不是很冷。不错。', '短评打分': 5}
{'短评内容': '店家热情，服务态度好', '短评打分': 5}
{'短评内容': '服务还可以', '短评打分': 3}
{'短评内容': '位置好，', '短评打分': 5}
{'短评内容': '非常好 老顾客了 very  nice  ,good', '短评打分': 5}
{'短评内容': '环境可以，地理位置也好，老板人也非常好。', '短评打分': 5}
{'短评内容': '挺不错的，可以。', '短评打分': 5}
{'短评内容': '位置特别好价格实惠 可以接待外宾条件比较差，冬天冷，灯不亮，特别吵', '短评打分': 4}
{'短评内容': '一分价钱一分货。位置还是不错的，但青年旅社嘛，洗漱的地方太简陋，墙壁也都是狂热的涂鸦，如果想体验的话还是可以，凑合睡觉的地方罢了。', '短评打分': 3}
{'短评内容': '是年轻的帅哥美女组合，态度很好的。', '短评打分': 5}
{'短评内容': '还可以，比较有特色', '短评打分': 5}
{'短评内容': '一般', '短评打分': 5}
{'短评内容': '前台姑娘人热情 非常好 就是我去了是淡季 没人很冷清！', '短评打分': 5}
{'短评内容': '非常推荐，价格便宜，环境不错，老板人也好，给我们推荐路线，总体非常好！', '短评打分': 3}
{'短评内容': '还行吧 只是莫名奇妙明明休了两天 只确认我一天', '短评打分': 4}
{'短评内容': '位置很好，在西宁最繁华的地段，不过房间里面设施有点老。不过价格便宜  想去哪里玩 路线都有  方便', '短评打分': 4}
{'短评内容': '除了地理位置，别的都不怎么好', '短评打分': 3}
{'短评内容': '位置很好，老板人不错，适合驴友，背包客，氛围很好！', '短评打分': 5}
{'短评内容': '不错，驴友，背包客，首选之地！！！位置很好，吃的东西很多！', '短评打分': 5}
