{'短评内容': '垃圾酒店', '短评打分': 5}
{'短评内容': '很久很差劲', '短评打分': 2}
{'短评内容': '没见过条件这么差的宾馆，卫生间反味，地毯太脏，房间一股霉味，灯是坏的，床边还漏水', '短评打分': 3}
{'短评内容': '不知道', '短评打分': 5}
{'短评内容': '酒店位置很好，就在宝塔山河对岸，酒店是高层，很方便看灯光夜景，周边是商业街，吃饭购物极方便。有一个很大的停车场院子，停车方便。', '短评打分': 5}
{'短评内容': '延安核心，方便直接去宝塔山', '短评打分': 4}
{'短评内容': '环境不错', '短评打分': 1}
{'短评内容': '还可以', '短评打分': 4}
{'短评内容': '非常棒！能看到宝塔山…… 很喜欢', '短评打分': 5}
{'短评内容': '父母入住的，听说特别好', '短评打分': 5}
{'短评内容': '酒店服务态度很好，房间整洁干净', '短评打分': 5}
{'短评内容': '周边繁华，但是价格性价比不高', '短评打分': 4}
{'短评内容': '不值这个价', '短评打分': 4}
{'短评内容': '整体感觉还行', '短评打分': 3}
{'短评内容': '环境还可以', '短评打分': 4}
{'短评内容': '位置佳，卫生也可以，但卫生间设备很旧，且早自助餐不理想。', '短评打分': 4}
