{'descr': '感觉还不错，服务态度好，就是墙纸有些脱落！别的都还好！', 'star': 3}
{'descr': '经济实惠，地理位置好。适合咱老百姓在外过渡的好地方。对于不足来说就是墙纸有些脱落影响美观，设施比较旧点，但对比好处来说都不值得一提了。', 'star': 5}
{'descr': '：九十元房无厕所洗澡间。而且没有窗。其他都挺好。', 'star': 3}
{'descr': '条件挺好的，在市中心，也挺方便的', 'star': 3}
{'descr': '不错，干净卫生，服务态度好', 'star': 3}
{'descr': '交通到时很方便，离办事的地方有些远，基础设施太差。', 'star': 1}
{'descr': '干刷舒适，房间很大，卫生间很破旧。周边环境一般。价格适中。', 'star': 5}
{'descr': '感觉很好！地理位置较好！相对于其他宾馆价格较便宜！服务、环境都行！', 'star': 5}
{'descr': '相当不错，交通便利，网速相当快，服务态度也不错', 'star': 5}
{'descr': '总体条件都不错，房间干净，旅途劳顿回到酒店能洗个热水澡，感觉舒适。', 'star': 5}
{'descr': '闹中取静的一个地方，外观看起来不怎么样，但是房间的确不错。在网上订的是三人间一大床一小床，让我们看房看得也是一大一小，但最后给我们的却是三个小床。一大一小的采光比三个小床的采光好多了。一开始不给我们换，但最后力争了一下也就给我们换了。各位网友订房的时候一定要注意床的规格，省得被糊弄过去。房间卫生还不错，卫生间很大，房间也还不小。但唯一一点不好的就是没有插座，只有一个是连着电视的，只能晚上睡觉的时候', 'star': 5}
{'descr': '环境一般…晚上被蚊子咬死了…', 'star': 3}
{'descr': '性价比不高，服务态度差，房间里有蚊子找前台要蚊香尽然告知没有，让自己掏钱买去。', 'star': 1}
{'descr': '还不错，就是卫生间卫生还有待提高。55555555555555555555', 'star': 5}
{'descr': '不是网上看到的那样，里想象的太远，卫生没搞好，没有电梯，设施简陋，卫生间有异味。', 'star': 1}
{'descr': '地理位置很方便，就是条件差点，价格很便宜。', 'star': 5}
{'descr': '凑合', 'star': 3}
{'descr': '不错', 'star': 3}
{'descr': '空间大，地理位置好，整洁干净。感觉不错。', 'star': 5}
{'descr': '价格合适，到火车站和汽车站有直达公交车，条件一般', 'star': 5}
{'descr': '价格合适，到汽车站和火车站有直达公交车，条件一般', 'star': 5}
