{'短评内容': '景色不错，住的尚可。', '短评打分': 4}
{'短评内容': '一般般，不过在贾登峪这样的住处已经可以了', '短评打分': 4}
{'短评内容': '实在是太冷了', '短评打分': 1}
{'短评内容': '景区周围，停车场很大，位置也好，就是太冷了', '短评打分': 5}
{'短评内容': '房间太冷了 冻的半死 进到楼区里没有明显标志 找不到 要不停的打电话 才能找到 没有空调 只有一个小热水器 半夜睡觉冻脑袋', '短评打分': 2}
{'短评内容': '这个酒店不是真实住的那个，携程管理混乱', '短评打分': 1}
{'短评内容': '满满都是槽点', '短评打分': 1}
{'短评内容': '物美价廉。不错下次再住', '短评打分': 5}
{'短评内容': '夜里两点赶到，被安排到一个不知名的地方，住的房间没打扫，100元的房价都不值。', '短评打分': 2}
{'短评内容': '老板娘服务很不错，酒店离停车场也就是一区比较远，不过老板娘帮叫车帮订房什么的，都很好。酒店设施还得多完善，洗漱用品要备好', '短评打分': 3}
{'短评内容': '卫生，环境好，服务好！', '短评打分': 3}
{'短评内容': '环境优美，服务很好，地理位置佳', '短评打分': 3}
