{'短评内容': '没有早餐。位置挺安静。附近有停车场', '短评打分': 4}
{'短评内容': '可以，服务挺不错吧。有礼貌', '短评打分': 5}
{'短评内容': '房间有点小，床还干净点，墙角有点脏，别的还行。', '短评打分': 4}
{'短评内容': '啊啊啊啊啊啊啊', '短评打分': 5}
{'短评内容': '好好好好好', '短评打分': 5}
{'短评内容': '干净卫生，服务也不错', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '出差住住还可以', '短评打分': 4}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '环境不错', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '还可以，就是房间太小了，枪毙也不太干净，总体来说还算不错', '短评打分': 4}
{'短评内容': '房间很好很干净，周边小吃店非常多', '短评打分': 5}
{'短评内容': '酒店在市中心，确实还是非常超值的。设施方面也还不错的。比较干净、卫生。周边环境总体还好。服务方面，天冷想要加个被子，没给，所以算３分。', '短评打分': 4}
{'短评内容': '酒店在市中心，这个价位确实还是非常超值的。设施方面也还不错的。比较干净、卫生。周边环境总体还好。服务方面，天冷想要加个被子，没给，所以算３分。', '短评打分': 4}
{'短评内容': '还好', '短评打分': 4}
