{'短评内容': '房间小啊.没窗户啊.服务还可以啊.', '短评打分': 5}
{'短评内容': '房间小啊小啊.没窗户啊。', '短评打分': 5}
{'短评内容': '房间一如既往的小啊。', '短评打分': 5}
{'短评内容': '房间有点小.在网上预定的.', '短评打分': 4}
{'短评内容': '房间光线、通风不太好\n房间不大，设施还不错\n', '短评打分': 1}
{'短评内容': '价格实惠，交通便利，附近有不少吃饭的地方，并且都很美味，很不错。', '短评打分': 5}
{'短评内容': '很不错，麻雀虽小五脏俱全。基本设施全，和锦江之星是一家，有个餐厅，小炒价格味道都不错。', '短评打分': 5}
{'短评内容': '这个酒店真不错，服务也很好的，房间也很干净，出差很合适的', '短评打分': 5}
{'短评内容': '服务员态度不错，房间也干净，就是枕套没换，叫服务员现换的。地理位置也好，就在汽车站旁边，但是里火车站有点远。综合看性价比还可以', '短评打分': 5}
{'短评内容': '很温馨的房间，很喜欢这种单人小房间，麻雀虽小五脏俱全~', '短评打分': 5}
{'短评内容': '环境好不错.服务也可以。就是门口有巴士挡住了 ，进去的时候有点困难', '短评打分': 5}
{'短评内容': '环境不错~就是不知道为什么不能上网~床有点小~其他都很好', '短评打分': 3}
{'短评内容': '格调我蛮喜欢的，位置也不错。价格实惠，干净整洁。', '短评打分': 5}
{'短评内容': '还可以，简单，干净，价格实惠', '短评打分': 3}
{'短评内容': '房间比较干净，也很安全，值得出差到沙市的人员居住，还有，这酒店有吃饭的地方，方便就餐问题的解决', '短评打分': 5}
{'短评内容': '很实惠的一家酒店，酒店返利也很诱人。离繁华的北京路也很近。', '短评打分': 5}
{'短评内容': '非常满意，房间很干净，用物很齐全，下次还会去住的。', '短评打分': 3}
{'短评内容': '性价比非常高的一家酒店，下次还会选择这家酒店！', '短评打分': 5}
{'短评内容': '还是上次的房间，整体感觉还是那么好，小点没有关系，干净、整洁、舒适较好！', '短评打分': 5}
{'短评内容': '房间比较小！房账和吃饭还要分开付款不能直接挂帐，比较麻烦', '短评打分': 3}
{'短评内容': '房间有点小~比较潮湿其它都挺好的~这次中评吧', '短评打分': 3}
{'短评内容': '很干净的宾馆,安静舒适', '短评打分': 3}
{'短评内容': '不错，环境幽雅，值得这个价格，下次去还入住', '短评打分': 5}
{'短评内容': '房间还不错，比其它地方百时要大很多，格局也要好点，但入住时一定要挑间阳光能进入的房间，要不太潮湿，地方很安静，也好找，餐厅也不贵。', '短评打分': 5}
{'短评内容': '还不错~ 但是毛巾不是很干净 还好自己带了  ', '短评打分': 5}
{'短评内容': '房间很小，有些小小的失望，更重要的是服务需要改善，整理房间，连被子都不帮叠一下，虽然我无所谓，但让人感觉服务人员很不专业。提个意见而已。还有希望房间能配拖鞋。', '短评打分': 5}
{'短评内容': '很干净，服务态度不错(^.^)', '短评打分': 3}
{'短评内容': '还不错，整体环境相关都还很好，还行·········', '短评打分': 5}
{'短评内容': '酒店服务不错，房间很干净的，内部设施也可以，交通也很方便，值得大家住的酒店。', '短评打分': 3}
{'短评内容': '挺干净的，房间很小，还蛮温馨的··就是一次性拖鞋没有，还要花钱买', '短评打分': 5}
{'短评内容': '还是在这住的。方便又舒服。都不知道说什么了。', '短评打分': 5}
{'短评内容': '很好.....很满意的!不是很吵闹的.空气也比较好，就是有某个服务员态度不是很好', '短评打分': 5}
{'短评内容': '态度很好，环境舒适。', '短评打分': 3}
{'短评内容': '第二次来这里了，服务很不错。网络也很好。', '短评打分': 5}
{'短评内容': '房间不错，很大的，环境也很好，交通方便，服务也很好的。大家可以选择。', '短评打分': 5}
{'短评内容': '房间不错。但地方不好找，找了好久才找到。下次知道地方了。', '短评打分': 5}
{'短评内容': '很好，住这为子干什么都方便。就是隔音效果不是很好。', '短评打分': 5}
