{'短评内容': '帮朋友订的 性价比还可以', '短评打分': 4}
{'短评内容': '脏，设备古老。', '短评打分': 2}
{'短评内容': '环境不好，而且节假日额外订单需额外加50rmb。', '短评打分': 3}
{'短评内容': '昨晚盖被子闻到被子一股味道，下去要求换，结果是说没有干净的了，只有冬天的被子而且没晒。床单之前用过的也没换，上面还有污渍。反正住的各种难受。', '短评打分': 3}
{'短评内容': '就价格来说性价比还算可以了', '短评打分': 4}
{'短评内容': '酒店卫生不错，离马路近了点，车路过的声音也挺大的，不过地方好找！满意', '短评打分': 5}
{'短评内容': '宾馆的条件很差，服务人员的素质也很差，受骗的感觉。', '短评打分': 2}
{'短评内容': '不错，离西湖很近。交通方便，环境还可以。下次还来。', '短评打分': 5}
{'短评内容': '房间好小哦…真的有霉味…就一晚将就了…', '短评打分': 3}
{'短评内容': '住的还算满意,服务员比较热情，房间比较干净，离火车站比较近', '短评打分': 5}
{'短评内容': '价格很合适', '短评打分': 3}
{'短评内容': '就这个价位来说，性价比还是不错的。房间设施虽然不是很新，但关键是床单什么的都比较干净，床也蛮舒服', '短评打分': 5}
{'短评内容': '给朋友定的，朋友说房间很干净，离火车站很近，离西湖走路也就半个小时的时间，总体还是不错的。', '短评打分': 5}
{'短评内容': '还好。就是早上有点吵。房间有点小，服务挺好的。', '短评打分': 5}
{'短评内容': '总体感觉一般 毕竟128的房间  可能不是特价房要好点', '短评打分': 1}
{'短评内容': '跟招待所差不多，设施旧，灰尘多，晚上吃宵夜不错的地方，跟市中心比起来的话，稍微有点偏了', '短评打分': 1}
{'短评内容': '服务态度很好。。。设备挺齐全的。。', '短评打分': 3}
{'短评内容': '酒店倒是还干净，服务也还行，就是我订的其中一间马桶堵了，喷头也没用，郁闷啊…', '短评打分': 3}
{'短评内容': '＋房间看起来很旧的样子，很小，最主要没有柜子放东西，不过这个价位在杭州还可以', '短评打分': 3}
{'短评内容': '酒店条件挺好的。就是早上有点吵。给个好评吧', '短评打分': 3}
{'短评内容': '房间还不错，就是小了点，周边的交通方便，喜欢吃夜宵的朋友，出了酒店门左右都可以选择，服务员很和气，选一间不靠马路的房间，早上想睡懒觉还是很安静的', '短评打分': 5}
{'短评内容': '酒店一般，服务态度极差，房间有蚊虫，把我都快咬死了！', '短评打分': 1}
{'短评内容': '推荐别定特价房，味道那个重啊，会呕吐的，最好选个有窗户的', '短评打分': 5}
{'短评内容': '周末去住的，花了128，蛮好的，交通还算方便，走去西湖也很方便，就是有点小远。麻雀虽小，五脏俱全~隔音效果应该不错，没听到什么声音，还算干净，就是晚上空调声音大了点，同学没睡着。整体来说，性价比不错的', '短评打分': 5}
{'短评内容': '这个价格还可以，住的是无窗的，床特大。但是走路到延安路还是有点远的，起码20分钟吧。不过可以坐坐公交', '短评打分': 5}
{'短评内容': '地理位置很好，附近吃的很多。房间干净、整洁，住得很安心啊，对得起这个价位。', '短评打分': 5}
{'短评内容': '干净整洁,位置不错,在江边,绿化非常好.', '短评打分': 5}
{'短评内容': '总体来说还不错的。。。空调也比较给力的、、就是电视的频道太少了。。', '短评打分': 5}
{'短评内容': '第一印象还行', '短评打分': 3}
{'短评内容': '性价比还不错的', '短评打分': 3}
{'短评内容': '房间不大，但属于麻雀虽小，五脏具全的，一个人住还是蛮乐惠的。', '短评打分': 3}
{'短评内容': '地段好，房间也比较干净，下次有机会会再去，这个价位在那个地段算很便宜啦', '短评打分': 5}
{'短评内容': '房间里的网速太慢了，服务也一般', '短评打分': 3}
{'短评内容': '位置很好，到西湖、河坊街、火车站都很近。晚上挺安静。', '短评打分': 5}
{'短评内容': '很好。。吃的很多。。就是房间隔音太差。。半夜隔壁有点吵\n', '短评打分': 5}
{'短评内容': '酒店很安静，交通方便，但是电视自己不能开，后来工作人员帮我们弄好了，给个好评。', '短评打分': 5}
{'短评内容': '离火车城站和西湖的距离都不远，性价比还可以，住的这间隔音效果不太好。', '短评打分': 5}
{'短评内容': '第二次了  不错  这次给我们一个电脑间  刚好写党论报告需要用到  真是太好了', '短评打分': 5}
{'短评内容': '价格实惠，内部设施也不错，普遍问题是隔音不好 可以接受，。以前住过酷漫 觉得比酷漫的特惠房好多了。', '短评打分': 5}
{'短评内容': '位置不错，价格便宜。在杭州这样的性价比蛮高的。', '短评打分': 5}
{'短评内容': '价格合理，环境服务不错，离西湖近,窗户靠走道，光线不好。', '短评打分': 5}
{'短评内容': '环境不错。服务也 还可以。。酒店提倡绿色，环保。所以没有一次性牙刷。可以理解。', '短评打分': 5}
{'短评内容': '酒店位置很好，离火车站很近，但是酒店太小，只有3层楼高，而且房间家具陈旧，性价比不高', '短评打分': 1}
{'短评内容': ' 价格有点贵，房间不算大，没有衣柜。不过楼下很多吃的，价格划算。到西湖只需走20来分钟是亮点。内置设施一般吧，我住的是没有窗户的', '短评打分': 3}
{'短评内容': '地方小了点。相对杭州还算便宜吧。我相信一分钱一分货', '短评打分': 3}
{'短评内容': '服务还行。可是酒店硬件设施真的太差了。洗澡洗一半可以没热水。。网速到周末那不是一般的慢。。说是有无线网络，可根本没信号。', '短评打分': 1}
{'短评内容': '酒店态度很好哦~比较干净的·主要是交通方便死了~~离城战就一点点路哦', '短评打分': 5}
{'短评内容': '总体来讲还可以吧！只是电视看着看着就没信号了；插座不是很好用；网线好不好用不清楚，因为没带电脑去；服务蛮好的，退房后还可以帮忙寄存下行李。', '短评打分': 5}
{'短评内容': '房间还不错~开始进去有股味道，可能是酒店时间长了吧，开了空调就没事了。。。另外都还不错，可能隔声效果不怎么好，但是离西湖很近，已经算不错的了。', '短评打分': 5}
{'短评内容': ' 环境不错', '短评打分': 3}
