{'短评内容': '交通方便，环境尚可', '短评打分': 5}
{'短评内容': '周边环境尚可，房间略小', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '不错，物超所值!', '短评打分': 5}
{'短评内容': '很不错的酒店  古色古香  就是不含早餐   周边环境也还可以  吃的也蛮多  离南站不是很远   ', '短评打分': 5}
{'短评内容': '。', '短评打分': 5}
{'短评内容': '酒店还好，房间小了点。还算好吧！', '短评打分': 4}
{'短评内容': '设备有点陈旧，不过性价比高，出行方便。离火车站近，门口公交也都挺方便的。住了两次觉得不错，可惜听说要拆了，以后还不知道找得到这样的酒店伐。', '短评打分': 4}
{'短评内容': '地毯很脏，设施很有特色，中式风格。交通还算便利，离地铁站不远，性价比不错', '短评打分': 5}
{'短评内容': '装修时间长了，有点旧。住店停车收费，明天40元，太黑了。', '短评打分': 3}
{'短评内容': '酒店有点老，房间有点小', '短评打分': 4}
{'短评内容': '稍贵，感觉一般吧', '短评打分': 4}
{'短评内容': '交通方便，各方面都不错，还会去。', '短评打分': 5}
{'短评内容': '交通方便，各方面都不错，还会去。', '短评打分': 5}
{'短评内容': '距离办事地点很近，酒店服务很好！！！！', '短评打分': 5}
{'短评内容': '总体不错！！！', '短评打分': 5}
{'短评内容': '已经是下午两点去办理入住了，结果房间还没清理出来，要求的是大床房结果给了双床房，要求下很快就帮我换了。\r\n住了三天感觉服务还不错，房间也很大很舒服。', '短评打分': 5}
{'短评内容': '价格还不错的一个酒店，地点也可以，就是酒店有点旧了，大堂的附属设施少，可能是住旅行团比较多吧。总体还可以', '短评打分': 5}
{'短评内容': '房间总体不错。性价比不高，还有楼下餐厅菜还可以。就是加收百分之十服务费觉得有点不太够档次', '短评打分': 3}
{'短评内容': '酒店不错，位置也还可以，就是附近吃饭的地方有点少。', '短评打分': 5}
{'短评内容': '服务态度非常好，房间都是老北京文化的氛围。缺点没有提供浴袍。', '短评打分': 3}
{'短评内容': '已入住', '短评打分': 3}
{'短评内容': '房间挺大，环境不错，也比较安静，就是二楼的餐厅价格有点贵，不错！', '短评打分': 5}
{'短评内容': '很好，离友谊医院很近。服务员也很帮忙。酒店也很干净，家人住着很舒服。', '短评打分': 5}
{'短评内容': '日式单间挺不错的，干净、整洁、就是空间有些局限。', '短评打分': 5}
{'短评内容': '。不错就是以后再折扣低点就好了。', '短评打分': 3}
{'短评内容': '环境不错  大厅很大气，就是前台服务员 给人感觉不像是4星的服务，有待提高。房间很不错，尤其是日本风格的房间，榻榻米很给力', '短评打分': 5}
{'短评内容': '早餐一般，有的房间没有热水，凑合过了一夜后换房了', '短评打分': 1}
{'短评内容': '有的房间太差了，居然没有热水，过了一夜，洗个澡好冷，第二天换了个房间，还不错', '短评打分': 1}
{'短评内容': '酒店位置可以，交通方便，环境很好。里北坛公园很近，是选择的好住处！', '短评打分': 5}
{'短评内容': '房间里很干净感觉很好', '短评打分': 3}
{'短评内容': '酒店性价比很高，环境、地段都还不错，服务态度也很好，不过结账的速度有些慢！', '短评打分': 5}
{'短评内容': '设施陈旧，单人间床太小与挂三酒店与价格比不太相符，不建议入住。', '短评打分': 1}
{'短评内容': '还不错，位置有点难找，新装修的，房间有点小', '短评打分': 5}
{'短评内容': '酒店位置服务都还不错，但入住时，电梯装修，白天有些噪音', '短评打分': 5}
{'短评内容': '酒店整体都不错，而且新装修的，没什么味道。', '短评打分': 5}
{'短评内容': '环境不错', '短评打分': 3}
{'短评内容': '环境不错老北京氛围浓郁,但是不包含早餐比较遗憾', '短评打分': 3}
{'短评内容': '房间卫生情况不错，就是设施比较旧。另外酒店的自助早餐太简单，品种少。', '短评打分': 5}
