{'短评内容': '没有早餐', '短评打分': 5}
{'短评内容': '', '短评打分': 5}
{'短评内容': '无早点，不加床，比较老旧的店！开窗能看到高铁站，打的11元至高铁站，这个价位也可以了！', '短评打分': 3}
{'短评内容': '感觉一般般', '短评打分': 3}
{'短评内容': '整体算是中等吧', '短评打分': 4}
{'短评内容': '物美价廉。干净整洁。环境一般。', '短评打分': 5}
{'短评内容': '空调像风机，呼呼啦啦，房间设施陈旧，服务还好。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 3}
{'短评内容': '挺好', '短评打分': 5}
{'短评内容': '房间设施陈旧，服务一般，周围环境不行', '短评打分': 2}
{'短评内容': '一般，不过这个价格还可以', '短评打分': 4}
{'短评内容': '差，不是一般的差！房间太破，卫生间骚呼呼地，纱窗漏了，电视还是二十年前的，床硬，被子埋汰，晚上路上大车每三分钟一趟，呼呼地，楼下就是电脑城，早上5点就上货了，吵死了！有机器，但不让你刷卡！强烈不建议入住！', '短评打分': 1}
{'短评内容': '环境不错，服务很好', '短评打分': 5}
{'短评内容': '如果是早上去火车南站的话，可以住一下', '短评打分': 3}
{'短评内容': '酒店较老，设施一般，离火车站很近很近', '短评打分': 3}
{'短评内容': '环境不好。设备陈旧。马桶不能冲。电视剧还是大屁股那种。够够的。', '短评打分': 3}
{'短评内容': '就是一个普通旅馆的标准和设施。', '短评打分': 3}
