{'短评内容': '过夜没感觉。空调太差', '短评打分': 4}
{'短评内容': '家人非常满意', '短评打分': 5}
{'短评内容': '酒店离国美近，国美考试优选！', '短评打分': 5}
{'短评内容': '卫生间太小了', '短评打分': 5}
{'短评内容': '房间地处之江旅游度假区，周边环境宜人，就是酒店年代已久，很多设备有些老化，服务人员也不太多', '短评打分': 4}
{'短评内容': '卫生间有点小问题', '短评打分': 5}
{'短评内容': '安静，安静，环境不错。去市中心快。闹中取静。菜做得太菜。', '短评打分': 5}
{'短评内容': '酒店环境不错，酒店餐饮一般', '短评打分': 5}
{'短评内容': '帮朋友订的，朋友很满意，酒店位于景区，环境优美，很安静。就是离市区有点远，出行稍有不便。总的来说还是很不错。', '短评打分': 5}
{'短评内容': '宋城景区的斜对面。以前的华庭云溪度假酒店。所以房间有点旧了。去梅家坞还是很方便。离杭州的转塘地区比较近。', '短评打分': 3}
{'短评内容': '酒店环境不错，就是设施陈旧了点.', '短评打分': 4}
{'短评内容': '酒店环境不错，就是设施陈旧了点.', '短评打分': 4}
{'短评内容': '别的都可以、就是洗澡时浴巾上居然有头发和灰的一团东西、瞬间感觉太不好了、', '短评打分': 4}
{'短评内容': '还不错，房间挺大的，阳台环境很好，还给免费升级了房间，以后还会来的。', '短评打分': 5}
{'短评内容': '离九溪十八涧约5公里，是个不错的休憩游玩的地方，晚上安静，设施略老但可接受，服务完善，客房有叫必到，有游泳池，很干净，小孩子玩玩不错。叫车去临隐寺27元，西湖41元。', '短评打分': 5}
{'短评内容': '现在天气很热，酒店有游泳池，不过人真的好多啊~ 住客免费的感觉很好 ，很有度假的感觉。 就是离市区比较远 ，买东西不是很方便 。环境很不错。', '短评打分': 5}
{'短评内容': '相比几年前，这个酒店旧得有点快。房间的设施有点霉霉的味道比较让人讨厌。更加不能够接受的是酒店竟然在凌晨1点钟服务生敲错门送拖线板。想想被这样无情的吵醒，也太无语了。', '短评打分': 1}
{'短评内容': '天气很热，酒店的游泳池很给力 ，住得很舒服，就是房间空调好像不是很制冷。', '短评打分': 5}
{'短评内容': '现在天气很热，酒店游泳池很不错~ 住得很开心', '短评打分': 5}
{'短评内容': '就在宋城的边上,很近很近.住的2号楼,室外游戏池不错,可惜要收费的.呵呵!酒店很干净,价位也比较合理的.如果去宋城,晚上出来住宿还是很方便的,停车也方便,早餐也还不错,适合中国人的大众口味.', '短评打分': 5}
{'短评内容': '酒店外观很大气，室内外泳池免费使用。虽然内部陈设有点旧但总体还不错。', '短评打分': 3}
{'短评内容': '酒店真心不错，特别喜欢那里的泳池，整个环境也非常好，唯一遗憾的是酒店的整个服务不是让人很满意，五星级的酒店大门口连个帮忙拿行李的人都没有的！！希望改进！', '短评打分': 5}
{'短评内容': '室外泳池真的很大，性价比很高的酒店，真的很适合来度假。。。', '短评打分': 5}
{'短评内容': '前天入住的这家酒店,离宋城很近,游泳池也是免费的,早餐一般,落了一个新的欧泊莱洗面奶在卫生间,今天打电话过去,客房说有的,把它快递回来,但是要到付.在想,如果是其他的物品,客人想不起来的话,是不是就归客房部了呢.', '短评打分': 5}
{'短评内容': '环境不错', '短评打分': 3}
{'短评内容': '入住的挺愉快的，酒店比想象中好，就是天气太热，没出去逛逛', '短评打分': 5}
{'短评内容': ' 游泳池太棒了，好热闹，室内外都开放了，住得很愉快。', '短评打分': 3}
{'短评内容': '比较老的酒店，设施普通但不简陋，很安静，离钱塘江近。', '短评打分': 3}
{'短评内容': '不巧的是入住的时候下雨了，\n但是并没有影响入住的心情\n酒店的环境不错', '短评打分': 5}
{'短评内容': '酒店环境很好，从听竹楼望下去，泳池的风景真的很美，，还会再来入住的，很愉悦的一次旅游', '短评打分': 5}
{'短评内容': '周边环境相当好，但房间比较陈旧，其它还可以！', '短评打分': 5}
{'短评内容': '周边环境相当好，但房间比较陈旧，其它还可以！', '短评打分': 5}
{'短评内容': '空气很好，每次过来都住的得很愉快，服务态度还是很不错的。', '短评打分': 3}
{'短评内容': '酒店环境不错。因为是海航的，酒店景观属于海南派，室外泳池很好，一打眼真的以为到了海南，但这两天下雨水温不高所以没去室外，只在室内泳池玩了，室内泳池没有儿童玩的浅水区。早餐还行，该有的都有了，有些人评价什么品种不多，扯吧，给你1万种你吃的过来吗？！沿着酒店门口的梅岭南路可以直到西湖，一条山间公路，景观不错，可以路过梅家坞，有很多农家菜。门口也有公交Y4直通西湖。', '短评打分': 5}
{'短评内容': '酒店环境很好，很喜欢这里的环境,还会再来入住的\n', '短评打分': 5}
{'短评内容': '酒店服务好，前台服务员安排入住四号楼两间相邻房，房间很安静，早餐品种还行。离店行李服务到位。顶', '短评打分': 5}
{'短评内容': '酒店环境不错，到了酒店礼宾服务热情，带到总台办理入住，并一路介绍酒店的设施设备等。虽然酒店设施陈旧，但服务态度好，给个好评。下次来还选择云栖酒店。', '短评打分': 5}
{'短评内容': '酒店的环境还不错，很喜欢这里，还会再来度假的！', '短评打分': 5}
{'短评内容': '服务很好环境不错，但就是房间里不太满意，阳台门也锁不上，尽管没人爬得进来', '短评打分': 3}
{'短评内容': '很好的酒店，，环境一流。。还会再来的。。。。', '短评打分': 5}
{'短评内容': '入住的时候是下雨天，没欣赏到酒店的美景，房间有点潮湿', '短评打分': 5}
{'短评内容': '   还可以吧，，要是早餐品质再好点就好了，现在的早餐实在是不太好', '短评打分': 5}
{'短评内容': '   装修太陈旧了，但是并没有影响入住的心情，，酒店前台接待很热情。介绍的比较详细，这样的酒店如果能装修好点就好了', '短评打分': 5}
{'短评内容': '很好的酒店，，最喜欢这里的环境，，就是蚊子比较多。。，总的还好', '短评打分': 5}
{'短评内容': '酒店很大，前台服务很热情，一如既往的支持', '短评打分': 5}
{'短评内容': '虽然不是很喜欢这种低层的比较潮湿的地方，但酒店的服务还是不错的。', '短评打分': 3}
{'短评内容': '阳光明媚 我想说是个旅游的好地方 很安静 ', '短评打分': 5}
{'短评内容': '日式公寓别墅，环境优雅，卫生良好，早餐过得去，设施有点陈旧。', '短评打分': 5}
{'短评内容': '不错的酒店，环境很美，面积很大，还可以看到泳池，前台服务很好', '短评打分': 5}
{'短评内容': '房间不大.但格局还行.\n早餐中规中矩.\n房间电器及摆设较旧.\n晚餐西餐厅味道不错.价格可以接受.今天尝尝中餐厅的.\n整体来说和价格相符.\n另推荐他们的花园.就是早餐的时候可以走出去的那个.很赞.', '短评打分': 5}
{'短评内容': '有点偏，餐厅不怎么样。和杨公堤的海航无法比', '短评打分': 1}
{'短评内容': '酒店很不错，环境很好，早餐也非常棒。 值得推荐', '短评打分': 5}
{'短评内容': '各方面都是不错的，就是离西湖远了一点，打车需要半个小时', '短评打分': 5}
