{'短评内容': '离海边很近，也好找。卫生还可以', '短评打分': 5}
{'短评内容': '老板娘，大姐为人特别热情。亲自车接我们，还特别推荐了优惠门票。非常适合带孩子出行。好评！', '短评打分': 5}
{'短评内容': '适合带孩子。酒店位置十分理想。', '短评打分': 5}
{'短评内容': '就是普通的农家院，洗漱用品得自己准备，洗澡水不是很冲，没有地方停车，得自己一天花10元钱，看评论说可以送景点、送码头，可是我们和他说的时候，非说让我们报团走，一听要自己去，就说车送不了，定不了时间，没办法只好自己开车去，不是很满意。', '短评打分': 3}
{'短评内容': '一般，要自己带洗漱用品', '短评打分': 4}
{'短评内容': '第一次住这样居家客栈，很不错，房间布置，床上用品的颜色，搭配得非常好，很有家的感觉，房间配的东西很实用，很喜欢，特别是他们服务非常好，每个人都很热情，很耐心，我们一家住了两个晚上，给我们按排房间很舒服，很照顾我们，还帮解决很多问题，非常感谢，有机会去蓬莱还是选择你们家，祝你们生意兴隆！', '短评打分': 5}
{'短评内容': '老板出人意料的好，比评价中的还要待客，给我们提供了很多中肯的建议，很干净，隔音也很不错，以后来蓬莱建议大家就来这一家，绝对的划算，服务也相当的周到！', '短评打分': 5}
{'短评内容': '店虽然不大，但真心不错，干净，设施齐全，也很安静，店老板很热心，对我们咨询的旅游信息知无不言，住着比许多知名的连锁酒店都要舒适，很满意', '短评打分': 5}
{'短评内容': '五星好评，很棒的地方！非常的方便，交通也特别便利。老板人特别，很爽快很热情！在这里住很有家里的感觉！房间卫生做的非常好很干净，很舒心。下次去蓬莱我还要来这里，性价比太高了！', '短评打分': 5}
{'短评内容': '离海边很近，步行五六分钟，房间基础设施，环境一般，马上就要进入淡季了，没有餐饮服务，房主比较热情，提供优惠门票～～', '短评打分': 3}
{'短评内容': '温馨舒服，房间收拾得很干净整洁，环境很好服务也很周到，出行也便利。离海边很近，服务非常的热情，的来说，这是一次非常不错的入住。', '短评打分': 3}
{'短评内容': '客棧干净清雅的房间，亲切贴心的主人，为你所想周到的服务、好吃顺口的饭菜。旅游对于住店的需求不过如此。美好的体验，会推荐来蓬萊的亲朋好友来这里。', '短评打分': 3}
{'短评内容': '环境安静有品味，用的东西很好，房间舒适，床硬度合适，店家饭也好吃，关键是客栈位置很好，离海边非常近，走一两分钟就到。特方便。挺不错的一家客栈！', '短评打分': 3}
{'短评内容': '酒店服务态度很好，交通极为方便，装修很有特色，十分舒服，清新，是入住的理想地方。', '短评打分': 3}
{'短评内容': '房间整齐干净价格适中，环境不错，挺舒适的。物美价廉，吃饭方便，价格优惠老板人很好，装修也不错。值得推荐', '短评打分': 3}
{'短评内容': '很干净，很热情，还去车站接的', '短评打分': 3}
{'短评内容': '干净卫生老板热情', '短评打分': 3}
{'短评内容': '老板娘人很热情，周到，环境安静。距离景点很近，交通方便。', '短评打分': 5}
