{'短评内容': 'N次入住了，赞一个！', '短评打分': 5}
{'短评内容': '挺好的！满意！', '短评打分': 5}
{'短评内容': '很不错！很满意！', '短评打分': 5}
{'短评内容': '很好！已多次入住！很满意！', '短评打分': 5}
{'短评内容': '性价比不错，大体上还可以，淋浴喷头有点儿下垂，不太好用，门有点儿松，风吹门响，这个价格就不好对很多细节进行苛求了，另外，点播电影库不错。。。', '短评打分': 4}
{'短评内容': '厕所太小', '短评打分': 4}
{'短评内容': '服务热情，停车方便', '短评打分': 5}
{'短评内容': '服务态度好，交通便利。', '短评打分': 5}
{'短评内容': '房间干净，面积较大；周边景点多。', '短评打分': 5}
{'短评内容': '干净整洁', '短评打分': 5}
{'短评内容': '酒店整体不错，服务到位。', '短评打分': 5}
{'短评内容': '第二次入住了，就在岱庙对面，打的去红门就是个起步价，位置和设施服务都满意', '短评打分': 5}
{'短评内容': '挺好的 住了两晚', '短评打分': 5}
{'短评内容': '房间超大 晚上也很安静 挺好的', '短评打分': 5}
{'短评内容': '订酒店之前以为是今年刚装修的,但感觉不新', '短评打分': 4}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '环境、服务真不错，建议住这里', '短评打分': 5}
{'短评内容': '住的很舒服，房间大而且干净，推荐\n前台服务效率有待提高\n餐厅只对早餐开放。。。', '短评打分': 5}
{'短评内容': '宾馆位子好找,房间干净基本设施还好。', '短评打分': 3}
{'短评内容': '酒店条件不错，有热水，有空调', '短评打分': 3}
{'短评内容': '酒店不错。房间的被子有污渍，要求更换后，结账时酒店老总亲自打招呼，并给房费打折。承认错误的态度很好耶有实际行动。酒店的报案对停车场很负责，前台登记，夜晚看守，我们结账后他们还建议我们就把车停在酒店打车去泰山。', '短评打分': 5}
{'短评内容': '酒店很新很干净，就在岱庙附近，去哪都方便，不过张床垫有点凹凸不平，可能是床垫的弹簧问题吧。', '短评打分': 5}
{'短评内容': '服务态度很好，房间环境也不错，结账后还送了两个水杯，值得推荐入住', '短评打分': 5}
{'短评内容': '很好的住宿条件，早餐不错，费用合理，干净整洁，打扫卫生很及时，休息时周边非常安静，身处闹市区却是最安静的一家。最关键的是距离岱庙和泰山都很近。喜欢，下次继续入住。', '短评打分': 3}
{'短评内容': '很不错，服务态度很好', '短评打分': 3}
{'短评内容': '泰安好客商务酒店房间整洁，尤其山景房很好，能够看到玉皇顶。', '短评打分': 3}
{'短评内容': '挺好，就是离泰山有点远。餐厅的早餐挺好。', '短评打分': 5}
{'短评内容': '环境不错，唯一缺点房间不隔音，半夜说话都可以听得见（可能是我房间的事情）。', '短评打分': 5}
{'短评内容': '酒店位置不错，价格适中，卫生条件还算可以。', '短评打分': 3}
{'短评内容': '还不错，挺干净的，就在岱庙对面，如果是去岱庙是很方便。门口是一条主干道，如果是出差的话，交通还算方便。', '短评打分': 5}
{'短评内容': '环境不错，满意', '短评打分': 3}
{'短评内容': '酒店环境不错，交通方便，就是房间隔音不好，离马路一边躁音太大', '短评打分': 3}
{'短评内容': '挺干净的，交通很方便，就在岱庙的斜对面，还有退房是一点钟。', '短评打分': 5}
{'短评内容': '环境不错。舒适干净。离著名的风景区——泰山咫尺之遥。下次还会入住。', '短评打分': 5}
{'短评内容': '给我安排在602房间，进门就石化了……\n房间的窗户太高了，一人多高以上才有几块玻璃采光，我住在监狱了吗？\n床的确是180的大床，也太老了吧？轻轻动一下床垫就会惊天动地的响，一晚上被自己翻身吵醒无数次……', '短评打分': 1}
{'短评内容': '房间很大，地理位置不错，到景点岱庙、泰山都挺方便的。周围吃饭的地方没什么。', '短评打分': 5}
{'短评内容': '离我要考试的地方非常近，很满意。空调热水都很到位，很干净，物美价廉。而且交通也很方便，从火车站做四路车就到了。周围没有比较大型的超市有点小遗憾，不过附近有条小吃街，也弥补遗憾了！', '短评打分': 5}
{'短评内容': '酒店的卫生还是不错的，服务也可，但是没有包括早餐，有点遗憾。\n', '短评打分': 5}
{'短评内容': '对酒店很满意，有专人看车而且很热情，环境服务都特别好', '短评打分': 5}
{'短评内容': '挺干净的，不错', '短评打分': 3}
{'短评内容': ' 房间到挺干净.但客房物品清单不清楚.应给一个房间清单.服务态度很好.但仍需改进.', '短评打分': 3}
{'短评内容': '性价比高！房间宽敞、卫生好、电视够大、网速快、停车场管理到位，北面临街汽车比较吵闹、早餐一般了，总体打90分！', '短评打分': 5}
{'短评内容': '本次十一共9天的旅程中最好的一家酒店！物超所值', '短评打分': 5}
{'短评内容': '酒店位置好，价格公道，设施比较新，距岱庙和红门很近。值得推荐。', '短评打分': 5}
{'短评内容': '环境不错 设施卫生都很不错，离岱庙很近，爬泰山也不是很远', '短评打分': 5}
{'短评内容': '酒店位置不错，离岱庙很近。去泰山，叫个出租大概9元左右。房间干净，早餐很差。酒店门口很大的停车位，自驾停车方便。', '短评打分': 5}
{'短评内容': '真的非常好的旅店，干净，且配套设施都不错', '短评打分': 5}
{'短评内容': '非常好的旅店！！！！离火车站挺进的，而且房间住的非常舒服，热水也很给力，服务员态度也很棒，强力推荐！', '短评打分': 5}
{'短评内容': '房间很干净，满意。', '短评打分': 3}
{'短评内容': '很好  ，很干净。位置也好方便爬山。提醒大家从酒店打车去火车站6块。去天外村7.5块。打车一定要正规的，有计价器的那种', '短评打分': 5}
{'短评内容': '我住的是豪华商务房，电脑好用，房间整洁，住的对面就是岱庙。服务人员服务好，前台服务号。电视够大。不远处步行有一个24小时混沌馆，很实惠。', '短评打分': 5}
{'短评内容': '性价比非常好，离马路斜对面就是岱庙，酒店设施比较新，停车方便，保安负责，服务热情，以后来泰安的首选酒店', '短评打分': 5}
{'短评内容': '宾馆环境不错，卫生十分干净。离岱庙很近。停车场有专人看管。服务还算周道。房间里还有电脑可以上网。是个值得推荐的宾馆。', '短评打分': 5}
{'短评内容': '酒店离岱庙很近，去红门打车6元步行要30分钟。酒店环境还好，就是设施略简单，按照经济型的标准只是住宿应该算好的了。洗澡的热水很充足。', '短评打分': 5}
{'短评内容': '很干净，很整洁，感觉很不错，豪华标间还有电脑，网上看到推荐率很高才定下的，确实很好！推荐\n很干净，很整洁，感觉很不错，豪华标间还有电脑，网上看到推荐率很高才定下的，确实很好！推荐', '短评打分': 5}
{'短评内容': '环境好，交通方便，服务可以，是出差的理想住处', '短评打分': 5}
{'短评内容': '酒店卫生状况不错，前台服务也热情，就是床铺比较硬，床垫质量差', '短评打分': 5}
{'短评内容': '不错的酒店，就是里面的水不好，有股怪味，煮水都是买的瓶装水煮的。隔音不错，服务态度好，总体来说不错。', '短评打分': 5}
{'短评内容': '价格很便宜，但是酒店很干净。不错不错，就是插座少了一点。', '短评打分': 5}
{'短评内容': '位置好。就在路边很醒目，离岱庙走路五分钟就到，我一天逛两回。去泰山天外村打车不过十元（别打黑车，蒙人），如果去泰山红门爬山更近。宾馆设施虽简单但还算干净卫生，临走还赠送纪念品。总体很满意。', '短评打分': 5}
{'短评内容': '酒店很干净，不过就是没有什么商品，买个商品不方便。', '短评打分': 5}
{'短评内容': '房间很干净，环境也不错，对面就是岱庙，晚上也不会很吵呢，宽带速度也不错！总之很满意啦！ 地理位置很不错，楼前有停车场，有保安看车登记', '短评打分': 5}
{'短评内容': '优点：位置好，较安静，离岱庙很近；早餐好，花色较多，卫生不错；服务规范，店员态度和蔼；停车方便，安保人员责任心强；价格公道，费有所值。\n不足：豪华标准间中央空调出风噪音大，影响睡眠，关掉空调又太热，建议改进。', '短评打分': 5}
{'短评内容': '酒店卫生条件不错，距岱庙很近，大约200米吧，下次还住这里。美中不足的是早餐一般，品种较少，但价格便宜。还有就是不是每个房间都有电吹风，需要向前台去借。总体来说值得推荐。', '短评打分': 5}
{'短评内容': '距离泰山很近，就在岱庙的旁边，非常好找，环境不错，卫生条件很不错，服务也很好，还可以上网，感觉很不错，感觉物超所值，下次来还住这家', '短评打分': 5}
{'短评内容': '很不错的酒店，价格低，比较干净。停车方便有保安24小时看车 距离岱庙近了 值得推荐', '短评打分': 5}
{'短评内容': '总体不错，就是临街有点吵，不过总台说有会议，没办法。我们第一天下午入住，第二天一早退房，车停在酒店，登完泰山回来取车，因为不含早餐，所以一早去附近不远有家包子早点铺不错，跟麦当劳紧临。', '短评打分': 5}
{'短评内容': '比较干净，但设备过于简洁。靠马路一边有点吵。', '短评打分': 5}
