{'短评内容': '房间满了带去了附近的“香格里”住 浴室门锁是坏的 生锈脱落 没有沐浴露 没有纸巾 隔音效果差 床看起来挺干净 周围挺多吃的', '短评打分': 4}
{'短评内容': '房间卫生还可以，但是附近是菜市场有点脏乱。', '短评打分': 4}
{'短评内容': '卫生和室内装饰都还不错', '短评打分': 4}
{'短评内容': '卫生和室内装饰都还不错', '短评打分': 4}
{'短评内容': '挺好的，不过有点难找，可以打电话问，基本设施是齐全的，很干净，就是洗澡没有可以放衣服的地方', '短评打分': 5}
{'短评内容': '好 在南亭算上等的了', '短评打分': 5}
{'短评内容': '挺好的', '短评打分': 5}
{'短评内容': '离广工很近，设施都齐全，空调热水充足，挺好的。老板人超好，附近吃的也多，考试很方便哦～', '短评打分': 3}
{'短评内容': '一般般吧，在大学城估计算不错吧，就是家庭旅馆的感觉', '短评打分': 3}
{'短评内容': '房间舒适，价格公道，服务态度非常好，宾至如归阿', '短评打分': 5}
{'短评内容': '门口小吃非常多，退房自助，简单快捷。', '短评打分': 4}
{'短评内容': '店家人品不错，附近小吃多多，退房直接把钥匙放在门口小箱子里就是，省去很多时间。', '短评打分': 3}
{'短评内容': '地方有点偏，但是老板很好心的开车出来载我们，而且就在广工附近，刚好遇上了迎新晚会。距离岭南印象园挺近的。总体来说还是不错的。', '短评打分': 5}
