{'短评内容': '有点差', '短评打分': 3}
{'短评内容': '还行', '短评打分': 4}
{'短评内容': '空间太小，，还有床，会响，这个真不行', '短评打分': 4}
{'短评内容': '不错，帮朋友订的价格实惠，服务很好！', '短评打分': 5}
{'短评内容': '说真的。一分钱 一分货。为什么携程会让这种酒店加进来  简直拉低了自身的服务质量。酒店连普通的客栈都不如。还什么商务酒店 酒店服务简直差到爆  压根就不懂什么是礼貌。别人柜台一个人 接电话 办理入住 很忙可以理解。可否礼貌的告诉客人稍微等待一下？酒店设施连最最最基本的洗漱用品都要收费。这是想钱想疯了就填补其他用处？这告切其他客人 如果不想受气 宁愿多话几十块 都不要贪这个便宜 ', '短评打分': 1}
{'短评内容': '环境一般', '短评打分': 4}
{'短评内容': '一般！', '短评打分': 3}
{'短评内容': '房间太差了，跟一般的旅馆差不多，没有洗漱用品，还是打电话问前台要的，用品就是小旅馆的一样。房间电视节目也少，不干净。', '短评打分': 3}
{'短评内容': '昨晚住了一晚，感觉还不错。', '短评打分': 3}
{'短评内容': '还可以。有无线。环境也可以。', '短评打分': 3}
{'短评内容': '最差的酒店，千万不要去住', '短评打分': 1}
