{'短评内容': '位置怎么样', '短评打分': 5}
{'短评内容': '房间干净，服务很好', '短评打分': 5}
{'短评内容': '不错，性价比还是很高的，推荐给大家，价格也还是很优惠的', '短评打分': 5}
{'短评内容': '挺不错的，经常住，价格也很好啊，推荐一下', '短评打分': 5}
{'短评内容': '比较烦没去 也不能退钱 就这样扔了二百块钱', '短评打分': 1}
{'短评内容': '哇晒 好喜欢这次入住  酒店干净整洁，棒棒哒  有停车场，原本定的房间没有了  又给我们升级了  好棒啊 。我们四个这次住的超值。服务态度非常好。真心地。', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '破的要死。年久失修。但是便宜', '短评打分': 5}
{'短评内容': '不错不错啊', '短评打分': 5}
{'短评内容': '很不错哦可以', '短评打分': 5}
{'短评内容': '很不错，忘拍照了', '短评打分': 5}
{'短评内容': '环境优雅，服务态度非常好；老板人更好', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '整体还可以', '短评打分': 4}
{'短评内容': '交通便利，在新乡最主要的大街边，对面是新乡第一人民医院，餐馆林立，很方便。房间略旧，但是很干净，服务也很到位。性价比不错。', '短评打分': 3}
{'短评内容': '常住，不错！', '短评打分': 5}
{'短评内容': '早餐有待改进，设施不是很好', '短评打分': 4}
{'短评内容': '不错不错 值得推荐一下', '短评打分': 3}
{'短评内容': '酒店位置相当好，房间格局不错，就是很潮湿。早餐没荤，鸡蛋都木有，好似别人有鸡蛋- -，不知道哪弄来的。不过还对得起这个价。', '短评打分': 5}
{'短评内容': '不错', '短评打分': 3}
{'短评内容': '挺好的，很干净，下次有机会了还住这', '短评打分': 3}
{'短评内容': '说的过去，这是第二次入住了。在新乡算差不多的地方', '短评打分': 5}
{'短评内容': '酒店刚装修 很不错，空间很大。迷你房不太透气！', '短评打分': 5}
{'短评内容': '不错，比较干净，就是这个单间没窗户，隔音不太好。', '短评打分': 3}
{'短评内容': '环境一般，还好吧，比较近火车站。。。。。。', '短评打分': 5}
{'短评内容': '还不错，就是我要的房间隔音效果特别不好。外面人说话在房间里听得非常清楚', '短评打分': 5}
{'短评内容': '位置离火车站很近，在市区，出行购物方便~环境不错', '短评打分': 5}
{'短评内容': '该酒店地处商业区，工作人员服务态度很好，环境舒适、干净。', '短评打分': 5}
{'短评内容': '住的很舒服 服务 房间都很好 很干净 收拾得很好~', '短评打分': 3}
{'短评内容': '服务员服务素质有待提升。 酒店设施很好。', '短评打分': 5}
{'短评内容': '标准间不错，千万不要订无窗房（会闷死人的），大床房也不好（边角料，房间比较小，床靠近门等问题）,我从大床房换到无窗房，直到换到标准间，才满意。', '短评打分': 5}
{'短评内容': '在市中心，出行、购物很方便，只是订的mini房，房间很迷你，没窗户。', '短评打分': 5}
{'短评内容': '卫生间味道较重，房间挺干净的，隔音效果不好', '短评打分': 5}
{'短评内容': '服务态度好，交通也方便！是一个不错的选择', '短评打分': 5}
{'短评内容': '硬件还行,就是房间空气不好,', '短评打分': 3}
{'短评内容': '环境还不错，地理位置方便，，，也安静，感觉很满意', '短评打分': 5}
{'短评内容': '没有提前说明 大床房是没有窗户的，灯光也不是很亮 ', '短评打分': 5}
{'短评内容': '新酒店装修硬件挺好，我昨天网上预订，今天去交房费，却因无法24小时提供热水而放弃，很可惜啊！', '短评打分': 1}
{'短评内容': '房间大，挺干净，不错', '短评打分': 3}
{'短评内容': '我住的是套房。环境一般，厕所太小，感觉还比较干净。', '短评打分': 5}
