{'短评内容': '房间里始终有一股挥之不去的厕所味', '短评打分': 3}
{'短评内容': '&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;', '短评打分': 5}
{'短评内容': '酒店设施还可以，周边环境不敢恭维', '短评打分': 4}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '总体还行吧，周围修路不是太方便', '短评打分': 5}
{'短评内容': '方便，干净，推荐！', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '前台服务一般，透着小家子气。房费是携程预付完了的，又交了二百押金，晚饭在他们餐厅吃的，开始说不能挂账，后来说可以挂要补交押金，为了一百押金催了我好几次，害的我洗着澡还要给开门交押金。感觉不舒服。不过四层餐厅的小美女服务生看着很舒服干净，特别爱笑。', '短评打分': 4}
{'短评内容': '很一般', '短评打分': 3}
{'短评内容': '还行吧', '短评打分': 5}
{'短评内容': '还行', '短评打分': 5}
{'短评内容': '还行', '短评打分': 5}
