{'短评内容': '酒店很久很潮湿', '短评打分': 4}
{'短评内容': '位置不错  周围很多景点', '短评打分': 5}
{'短评内容': '早餐很实惠', '短评打分': 5}
{'短评内容': '差到必须得来点评吐槽一下 本来也不是第一次住这里了 之前每次来都会第一选择住这里 但是这次以后彻底不会再来了 先说酒店环境 真的该装修了 卫生间设施很陈旧 最重要的是住的8号楼 根本没有Wi-Fi！！只能在一层大厅微微能练上一点信号 跟酒店服务员反映 服务员给的答案是不可能啊 都能连上啊 完全不相信！难道这我也撒谎？？后来又说给看一下 然后就没有然后了 总之就是丁点Wi-Fi都没有 我觉得现在的酒', '短评打分': 1}
{'短评内容': '住的还可以吧，地理位置比较好', '短评打分': 5}
{'短评内容': '还可以吧', '短评打分': 4}
{'短评内容': '孩子喜欢 还不错啊 哈哈哈哈哈哈', '短评打分': 5}
{'短评内容': '希望可以有其他选择的不要入住，酒店很一般', '短评打分': 3}
{'短评内容': '房间一般，挺干净的，粉色的装修还不错，但是WiFi不能用，晚上的时候连不上，而且没有吹风机，洗完澡都困死了但是头发湿湿的不能睡觉', '短评打分': 4}
{'短评内容': '性价比不算高', '短评打分': 5}
{'短评内容': '还不错，非常好，经济又实惠', '短评打分': 5}
{'短评内容': '服务周边，热水很好', '短评打分': 5}
{'短评内容': '以后估计就会觉得特别不爱', '短评打分': 3}
{'短评内容': '不错的，离海边很近', '短评打分': 5}
{'短评内容': '还行 比图片差一点 但也OK', '短评打分': 3}
{'短评内容': '房间还可以，就是吹风机都没有，找前台要还要收费，房间比较干净', '短评打分': 3}
{'短评内容': '凑乎', '短评打分': 5}
{'短评内容': '服务员素质有待提高，跟服务员说话没一句真话，大半夜11点总台竟然打电话推销旅游景点门票，给人感觉挺不爽的。被褥一股骚味，后找服务员换掉。', '短评打分': 2}
{'短评内容': '酒店位置不错，屋里设施也还好，下回还会再去的。', '短评打分': 5}
{'短评内容': '  360的房间，顶多2星标准，酒店餐厅水平较差，价格高', '短评打分': 3}
{'短评内容': '十点之后没热水', '短评打分': 3}
{'短评内容': '酒店还可以就是太晚了没热水', '短评打分': 3}
{'短评内容': '***的垃圾酒店！服务态度什么的简直是差到极点！我预定的房间签到的时候没有了，就给我们开了间普通间，连标间都算不上，还照样收预定的房价。既然天黑了，那就随便住下吧，结果第二天早上7点半就被吵醒了——人家装修的开始工作了，噪音弄的人要奔溃啊！想打电话给前台，可惜床头边的电话是坏的，还得用自己手机查了打。不过打了也白打，哎~那酒店啊，以后睡大街上都不再会去了', '短评打分': 1}
{'短评内容': '酒店环境优雅，宽敞，距离海边较近，服务热情，交通便利，但冬季热水供水不足~~', '短评打分': 5}
{'短评内容': '这是四星级酒店？应该不是吧，外面还在施工，很一般，有点小贵', '短评打分': 3}
{'短评内容': '性价比高，就是有装修，吵点，估计要不然也不会这么便宜', '短评打分': 3}
{'短评内容': '这家宾馆总体不错，还算周到，尤其是网速不错。缺点是正在加层改造，早晨不用闹钟。', '短评打分': 5}
{'短评内容': '酒店最近正在施工改造，早上八点就开始干活了。', '短评打分': 1}
{'短评内容': '冬天来的正在装修，全是脚手架。房间比较小，但是东西还算齐全。电视信号不行，无线网登录不上，用网线还可以，不过第二天有线也不行了。步行道海边10~20分钟还成。', '短评打分': 5}
{'短评内容': '酒店距离老虎滩公园不远，就是内部装修差一些，破旧一些。', '短评打分': 1}
{'短评内容': '地理位置离海边还算近，只是酒店显的旧，有不好的味道。能无线上网还不错，以后会考虑选其他酒店试下。', '短评打分': 1}
{'短评内容': '该酒店就是一骗子，不仅私自调换房间而且不退还差价，而且退房要扣半天房费，房间条件极差，没有顶灯，电话坏的根本打不了，空调要单收费，地暖供的不足，已经反映到当地有关部门', '短评打分': 1}
{'短评内容': '不好，图片和实际房间不符，剩下就不多说了', '短评打分': 1}
{'短评内容': '酒店很干净，很安静，服务也挺好，值得一住。', '短评打分': 3}
{'短评内容': '海景房名副其实 景致很好 而且这个季节很便宜 下次还住', '短评打分': 5}
{'短评内容': '温暖，舒适，早餐很好，值得推荐！！！服务员打扫的干净，整齐，清香，服务态度很好，很耐心，去餐厅吃过一次饺子，海鲜的，很鲜美，值得一去！！', '短评打分': 5}
{'短评内容': '房间的设施有点旧，网口居然在床头边，不是很方便哦！有点潮这可能也与当地的海洋气候有关吧~总之性价比不是很好~', '短评打分': 1}
{'短评内容': '我住的八号楼的标间B，是以前建的房子，里面的设施只有一般般，而且比较旧了，但晚上比较安静，离海边也比较近，还算可以啦。', '短评打分': 5}
{'短评内容': '一沓糊涂 ，一塌糊涂，一沓糊涂，一塌糊涂，不会再住。', '短评打分': 1}
