{'短评内容': '舒适自然，值得推荐！', '短评打分': 5}
{'短评内容': '房间很好，很便宜，服务态度很好。', '短评打分': 5}
{'短评内容': '还可以吧，比较好干净，交通便利', '短评打分': 5}
{'短评内容': '还可以吧，比较好干净，交通便利', '短评打分': 5}
{'短评内容': '感觉挺不错的，环境也还不错，比较满意', '短评打分': 5}
{'短评内容': '很干净很舒适，下次还定这个酒店', '短评打分': 5}
{'短评内容': '环境不错，服务也可以', '短评打分': 5}
{'短评内容': '新装修，还可以', '短评打分': 4}
{'短评内容': '就那样就那样…………………', '短评打分': 1}
{'短评内容': '就那样就那样…………………', '短评打分': 1}
{'短评内容': '地段方便易找，入住方便', '短评打分': 5}
{'短评内容': '总体还算蛮整洁的，不过因为靠马路边，晚上有点吵。服务挺好的，房间的马桶漏水跟前台反应，马上就安排人来修了。', '短评打分': 4}
{'短评内容': '不错！！！！！！！！！', '短评打分': 3}
{'短评内容': '环境很好，交通很方便，很干净卫生，服务员很热情', '短评打分': 5}
{'短评内容': '不好', '短评打分': 3}
{'短评内容': '不错，应对便宜，附近购物方便', '短评打分': 3}
{'短评内容': '一进酒店大厅。。心就凉了半截。。。\n交通还算方便，热水挺好，如其他网友点评一样。。其余均差了点', '短评打分': 1}
{'短评内容': '感觉房间有点小！电脑是坏的不能用！只能是一般了！', '短评打分': 3}
{'短评内容': '价格低能接受', '短评打分': 3}
{'短评内容': '除了位置较好，其余均较差，不过这个价钱大概是这样', '短评打分': 1}
{'短评内容': '酒店内部的设施太差！我住的房间里面没有床头灯，卫生间的马桶是坏的。', '短评打分': 1}
{'短评内容': '今天去了~房卡办好了  一进房间  居然房间没收拾过   乱七八糟的     郁闷了``搞坏了心情      建议改进~', '短评打分': 5}
{'短评内容': '还行，比较安静，就是房间有点儿小，价位有优惠就更好了。附近交通方便，吃饭方便。希望能延长至下午两点退房', '短评打分': 5}
{'短评内容': '还行~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~', '短评打分': 5}
