{'短评内容': '挺干净的，就是临街，太吵了', '短评打分': 5}
{'短评内容': '还可以，就是交通有点不变。', '短评打分': 5}
{'短评内容': '很干净就是有点吵', '短评打分': 5}
{'短评内容': '连锁酒店还不错', '短评打分': 5}
{'短评内容': '环境好服务态度很好', '短评打分': 5}
{'短评内容': '挺好的，很干净', '短评打分': 5}
{'短评内容': '干净，温馨，舒服', '短评打分': 5}
{'短评内容': '房间很干净 设施也很好', '短评打分': 5}
{'短评内容': '环境很好 床业很舒服 下次还会在光临的', '短评打分': 5}
{'短评内容': '住两次了，挺好的', '短评打分': 5}
{'短评内容': '各方面条件都挺好的，干净舒适。', '短评打分': 5}
{'短评内容': '感觉酒店装修了很久  墙皮剥落，所处位置为市井区', '短评打分': 3}
{'短评内容': '不错不错 环境挺好 忘记拍照片啦', '短评打分': 5}
{'短评内容': '还好', '短评打分': 4}
{'短评内容': '非常好，还会来的', '短评打分': 5}
{'短评内容': '酒店是第二次入住了，前台服务很好，室内暖和，卫生干净，就是临街的房间稍稍有点噪音，但是只要不开窗还好。椅子貌似该更新了。', '短评打分': 5}
{'短评内容': '环境还是不错的，而且那里交通很便利。', '短评打分': 4}
{'短评内容': '不错，服务态度好，结算快，跟会员价格一样', '短评打分': 5}
