{'descr': '就是房间灯不好', 'star': 4}
{'descr': '很好', 'star': 5}
{'descr': '近市中心区域', 'star': 4}
{'descr': '有点旧了，位置不错，就是没有早餐', 'star': 4}
{'descr': '位置好，就是有点旧了，每次到佳木斯出差都住这里。', 'star': 4}
{'descr': '还行', 'star': 4}
{'descr': '前台服务很好！房间干净！早餐一般！', 'star': 5}
{'descr': '前台服务很好！房间干净！早餐一般！', 'star': 4}
{'descr': '一般', 'star': 1}
{'descr': '好', 'star': 2}
{'descr': '好', 'star': 2}
{'descr': '总体说酒店还是不错的，卫生较好，周边环境不错，去哪都挺方便的。总体说酒店还是不错的，卫生较好，周边环境不错，去哪都挺方便的。下次到佳木斯还住这家宾馆！', 'star': 5}
{'descr': '其他都挺好就是网速不咋地', 'star': 4}
