{'短评内容': '地理位置有点偏，其他都还满意', '短评打分': 4}
{'短评内容': '那是那样，可以的', '短评打分': 4}
{'短评内容': '整体感觉不错', '短评打分': 4}
{'短评内容': '酒店旁边在中心。', '短评打分': 3}
{'短评内容': '很棒的周围环境。酒店卫生干净，但服务有待培训提高，尤其是入住当天的前台态度冷漠爱理不理，东区有停车位保安却非让我们停到西区，害得一家老小拖着行李在大雨中横穿度假村。', '短评打分': 4}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '方便卫生', '短评打分': 5}
{'短评内容': '客少，早餐品种少，院子在施工。', '短评打分': 4}
{'短评内容': '离蠡园很近，步行10min吧，离鼋头渚也挺近的，公交车2-3站的样子。周围很偏，基本没什么人，因为离景区太近的缘故。大床房，不算太宽敞，有躺椅和柜子，家具一摆也就没什么地方了  主要是太偏，晚上走路瘆的慌。也没入住。前台买景区门票什么的都有折扣，现买现用。', '短评打分': 4}
{'短评内容': '需要提高服务！', '短评打分': 4}
{'短评内容': '酒店在装修，价廉物美！不错，服务得跟上。', '短评打分': 4}
{'短评内容': '非常不错，价廉物美。第一次入住，以后还会住，建议大家可以考虑。不过边上别墅房比较贵~~~', '短评打分': 5}
{'短评内容': '酒店的环境很好，服务也不错，距离景点近。就是附近吃饭选择的地方不多，总的不说还是不错的，尤其适合自驾游的。', '短评打分': 5}
{'短评内容': '过年去小住一晚，很好，离蠡湖很近，房间设施也不错，服务非常好！强烈推荐！', '短评打分': 5}
{'短评内容': '菜实在不敢恭维啊，不知道之前评价说菜不错的人是不是对食物不挑剔。点个烤干虾，真的就跟刚从袋子里拿出来的虾干一样啊，咬不动掐不动。黑椒牛仔骨酒味太重。饭还是冷的，隔壁桌的让去微波炉热了下，我就汤浇浇凑合了。房间如果单去的话是要加收15%的服务费的，客房点餐也是要加收30%的服务费的。不知道如果没服务的酒店还能叫酒店么？还要另外收钱？？？只能说地理位置还行，门口公交车还算蛮方便的。房间还是挺干净的，就', '短评打分': 1}
{'短评内容': '特价房太旧', '短评打分': 3}
{'短评内容': '帮朋友定的，他们不是很满意，同样的价位，不如山水', '短评打分': 1}
{'短评内容': '需要清静的人可以考虑住在此酒店，环境不错，只是房间面积太小。喜欢热闹的朋友连考虑都省了吧，鄙人喜欢热闹，所以不推荐。', '短评打分': 1}
{'短评内容': '太差了，味道很重，设施陈旧，当然因为住的是老楼298元的，但是说实话比一般的快捷酒店要差很多。当然位置较好，靠近蠡园，鼋头渚等，地点还是可以。要旅游就住好一点，贵一点的，否则真遭罪。', '短评打分': 5}
{'短评内容': '环境很好，早晚出来散步不错，周边缺少吃饭的地方', '短评打分': 5}
{'短评内容': '房间略小，但环境非常好，适合休假，周边很安静，就是不太好打车。酒店周边散步，很开阔，没有城市的喧嚣。爱逛街的MM们就不要去住了，呵呵', '短评打分': 5}
{'短评内容': 'Quiet, good location, near to LiYuan and YuanTouZhu', '短评打分': 5}
{'短评内容': '不错的酒店，非常方便,比较适合自驾游，周边景色不错', '短评打分': 5}
{'短评内容': '酒店不错 卫生间小点', '短评打分': 3}
{'短评内容': '已入住成功，满意，房间条件很好，服务员热情', '短评打分': 3}
{'短评内容': '环境不错，前台服务也很好，就是找吃的比较不方便。', '短评打分': 5}
{'短评内容': '环境服务都不错', '短评打分': 3}
{'短评内容': '挺满意的！就在太湖风景区鼋头渚边上，酒店占地面积巨大广场开阔，\n内部花园风景秀丽。\n房间虽然小一点但是设备很新很干净，早餐中规中矩对得起58元价格。\n电力公司投资的果然就NB！', '短评打分': 5}
{'短评内容': '对不是自驾游的朋友不推荐，因为地点太偏，出入不方便，吃饭也不方便，所住的房间隔音效果不太好，隔壁的声音听得清清楚楚。只有一类人住这里合适：赶早要去景点的。', '短评打分': 1}
{'短评内容': '酒店很大，装修也很好，住的舒服，傍边的饭店价格适中，下次还会住此酒店。', '短评打分': 5}
{'短评内容': '适合商务人事居住的宾馆~~~房间大~空调不错~~卫生间也不错~~特别泡澡时候能拉开屏风看电视的设计很不错~~', '短评打分': 5}
{'短评内容': '酒店不提供宵夜,晚8点之后就没有提供了.位置还好挺方便出行的,室内条件也还不错.', '短评打分': 5}
{'短评内容': '酒店的管理很到位，服务员都很负责任，性价比还可以，酒店餐饮也不错，菜的口味很种类多蛮好的，住的很舒服', '短评打分': 5}
{'短评内容': '房间卫生条件不错，打扫的很干净，服务很好周到热情，性价比还可以，住宿环境不错，还算不错的酒店', '短评打分': 5}
{'短评内容': '酒店的服务很好，服务员都很周到热情，见面都会主动和我们打招呼，很尊重客人，房间卫生条件也很好，打扫的很干净，总体感觉还是不错的', '短评打分': 5}
{'短评内容': '酒店的规模比较大，装潢也很新，硬件设施都蛮新的，酒店位置还可以，出行还是很方便的，服务周到热情，总体感觉很不错', '短评打分': 5}
{'短评内容': '酒店位置还可以，出行很方便，距离蠡园比较近，服务很好，另外酒店自己的餐饮很不错。口味很正宗', '短评打分': 5}
{'短评内容': '酒店位置太偏，出去吃饭的话，需要驾车跑老远的路，才有一些店家。如果有需要宁静的环境的话，能园倒是好地方！', '短评打分': 5}
{'短评内容': '差.....................', '短评打分': 1}
