{'短评内容': '房间配套还行。。。可是。。。房间太小。。。。还要爬7楼。。。。。。郁闷哦', '短评打分': 5}
{'短评内容': '指不清路，拖着行李到了，被告之房间在7楼无电梯,差点晕倒,老板又说加10元,二楼电脑房。接受、接受！洗漱完毕，上网发现上不去，再点，死机！崩溃！\r\n睡觉', '短评打分': 3}
{'短评内容': '我们入住的房型是数码单人间\n里面还有个小沙发\n很棒的房间喔~\n老板娘也好好\n不过wifi的信号不是很好啦~\n总之我们很喜欢 下次还会住的~~', '短评打分': 5}
{'短评内容': '＋酒店服务可以，成都设城紧凑，酒店地理位置处于一环边，去文殊院也比较近。不过我的数据线掉了酒店，回去找说服务台说没有，我觉得应该是打扫卫生扔掉了什么的。', '短评打分': 3}
{'短评内容': ':位置不好找 ,环境不理想', '短评打分': 3}
{'短评内容': '酒店不错，外面看起来破点但里面很好，哈哈，128的价格很划的来', '短评打分': 3}
{'短评内容': '服务员态度非常好 环境也非常不错 距离市中心较近 交通也很不错的。总体来说 很有性价比的地方，值得出行住在这里。', '短评打分': 5}
{'短评内容': '不干净！还有一股脚臭味，半夜都没敢睡觉~态度一般……', '短评打分': 1}
{'短评内容': '房间面积小，卫生差，我还在房间里打死一只小强！', '短评打分': 1}
{'短评内容': '这里环境挺好的，离春熙路也近，附近有家QQ饭多好吃的，住这里不错', '短评打分': 5}
{'短评内容': '环境优雅，清洁做得非常好。', '短评打分': 5}
{'短评内容': '这次 不太好 房间太小  还涨价了,酒店空调太吵了！！！！！！！！！！！', '短评打分': 1}
{'短评内容': '酒店房间比较大，干静环境还行', '短评打分': 3}
{'短评内容': '订的豪华单人间，到店老板居然给安排了一个特小的烂房企图把我们糊弄过去，找她理论后换了一个大一点的，可是环境很差，地毯很脏，墙上壁纸都坏了，而且洗发水和沐浴露都不是一次性的，弄都弄不出来。酒店比较吵，早上很早就被楼下外面吵醒。', '短评打分': 1}
{'短评内容': '如果去成都玩，住一住还可以，价格实惠，地理位置不错，距离市中心很近，卫生状况一般，比较潮湿。', '短评打分': 5}
{'短评内容': '还不错，交通满方便的，价格也便宜，距离春熙路挺近', '短评打分': 5}
{'短评内容': '实在太差了。100元都不值，卫生没保证，价格还贵。', '短评打分': 3}
{'短评内容': '差劲人意啊，壁纸都是坏的，还有异味，还说豪华间，而且很难找', '短评打分': 1}
{'短评内容': '地方实在不好找，出租车带着找了半天。进去酒店还装修，又吵又乱，不怎么样。', '短评打分': 1}
{'短评内容': '挺不错的。位置挺好，就是环境有点差，但是室内还行。', '短评打分': 5}
{'短评内容': '总体价位值！就是一点标间只许睡两个人这个条件有点苛刻！', '短评打分': 3}
{'短评内容': '服务态度挺好，价钱也挺合理…', '短评打分': 3}
{'短评内容': '  服务很好。支持', '短评打分': 3}
{'短评内容': '房间环境还可以，也比较大、安静。但只有一床被子，冬天太薄了，马桶有些坏的。总之，性价比还可以。', '短评打分': 5}
{'短评内容': '服务态度不错，就是环境差点，没有电梯，房间还是很暖和的，关键是距离春熙路不远', '短评打分': 5}
{'短评内容': '短期住还凑合，豪华标准间有点不像话，没有衣柜，就2床被子，就住了1晚，价格还可以', '短评打分': 5}
{'短评内容': '房间宽敞、无早餐、没有电梯、地点不好找。', '短评打分': 5}
{'短评内容': ' 房间很大，其他都感觉不错，就是早上六七点左右的车辆路过噪声太大了。。好早就被吵醒', '短评打分': 3}
{'短评内容': '一般吧，幸好自己对那一带比较熟，如果不熟悉还是不太好找。', '短评打分': 5}
{'短评内容': '入住的豪华标准房空间很宽敞，但配备的电脑运行速度很慢，每天供应的热水均不稳定，水温偏低，洗浴的喷洒也坏了', '短评打分': 5}
{'短评内容': '价格不算便宜但也不贵，总的来说还是可以，就是马桶是坏的，最好不要用地毯（很脏），改用木地板吧！！把电视电视效果调好点吧，坏的灯和开关也修好就不错了', '短评打分': 5}
{'短评内容': '总的来说还是可以，就是马桶是坏的，还有最好不要用地毯（很脏），用木地板吧，房间应该安装一个大灯(光线不足)', '短评打分': 3}
{'短评内容': '还不错  环境还可以  就是周边的吃的太少了', '短评打分': 5}
{'短评内容': '房间挺大，尤其是圆床房。但第一天入住酒店未保留预订房间。网络不太稳定。', '短评打分': 3}
{'短评内容': '总体来说还可以。比较满意总体来说还可以。比总体来说还可以。比较满意较满意', '短评打分': 5}
{'短评内容': '其他还可以，只是墙壁上脱落有点不美观、、', '短评打分': 5}
{'短评内容': '这里很安静，房间一般，但价格比很好，网络不是很稳定', '短评打分': 5}
{'短评内容': '环境不错，而且很安静，适合居住。', '短评打分': 3}
{'短评内容': '距离春熙路很近，不过环境差点，要命的是住7楼，没有电梯', '短评打分': 1}
{'短评内容': '地理位置还可以，离火车站和旅游集散中心汽车站都比较近。房间虽还算安静，但环境比较差，烟味很重，洗手间好多地方都是坏的，前台说给修最后到离开的时候也没修。前台服务员通常只有一个，需要什么都反应很慢，好像求着她们似的！总之要住这家店，就要做好自力更生的准备！', '短评打分': 1}
{'短评内容': '环境真不怎么样~，潮湿，阴暗的，设施很陈旧', '短评打分': 1}
{'短评内容': '价格不高,位置不错,就是稍晚一点就沒有热水供应了', '短评打分': 5}
{'短评内容': '这酒店环境太茶马桶坏的下水不通', '短评打分': 3}
{'短评内容': '服务比较完善,价格也不贵,地理位置也不错,旅游者可选择', '短评打分': 5}
{'短评内容': '墙皮有所脱落，除此之外其实还行吧，对得起这个价格', '短评打分': 5}
{'短评内容': '又破又老还要100多，厕所的马桶盖是坏的，洗手池的下水直接就流到地上了。房间的地毯很脏，又有味道，酒店又偏。一个字很不值100多。', '短评打分': 1}
{'短评内容': '房间舒适，性价比不错。', '短评打分': 3}
{'短评内容': '哦，还不错，还不错，小巷子里，很安静的，价格就那样，不能有太高要求了', '短评打分': 5}
{'短评内容': '晚上终于到达酒店，旁边就是成都吃羊肉的一条街，酒店下面就是个羊肉汤铺，可是吃完饭回到酒店，正想上网，突然停电了！到前台去问，也不知原因，说宝安去查看了。没办法，只好没洗簌就睡觉...', '短评打分': 1}
{'短评内容': '服务态度较差，房间比较潮湿，被子盖上总觉得是没有干透；不过价位确实算是低的。', '短评打分': 1}
{'短评内容': '房间不错，很宽敞、就是没电梯，拿到7楼的房的话可够你喝一壶的。', '短评打分': 5}
{'短评内容': '实在一般,设施较破旧,服务较差,价格不占优势.要在附近办事的话就凑合吧!', '短评打分': 1}
{'短评内容': '环境一般，订的时候说是新开的，结果去了才发现设施都很久，', '短评打分': 3}
{'短评内容': '我已成功入住还可以', '短评打分': 3}
{'短评内容': '大堂的话，基本就算没有，不过房间蛮大的。关键是价格便宜啊。', '短评打分': 5}
{'短评内容': '价钱算便宜，适合对条件不挑剔的年轻人，还行。稍讲究一点的人，还是换家吧', '短评打分': 3}
{'短评内容': '环境卫生一般,设施较破,服务较差,不过价格倒很便宜.凑合吧!', '短评打分': 3}
{'短评内容': '酒店设施还行，物有所值。', '短评打分': 3}
{'短评内容': '还是不错！', '短评打分': 3}
{'短评内容': '酒店不错安全卫生。', '短评打分': 3}
{'短评内容': '酒店还行，就是不是想象中留春熙路近', '短评打分': 3}
{'短评内容': '\n还行吧住了18o的电脑房', '短评打分': 3}
{'短评内容': '房间挺大的，不过光线有点暗，总体而言挺好的。', '短评打分': 3}
{'短评内容': '感觉不错哈！感觉不错哈！感觉不错哈！！感觉不错哈！感觉不错哈！', '短评打分': 5}
{'短评内容': '没有想像中的好！洗澡水放了半天才一点点温度！店子很显然是私人开的，没有正规连锁店的感觉。总体感觉一般！', '短评打分': 5}
{'短评内容': '总体还行吧！就是房间有股味总体还行吧！就是房间有股味总体还行吧！就是房间有股味总体还行吧！就是房间有股味总体还行吧！就是房间有股味总体还行吧！就是房间有股味总体还行吧！就是房间有股味总体还行吧！就是房间有股味总体还行吧！就是房间有股味总体还行吧！就是房间有股味总体还行吧！就是房间有股味总体还行吧！就是房间有股味总体还行吧！就是房间有股味总体还行吧！就是房间有股味总体还行吧！就是房间有股味总体还行吧', '短评打分': 5}
{'短评内容': '价格便宜，环境还不错，值得体验.。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '环境一般，房间也是老旧的，并且和图片上的显示不一样，并且是爬楼梯上楼，房间内的东西看起来都有点脏，最痛苦的是洗手间，面盆漏水，马桶堵塞，实在是有点。。。后悔订了这里。', '短评打分': 1}
{'短评内容': '基本满意', '短评打分': 3}
{'短评内容': '服务很好,经济又实惠.', '短评打分': 3}
{'短评内容': '这家酒店硬件很不好.房间太小设施很差.是一冻很成旧的肉食品加工厂的办公室改装的客房.我不推荐此酒店.', '短评打分': 1}
{'短评内容': '服务态度很好，值得再来，是出差选择的好地方，晚上很安静。', '短评打分': 5}
{'短评内容': '酒店挺好，房间挺温馨，性价比合适，就是有些远，没有电梯，得爬楼梯', '短评打分': 5}
{'短评内容': '很不错，很方便。是出差时选择的好地方，不吵闹。', '短评打分': 5}
{'短评内容': '名不副实，假，去了之后房间没有，自己上楼，没有电梯，纯属欺骗住户', '短评打分': 1}
{'短评内容': '还可以，服务挺好的，环境也不错，周围的服务设施也挺全的', '短评打分': 5}
{'短评内容': '酒店装修确实不怎么样，房间较小，还算干净，空调总是滴水...价格在商务酒店只算中等', '短评打分': 1}
{'短评内容': '房间比较大，周围环境安静，附近有超市，饭馆，很方便。也比较干净、卫生。缺点是：无电梯，住在6楼，爬上去还是比较累。', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 3}
{'短评内容': '住宿环境还不错，整洁安静，不过如果再设置个无线网络就更好了。', '短评打分': 5}
{'短评内容': '房间很大，很不错。标间才109很值。', '短评打分': 3}
{'短评内容': '!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!1', '短评打分': 5}
{'短评内容': '酒店非常难找，出租车司机都不知道。酒店非常陈旧，物非所值。', '短评打分': 1}
{'短评内容': '感觉不是很舒服', '短评打分': 3}
{'短评内容': '因为中间有报两日游，所以订了两次。优缺点上个订单写了不少，这里再补充几点：\n天台可以晒衣服，服务人员的态度不错，借给我不少衣架。\n服务员的服务意识不够，我订了两晚，押金也交了两晚的，可是第二天晚上回来的时候发现房门打不开了，从六楼下来问服务员怎么回事，服务员告知需要续房卡，我说我不是订了两晚了怎么还需要续，继续告知即使订一个月也是需要天天续房卡的（我的个妈，为啥交押金的时候不早告知，再说我回来的时', '短评打分': 5}
{'短评内容': '优点：房间比较大，床也挺大，挺舒服，楼下是右边个火锅店，左边是个小超市，对面也有几家小吃店。再往左边走到路口，就到红星路一段，向左转走一两百米就是公交站，出行还比较方便。\n缺点：很难找，成都本地人都不知道莹华寺街是在哪里，打了两次的，的哥都不知道怎么走，我还是在红星路段打的的，报的旅行社的司机来接人，跟酒店服务人员沟通很久才明白地点在哪里。无电梯，拎着大箱子爬六楼很累人，房间设施有点陈旧，没有大灯', '短评打分': 5}
{'短评内容': '对于酒店来说，还算是便宜的。但是，也存在着一些问题，主要是房间比较小，不建设想体验高质量生活的人选择。', '短评打分': 5}
{'短评内容': '开始以为是一家老酒店，百度之后才知道 是转接的老酒店 这家酒店是10年才开业的 里面的基本设施还算齐全 早上热水要放很久 1楼是一家火锅店 2楼以上才是酒店 我是住的2楼感觉还算安全 因为吧台在2楼 设施陈旧 插座不是一般的少 不能同时充电 电脑 不过附近吃饭是很方便 12点下去 都有吃的 总得来说 要求太高的话 还是不要住了', '短评打分': 1}
{'短评内容': '住的是标间，房间很大，价钱很便宜。总体上相符。', '短评打分': 5}
{'短评内容': '好', '短评打分': 3}
{'短评内容': '还是不错的，环境也可以，就是地处老城区周围的风景太差', '短评打分': 5}
{'短评内容': '酒店设施虽稍嫌落后，卫生状况尚可，服务人员的热情弥补了硬件上的缺憾', '短评打分': 3}
{'短评内容': '环境不错的  能上网  安静 楼下就有火锅可以吃', '短评打分': 3}
{'短评内容': '住宿环境还好,挺安静,比较满意,', '短评打分': 3}
{'短评内容': ' 酒店环境太差劲了。在网上明明订的是豪华间，结果去了才知道根本不是豪华间，就是普通间，网上的图片是骗人的，根本就不是圆床  这120块钱太不值得了', '短评打分': 1}
{'短评内容': '内部条件可以，但无电梯，无网络，服务差', '短评打分': 3}
{'短评内容': '酒店很好，服务也挺好的，住的很舒适。离火车站近，乘车也方便', '短评打分': 5}
{'短评内容': '酒店房间很大，服务好，超值', '短评打分': 3}
{'短评内容': '上当的感觉上当的感觉上当的感觉上当的感觉上当的感觉上当的感觉上当的感觉上当的感觉上当的感觉上当的感觉上当的感觉上当的感觉', '短评打分': 1}
{'短评内容': '房间比较小,但较为整洁,还是不错.', '短评打分': 3}
