{'短评内容': '地方特别大，环境不错', '短评打分': 5}
{'短评内容': '好好好好好', '短评打分': 5}
{'短评内容': '性价比还可以，物有所值吧', '短评打分': 4}
{'短评内容': '酒店位置还算好找，临街，后边有个市场，早上很早就开始有人，对于睡的轻的，有点影响休息。价格适中，整体还是不错的。', '短评打分': 4}
{'短评内容': '除了离市区远之外，环境什么的特别好', '短评打分': 5}
{'短评内容': '环境不好，声音噪杂', '短评打分': 3}
{'短评内容': '普通单人间没有单独的卫生间，加钱升级了。老板人很好，服务态度也好。宾馆看着挺干净，就在泉州市场边上。', '短评打分': 5}
{'短评内容': '酒店设施不错、周边吃饭也方便！距离办事地点方便！下次还会入住', '短评打分': 5}
{'短评内容': '酒店设施不错、周边吃饭也方便！距离办事地点方便！下次还会入住', '短评打分': 5}
{'短评内容': '酒店设施不错、周边吃饭也方便！距离办事地点方便！下次还会入住', '短评打分': 5}
{'短评内容': '屋里太暗，有烟味，隔音不好', '短评打分': 3}
{'短评内容': '酒店一般 便宜嘛 但是不要预付 没有返款', '短评打分': 4}
{'短评内容': '不错很好挺棒的很合适', '短评打分': 3}
{'短评内容': '房间挺大，看到宾馆的楼下就震惊了，厕所还有尿，没有冲，坐便上不知道是水还是尿。', '短评打分': 3}
{'短评内容': '条件一般，下次在来。', '短评打分': 3}
