{'descr': '服务员那张死人脸真是欠抽…态度散漫，唉别提有多不顺眼', 'star': 3}
{'descr': '房间很干净，噪音也比较小，东西食品也比较全，各项服务设施也比较全，洗漱方面也可以。住了好几回了，相比较都市快捷旅店来说，各项服务也比较速度，价格方面也较之之前的有优势，下次我还会选择这家酒店。', 'star': 5}
{'descr': '没电梯', 'star': 2}
{'descr': '环境还不错，几乎每个月都住几天', 'star': 5}
{'descr': '好感很干净', 'star': 5}
{'descr': '就没有比这更差的酒店了，没有电梯上大四楼，服务员服务态度超级差，差评，差评，差评', 'star': 1}
{'descr': '服务态度差，环境也差，还有蜘蛛网，以后不会再订。。', 'star': 1}
{'descr': '交通方便，免费早餐，离火车站、高速路口非常近！', 'star': 5}
{'descr': '交通方便，免费早餐，离火车站、高速路口非常近！', 'star': 5}
{'descr': '这里面是属于单身公寓那种，里面还算干净', 'star': 5}
{'descr': '北京的宝贝都觉得拘束的兼收并蓄不到解决的', 'star': 5}
{'descr': '很好，很舒服，网速也很快，', 'star': 3}
{'descr': '酒店太简陋了，房间就一个小灯亮其他的灯都是坏的，被褥没有棉花的感觉，特别硬，枕头，还有洞。', 'star': 3}
{'descr': '空调制热不怎么样，空调外机很吵，环境还可以', 'star': 3}
{'descr': '难得看到别的吧百事可乐的百分百的目的别人克己奉公本地的办法课本开放步伐可是看到宝宝的', 'star': 3}
{'descr': '哎哟，很不错噢，干净，舒适！', 'star': 3}
{'descr': '很干净，房间大床很大，很舒服，就是位置不太好找，其他还好吧', 'star': 5}
{'descr': ' 环境设施不错  价位稍微偏贵  床垫很铬 要是能把床垫再厚点儿就更好了 要是再加个无线网什么的 贵点儿也值', 'star': 3}
