{'descr': '隔音不行……', 'star': 5}
{'descr': '环境好，好像是新装修的，卫生，窗户很大，就是房间有个灯接电路触不是太好，偶尔会闪，停车方便，电梯只开了一部，上下楼稍慢，位置也好找，附近有医院学校', 'star': 5}
{'descr': '这次住的房间跟以前住的完全不是一个类型，我跟我对象都很满意，有一种太空舱的感觉，简约，舒适，比之前的都好看', 'star': 5}
{'descr': '交通方便出行', 'star': 5}
{'descr': '1.差！我住8楼，但是双层电梯坏了。这两天上下电梯都要一次十几分钟甚至更久。2.差！半夜入住，不能下午两点前退房就算了。到了中午11点，五分钟一个电话催你赶紧退房，五分钟一个，就电话响但是没有人说话。3.生意好了服务越来越差！！！我在携程订的房9点前入住。他们说不愿意跟携程合作，超过六点就取消留房了。因为我手机没有电，七点到的酒店争论了好久才进入房间。', 'star': 2}
{'descr': '环境不错，出行方便，比较喜欢', 'star': 5}
{'descr': '环境不错，出行方便，比较满意', 'star': 5}
{'descr': '离地铁?很近，环境不错，入住办理很快。前台咖啡吧很好，劳累一天有杯热咖啡，很好。匆忙办事，没有拍照片。整理体验不错，值得信赖入住。', 'star': 5}
{'descr': '蛮好的，蛮好的。', 'star': 5}
{'descr': '好好好好好好好', 'star': 5}
{'descr': '酒店很好啊，很干净，前台服务态度也好。', 'star': 5}
{'descr': '挺不错的还是', 'star': 5}
{'descr': '环境还不错，希望改善细节', 'star': 5}
{'descr': '环境还不错，希望改善一些细节2', 'star': 5}
{'descr': '好', 'star': 5}
{'descr': '是新装修的，干净清爽，虽然地方小点，做为商务出行，短时间居住还是能接受的，周边出行方排，吃的地方较多。唯一问题，方间有噪音。', 'star': 5}
{'descr': '差劲', 'star': 3}
{'descr': '还行，挺方便的。', 'star': 4}
{'descr': '还不错哦，环境房间干净整洁，经济实惠，出游可以选择这个酒店入住', 'star': 5}
{'descr': '很好，好的很，还有饭吃就好了', 'star': 5}
{'descr': '订的10个房间，到地方只有提供3个房间，20几号人没地方去，坑爹的汉中门汉庭酒店，前台服务员态度超级烂，无限赛唐找理由，说没找到我电话，我们同事12点就来酒店住了，而且反复有6次左右的电话确认，最后还是放我们鸽子，我想说人与人最基本的信任在这个酒店当中完全没体现出来，最后确认订单的时候还出幺蛾子，说我是前台预定不是携程预定，遇到这样的人我也是醉了，建议大家慎重选择这家酒店。', 'star': 1}
{'descr': '订的10个房间，到地方只有提供3个房间，20几号人没地方去，坑爹的汉中门汉庭酒店，前台服务员态度超级烂，无限赛唐找理由，说没找到我电话，我们同事12点就来酒店住了，而且反复有6次左右的电话确认，最后还是放我们鸽子，我想说人与人最基本的信任在这个酒店当中完全没体现出来。', 'star': 1}
{'descr': '订的10个房间，到地方只有提供3个房间，20几号人没地方去，坑爹的汉中门汉庭酒店，前台服务员态度超级烂，无限赛唐找理由，说没找到我电话，我们同事12点就来酒店住了，而且反复有6次左右的电话确认，最后还是放我们鸽子，我想说人与人最基本的信任在这个酒店当中完全没体现出来。', 'star': 3}
{'descr': '哈哈，除了地理位置有优势以外基本没有优点。汉庭这家店比较老，设施有点陈旧。', 'star': 3}
{'descr': '有停车场挺好的，环境相对周围宾馆比较干净，距离省院步行15分钟，阳光充足，就是卫生间太开放了', 'star': 5}
{'descr': '地方超级方便，就在地铁站旁边，楼下就是kfc，距离主要景点全部2块地铁之内。房间还行', 'star': 5}
{'descr': '位置很方便', 'star': 3}
{'descr': '还不错，相比其他汉庭店隔音效果好，很安静，交通也很方便', 'star': 3}
{'descr': '很好，卫生整洁，交通便捷', 'star': 3}
{'descr': '还不错吧，这样的价格在南京，在汉中门，就是停车的地方有点少哈', 'star': 5}
{'descr': '地铁口出来之后走一会儿就能看到了，挺方便的\n但是隔音不太好，好吵', 'star': 5}
{'descr': '还不错。就是电视太小。挺干净', 'star': 3}
{'descr': '离七宝古镇不远，房间宽敞，床很舒服，就是电视小了点。停车记得拿停车券，不然保安要收钱的。', 'star': 5}
{'descr': '酒店较干净，早餐尚可，就是马桶小点，不太方便', 'star': 5}
{'descr': '服务态度好，环境不错，交通灰常方便，好找，已多次入住该店~', 'star': 5}
{'descr': '干净舒适.下次还会入住呢。', 'star': 3}
{'descr': ' 环境不错。值得入住，就是价格小贵。没有无线网络，笔记本电脑不好随意搬动。宽带是网通的，如果是双线就好了。', 'star': 3}
{'descr': '地理位置还算不错，价格合理，床比较舒适，还有早餐', 'star': 5}
{'descr': '交通还比较方便，但房间太小，设施一般，没有卡还不能坐电梯。。。', 'star': 5}
{'descr': '一如既往的不错体验，值得推荐!', 'star': 3}
{'descr': '去欢乐谷玩，所以选择了九号地铁经过的一站，汉庭就在地铁站的路对面，很方便。第一天去迟了，11点之后才去了，所幸房间还是被保留了。住了两天，白天玩很累，晚上睡很香。', 'star': 5}
{'descr': '非常好的酒店，空间够大，住着很舒服，服务很热情，这是我第一次来汉庭住。', 'star': 5}
{'descr': '  整体感觉还可以，不错。', 'star': 3}
{'descr': '  还是汉庭靠谱，赞一个！', 'star': 3}
{'descr': '房间装修简洁但很温馨，不习惯的是洗手间的门里面没有插销且是玻璃门，呵呵！', 'star': 3}
{'descr': '住的是家庭套房，房间非常大，还有一个小房间可以朋友打牌，楼下就是一个收费停车场，停车还是比较方便的。', 'star': 5}
{'descr': '离虹桥机场很近，环境还可以，房间很干净。早餐不错。', 'star': 5}
{'descr': '服务很好，离地铁站很近交通方便，不错', 'star': 3}
{'descr': '还可以，就是没有中餐和晚餐，要是有中晚餐就好了，酒店很干净，值得推荐', 'star': 5}
{'descr': '酒店地理位置很好，离新街口很近。房间也很干净，空调制热效果好。', 'star': 5}
{'descr': '酒店还不错。', 'star': 3}
{'descr': '酒店离虹桥机场很近，交通方便。', 'star': 3}
{'descr': '房间很大.设施很新.因为安全措施很好.没有人从门缝里塞小卡片.可惜早餐品种比较少.', 'star': 5}
{'descr': '服务价格都不错，如果是去虹桥机场或火车站，是个不错的选择', 'star': 5}
{'descr': '酒店位置不错，就在机场大巴回程站点对面，吃饭的地方也很多。不过房间比较小，空调比较旧，声音大，最糟的是电视太旧，大部分台都是雪花。', 'star': 5}
{'descr': '酒店交通方便，有停车场，室内环境整洁，刚开始空调有问题，联系前台后就给换房间了，服务不错', 'star': 5}
{'descr': '靠近汉中门地铁，位置非常不错，而且对面就是去往禄口机场的大巴停靠点哦，唯一的缺点是大床房的房间有些小，床上的枕套不太干净', 'star': 5}
{'descr': '位置很方便，早餐还不错。就是房间比较小，空调也比较旧，噪声大', 'star': 5}
{'descr': '酒店还行 ，还不错啦，听安静的不算很吵，就是有点小贵', 'star': 5}
{'descr': '第二次入住了，感觉不错，蛮干净的，也蛮安静的，汉庭的服务还是不错的', 'star': 5}
{'descr': '还是很干净，服务也还好，就是中央空调不给力，开了很久，温度上不去.75分', 'star': 5}
{'descr': '房子设施和面积可以，噪音太大，大半夜没睡好。', 'star': 3}
{'descr': '水忽冷忽热，其他还好，就是有点小贵', 'star': 3}
{'descr': '房间不大，但是很干净，窗户是双层的，隔音效果很好，另外靠近2号线地铁口，出行比较方便', 'star': 3}
{'descr': '房间干净，我定的那间房可以看见夜景，夜景不错~~~', 'star': 5}
{'descr': '环境还好，周边有肯德基之类的快餐店，还算方便。', 'star': 5}
{'descr': '房间比较大, 不过进屋的时候有点异味儿. 床比较舒适,睡着挺爽的.', 'star': 5}
{'descr': '交通便捷', 'star': 3}
{'descr': ' 挺干净，还不错。', 'star': 3}
{'descr': '房间面积有点小，其他都很满意。', 'star': 3}
{'descr': '酒店设施比较新,环境也很好,地理位置方便,建议在早晨客人退房比较集中的时间,总台应增加人员.', 'star': 5}
{'descr': '优点：交通便利，地铁二号汉中门站下车即到。缺点：服务态\n度不好,极为恶劣', 'star': 1}
{'descr': '快200的房费确实比较贵了，不值，以后不会住这儿了。', 'star': 3}
