{'descr': '还行，比较干净', 'star': 5}
{'descr': '好', 'star': 5}
{'descr': '好', 'star': 5}
{'descr': '一晚上没睡好，楼上轰轰响', 'star': 5}
{'descr': '退担保金太慢了', 'star': 5}
{'descr': '还不错，就是电视太小了', 'star': 5}
{'descr': '住宿条件很好。舒适。干净。。。。。。。。。。。。。。。。。。。。。。。，，。。。。。。。。。。。。', 'star': 5}
{'descr': '住宿条件很好。舒适。干净。。。。。。。。。。。。。。。。。。。。。。。，，。。。。。。。。。。。。', 'star': 5}
{'descr': '不错，不错，值得拥有', 'star': 5}
{'descr': '还行吧', 'star': 5}
{'descr': '环境非常不错，床很大，睡觉非常舒服。周边就是三里桥美食街，吃饭上网很方便。价格也适中，下次还会再次入住。', 'star': 5}
{'descr': '还可以', 'star': 5}
{'descr': '还行吧', 'star': 5}
{'descr': '一般般', 'star': 5}
{'descr': '好的，下次有机会再入住', 'star': 5}
{'descr': '地理位子不错，吃饭打车都方便。', 'star': 4}
{'descr': '一般 一般 一般 一般 一般 一般 一般 一般', 'star': 4}
{'descr': '时间就是大家都记得记得', 'star': 4}
{'descr': '俗话说得好电话回访看空间', 'star': 4}
{'descr': '感觉哪的汉庭都差不多~~不过前台的服务态度不错~~', 'star': 5}
{'descr': '很不错 设施齐全，周围小吃很多，我们都是奔着那些小吃去的。有幸住到过百元房，很划算', 'star': 5}
{'descr': '订的另一家没房了，ELONG很贴心的给我电话帮我订了附近的汉庭，房间虽小不过很干净，东西也很齐全，不过，隔音效果差了一点。', 'star': 5}
{'descr': '安静，也挺干净的，不错，以后还会再来，讨厌，还得凑够20个字，麻烦', 'star': 5}
{'descr': '很不错，只是走廊里很吵，一到清早就吵得不行。', 'star': 5}
{'descr': '感觉还算干净，就是卫生间的龙头是坏的，没人及时来修理', 'star': 5}
{'descr': '去的时候 正好遇上跳闸， 有点忙乱，不过服务很到位，态度也很好。及时的帮我手工办理了入住，赞一个先。。最喜欢的就是周围有好多小吃，···', 'star': 5}
{'descr': '很干净，房间也很温馨，虽然小，但是设计的理念使得空间不感觉压抑！不错！', 'star': 5}
{'descr': '干净', 'star': 3}
{'descr': '酒店挺好的，出行也很方便，价格还是比较合理的。', 'star': 5}
{'descr': ' 好', 'star': 3}
