{'短评内容': '房间不错，很好', '短评打分': 5}
{'短评内容': '还行，周边挺方便', '短评打分': 3}
{'短评内容': '离客户比较近，旁边吃饭娱乐地方也多，还行', '短评打分': 3}
{'短评内容': '一直住这比较方便', '短评打分': 3}
{'短评内容': '很好  很干净整洁', '短评打分': 5}
{'短评内容': '交通便利，周围吃饭方便，价格也合理', '短评打分': 5}
{'短评内容': '酒店环境还可以，地段也还行，就是服务不好，那个早餐叫差啊，几乎没什么吃的，搞个炒面面都是硬的，牛奶也没有，就一台冲泡机器，服务差评。', '短评打分': 3}
{'短评内容': '经济酒店要求不能太高，酒店服务前台不错，其它就只能哼哼了', '短评打分': 2}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '酒店挺不错 下次还会光顾', '短评打分': 5}
{'短评内容': '太感觉不好', '短评打分': 3}
{'短评内容': '交通很方便，后续有机会还会继续入住的！！', '短评打分': 5}
{'短评内容': '一般', '短评打分': 4}
{'短评内容': '一般', '短评打分': 4}
{'短评内容': '一般', '短评打分': 4}
{'短评内容': '环境还不错，服务只能说一般 \n其他还凑合', '短评打分': 5}
{'短评内容': '条件不错，交通便利，服务周到，设施干净卫生。不足之处：早餐品种太少，借用物品（剪刀）少。', '短评打分': 5}
{'短评内容': '第三次入主啦，交通方便，环境设施很不错，价格实惠！', '短评打分': 5}
{'短评内容': '价格还行，就是有点吵，另外洗澡的热水不够热，出水量有点小', '短评打分': 5}
{'短评内容': '酒店的隔音效果不是很好，在浴室能听到隔壁的声音，而且很大，觉得在自己屋里一样，很是害怕。离五爱市场近，但是又不在一条街，所以早上没有上货嘈杂的声音。酒店的硬件设施也很差，住两天，应该每天打扫卫生的，结果都没有人理。住的标间，但是毛巾只有一套！拖鞋也不是一次性的，还是建议住汉庭比较好', '短评打分': 1}
{'短评内容': '房间还不错！', '短评打分': 3}
{'短评内容': '设施挺好的，房间也很宽敞，就是服务态度不是很好！', '短评打分': 3}
{'短评内容': ' 3.5分 房间临街太吵', '短评打分': 3}
{'短评内容': '交通方便，环境不错，设施齐全，值得推荐！', '短评打分': 5}
{'短评内容': '不错的酒店，不比锦江之星差，值得推荐', '短评打分': 3}
{'短评内容': '一如既往的好，每次来北仑都要住。\n干净整洁！房间大！', '短评打分': 5}
{'短评内容': '酒店位置交通方便，室内装修设施不错，周边环境安静。', '短评打分': 5}
{'短评内容': '辽宁工业展览馆开会，推荐的，正规连锁的酒店里，性价比是最高的，上次也住过他家的中街店，不错，超值的，房间比中街店大，但好像没有中街店的新，服务也挺好\n会再去，对了订的是标准间\n;', '短评打分': 5}
{'短评内容': '酒店里有一个男服务员，态度二恶劣，不尊重顾客，一点不懂得服务，太有损酒店的质量了，强烈建议开除这种服务员，整的我在那住的几天都没个好心情，气死我了！！！', '短评打分': 1}
{'短评内容': '太他妈破了，服务态度极其恶劣，尤其是一个长的矮的一个男的，说话特别不客气，管总台借个吹风机，催了2天才给，还是让顾客从5楼自己下去拿的，还说，快点送回来，说话语气极其粗暴，然人心里不舒服极了。这样的服务员，就应该被炒鱿鱼，不然顾客都被气走了，反正有这样的服务员，我是不会再去了！！！\n恶心！！！', '短评打分': 1}
{'短评内容': '房间很脏。', '短评打分': 3}
{'短评内容': '服务态度很好，性价比很高，值得一住', '短评打分': 3}
{'短评内容': '服务态度很好，这个价格房间也算可以了。', '短评打分': 3}
{'短评内容': '环境还不错，冬天还挺暖和的，卫生间环境有点差，总体不错', '短评打分': 5}
{'短评内容': '不错,很喜欢前台接待的美女，(*^__^*) 嘻嘻…… 下次有机会还会去', '短评打分': 5}
{'短评内容': '房间很好，很温馨，有家的感觉，前台服务员也很热情 。下次还会住他家', '短评打分': 5}
{'短评内容': '酒店很不错 给人感觉很温馨  房间挺大很暖和  而且还是新装修过的    地理位置的交通也挺方便的  总体感觉很不错 前台服务业很好 值得推荐一下  下次订酒店还是它家   ', '短评打分': 5}
{'短评内容': ' 性价比可以的。就是住的这间风机叶片坏的，声音很大。', '短评打分': 3}
{'短评内容': '房间还不错 和网上看到的一样  服务员也很热情 总体感觉还不错 值得推荐', '短评打分': 5}
{'短评内容': '无意间在网上看到这家酒店  就预订了一间，来到酒店后第一感觉就像是到家了一样，北方人真的很热情 感觉心里暖暖的 ，还问我刚来北方是不是感觉不适应，真的是很为客人着想，房间也很大，很卫生，还有地热，这一百多块钱花的值！', '短评打分': 5}
