{'短评内容': '还是比较干净的，价格算是很低了', '短评打分': 3}
{'短评内容': '环境不是太好。', '短评打分': 2}
{'短评内容': '挺不错的', '短评打分': 5}
{'短评内容': '多次住在这里，还可以吧！', '短评打分': 4}
{'短评内容': '卫生一般，设施一般。', '短评打分': 3}
{'短评内容': '很安静，房间还有电脑。离长途车站也不远，到火车站也方便', '短评打分': 3}
{'短评内容': '空调太差劲了，早上冻醒了都', '短评打分': 3}
{'短评内容': '还行', '短评打分': 3}
{'短评内容': '性价比高。看起来很干净。地段也不凑。老板娘人也不错', '短评打分': 5}
{'短评内容': '可以，价格实惠，服务很亲切， 很不错，第二次入住了', '短评打分': 5}
{'短评内容': '可以，价格实惠，服务很亲切， 很不错，第二次入住了', '短评打分': 5}
{'短评内容': '蛮好的酒店·························', '短评打分': 5}
{'短评内容': '蛮好的酒店·························', '短评打分': 5}
{'短评内容': '酒店位置比较偏，周边没有吃饭的地方，房间很干净，就是太小，卫生间很难转身，房间就是一张床，空间基本没有！', '短评打分': 5}
{'短评内容': '酒店位置比较偏，周边没有吃饭的地方，房间很干净，就是太小，卫生间很难转身，房间就是一张床，空间基本没有！', '短评打分': 5}
{'短评内容': '，连衣架都没有一个，服务员回答的很干脆，马桶坏的入住也不说。', '短评打分': 3}
{'短评内容': '，连衣架都没有一个，服务员回答的很干脆，马桶坏的入住也不说。', '短评打分': 3}
