{'短评内容': '离汽车站近，对面就是', '短评打分': 5}
{'短评内容': '住了两天，感受很不错！值得推荐', '短评打分': 5}
{'短评内容': '位置好找，安静！', '短评打分': 5}
{'短评内容': '酒店很棒的', '短评打分': 5}
{'短评内容': '酒店挺好的', '短评打分': 5}
{'短评内容': '比较干净，出差首选', '短评打分': 5}
{'短评内容': '去泰安旅游嗯，市中心挺酒店装修还可以，然后再泰安市区，然后特别多，如家快捷酒店，服务也挺好的嗯，到万达广场也挺近的，打车六块钱吧，我是高铁的话，可能打车要20分钟左右，旁边就是泰安了火车站，然后这边是普通列车吧，这样的，嗯酒店旁边有很多餐饮，啊，比如说一些特色的美食店，然后还有便利店，然后水果店，买东西比较方便然后这边好像离什么银座广场也比较近，那边吃美食地图走过去也就了500米到800米之间吧，嗯那个如家的环境还是可以的，然后房间里面的卫生程度也很干净，然后空调24小时的热水也是有的，然后早上7点钟开始有早餐，然后，我不是会员，所以交了15块钱吃个早饭，然后里面咖啡喝牛奶，嗯奶茶也是有的，然后也有面包饿等等，然后一些特色的炒饭呀炒菜呀，嗯这还有一些的面，馒头啊，还有那个，有红薯，然后有粽子，然后有窝窝头，然后有花生米，然后，啊嗯，然后老爸台底下有油茶，也在房间中自己烧的也挺好的，出门出门就可以打车，然后可以去很多地方，然后泰山这边最著名的就是贪，嗯泰山那个大山吧，然后打车过去差不多十几块钱也蛮近的，然后晚上回来住酒店挺好的嗯，我家这边还是蛮好的，蛮干净的，大家可以来旅游的时候都住住呀', '短评打分': 5}
{'短评内容': '一直相信京东，选择京东。没有一次让我失望。', '短评打分': 5}
{'短评内容': '住的很舒服就是酒店电视实在太老了该换个新的了', '短评打分': 5}
{'短评内容': '不错，房间环境，服务也很好，房间里没什么异味', '短评打分': 5}
{'短评内容': '还不错！！！', '短评打分': 5}
{'短评内容': '环境很好，离车站很近', '短评打分': 5}
{'短评内容': '价格便宜很不错，的服务很热情，很体贴的享受，环境也不错，价格便宜很不错，的服务很热情，很体贴的享受，环境也不错', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '车站很近就是小，特别小很小，总体一般化', '短评打分': 3}
{'短评内容': '一般般，没想象中的好，，，', '短评打分': 5}
{'短评内容': '很不错，住得很舒服～', '短评打分': 4}
{'短评内容': '挺好的', '短评打分': 5}
{'短评内容': '不错 值得推荐，离车站很近', '短评打分': 5}
{'短评内容': '很好很舒服', '短评打分': 5}
{'短评内容': '出门基本上都住 如家！习惯了', '短评打分': 5}
{'短评内容': '位置很方便的，从青岛动车过来泰山站下，5块钱出租车可到，对面就是汔车站。', '短评打分': 5}
{'短评内容': '标准的如家，可以推荐标准的如家，可以推荐标准的如家，可以推荐', '短评打分': 5}
{'短评内容': '房间小,卫生和服务还不错.楼下不远有个小吃街,价格还不贵.', '短评打分': 5}
{'短评内容': '此酒店除了房间小了些，其他还不错，卫生、服务都比较不错。', '短评打分': 5}
{'短评内容': '条件还可以，就是离商场有点远，房间还是很干净的，楼下小吃很多，味道不错', '短评打分': 5}
{'短评内容': '感觉地方挺小的 而且在泰安感觉挺乱的，不过就住一天 而且是4月放假的前一天，所以价钱还没有浮动，第二天就没房了 而且还涨价 呵呵~~  房间很小，真的很小，照比其他中小城市的房间来说，要小了很多，但是只住一晚，没什么 如家在全国来说不用担心其他热水和干部干净等问题，就图个放心了，不过最近报说如家这些连锁酒店卫生条件也过不去了，哎！！~~~找谁说理去 ', '短评打分': 5}
{'短评内容': '服务生态度不错。屋子还挺干净的。交通方便。', '短评打分': 5}
{'短评内容': '环境不错，建议电视换成液晶的，尺寸再大点', '短评打分': 5}
{'短评内容': '挺干净，坐车也方便，就是有的前台服务不是很好。', '短评打分': 5}
{'短评内容': '酒店干净舒适，地理位置很棒。员工非常热情。很值得。', '短评打分': 3}
{'短评内容': '蛮舒适度的，也比较干净、整洁，只是毛巾不是很白，不过看起来应该是洗过消毒过的，服务员态度很好', '短评打分': 5}
{'短评内容': '环境清静，卫生条件好，房间隔音效果不太好。总的还是挺不错的', '短评打分': 5}
{'短评内容': '如家的酒店一般都差不多。挺干净的。早餐不是很好。', '短评打分': 5}
{'短评内容': '环境温馨，服务态度好，晚上也安静', '短评打分': 3}
{'短评内容': ' 酒店总的来说近行 就是噪音有点大', '短评打分': 3}
{'短评内容': '1、为了去方特提前预订的此家酒店，酒店的位置还不错，离泰安汽车站非常近，离泰安火车站直线距离很近，但是是在火车站的背对位置，因为我们去的时间比较晚附近没有什么大型的超市，饭店也很少，只有一家饺子店。价格比别的连锁经济型宾馆稍微贵一点。\n\n2、下面说说房间吧。房间不是太大，不过还是一如既往的干净、温馨。\n\n下次入住还是会继续选择如家。', '短评打分': 5}
{'短评内容': '房间宽敞明亮 服务态度好  早餐也特别好吃啊', '短评打分': 5}
{'短评内容': '算是在泰安比较繁华的地段了，附近有银座等大超市，比较方便。店内环境不错，服务态度亲切。', '短评打分': 5}
{'短评内容': '房间很大很干净，离长途汽车站也很近，推荐', '短评打分': 5}
{'短评内容': '帮父母预定的，他们回来说环境很好，地理位置很方便，离火车站很近，出站后开车绕了一下才10分钟就到了（走路也许可以直接穿过去），虽然靠近长途车站，但是不吵闹，价格也适中，很合“如家”这个名字。说下次出行还住如家。', '短评打分': 5}
{'短评内容': '快捷酒店安全干净，方便快捷。虽然房间小，但是还是比较温馨。', '短评打分': 5}
{'短评内容': '大床房有点儿小\n不知道是不是所有的房间都是这样', '短评打分': 5}
{'短评内容': '工作人员态度很好非常满意', '短评打分': 3}
