{'短评内容': '房间很大，服务好，就是没有暖气，只能用空调。', '短评打分': 5}
{'短评内容': '房间比较大，服务也好，就是没有暖气，用的是空调。', '短评打分': 5}
{'短评内容': '还可以，交通比较方便', '短评打分': 5}
{'短评内容': '特价大床房，没窗，卫生还行，就是有点不隔音，晚上楼道可能有入住的，很是吵闹了一阵', '短评打分': 4}
{'短评内容': '帮朋友订的，她说不错性价比高', '短评打分': 5}
{'短评内容': '酒店还不错，没觉得有什么不好的', '短评打分': 5}
{'短评内容': '住着舒服，服务还可以吧', '短评打分': 5}
{'短评内容': '空调一晚上都不出热风，太晚了也没找服务员维修。', '短评打分': 5}
{'短评内容': '还不错吧，快捷酒店里也就速8还凑合。', '短评打分': 5}
{'短评内容': '很不错，很好非常不错的宾馆，推荐大家入住这家，方便快捷干净卫生，大小得体温馨如家，适合出游办公休息的好地方！', '短评打分': 5}
{'短评内容': '屋子还算大，就是不太暖和', '短评打分': 5}
{'短评内容': '商务酒店就算不错啦', '短评打分': 3}
{'短评内容': '一楼有门禁，这个价格还有双早，真不错，楼下是超市，很方便，不过速八会员是138，和148评价反10元一样，希望下次携程可以更便宜点，好评', '短评打分': 5}
{'短评内容': '还好', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '还不错，比较干净，价钱合理', '短评打分': 4}
{'短评内容': '位置方便！卫生还可以！刷卡上电梯安全！前台服务不错！空调取暖！没有暖气！', '短评打分': 5}
{'短评内容': '挺安静的，前台服务员挺好的。住的挺好的', '短评打分': 5}
{'短评内容': '在速8小汤山店住了3天，环境不错，服务也很好，前台接待大厅还有上网的电脑，晚上回来查查第二天的行程挺好。', '短评打分': 5}
