{'短评内容': '套间不错，有家居用品，适合一家人住。', '短评打分': 4}
{'短评内容': '环境不错，方便', '短评打分': 5}
{'短评内容': '房间很大，不错呀', '短评打分': 5}
{'短评内容': '四环路边上，交通方便，生活配套不方便，其他还算可以。', '短评打分': 4}
{'短评内容': '性价比高', '短评打分': 5}
{'短评内容': '性价比高', '短评打分': 5}
{'短评内容': '地方还不错，主要是交通方便，靠近地铁站，市区，打车也不远，房间也还行，算性价比比较高的酒店了，还精彩有优惠。', '短评打分': 5}
{'短评内容': '不错的酒店，400元，划算。。。。。，离鸟巢水立方很近，晚上可以去逛逛。。。。。。。。。kdkkddjdjffjdj', '短评打分': 5}
{'短评内容': '非常好的说，虽然旧但是很clean服务很nice周边配套很convenient,是很喜欢的style，', '短评打分': 5}
{'短评内容': '挺好的', '短评打分': 5}
{'短评内容': '服务态度很高，很热情', '短评打分': 5}
{'短评内容': '房间大，设施齐全，装修确实旧一点，但很干净', '短评打分': 5}
{'短评内容': '在北京来说，这个价格的确很不错！下次会继续住', '短评打分': 4}
{'短评内容': '中规中矩，挺好', '短评打分': 5}
{'短评内容': '多次入住了，服务比较规范。', '短评打分': 4}
{'短评内容': '好好好好好好好好', '短评打分': 5}
{'短评内容': '习惯住这里', '短评打分': 5}
{'短评内容': '不错的宾馆。设施老了点', '短评打分': 5}
{'短评内容': '性价比很好、很舒适、给力。。。', '短评打分': 5}
{'短评内容': '地方大，环境好，服务好，设施齐全，交通便利', '短评打分': 5}
{'短评内容': '吃饭不太方便，酒店大小还好，但设施有点旧', '短评打分': 1}
{'短评内容': '酒店服务热情。', '短评打分': 3}
{'短评内容': '很安静，游水立方八达岭很方便。', '短评打分': 3}
{'短评内容': '地点方便，去鸟巢，国家会议中心都很近，性价比不錯！', '短评打分': 5}
{'短评内容': '地点方便，去鸟巢，国家会议中心都很近，性价比不錯', '短评打分': 5}
{'短评内容': '地点方便，性价比不錯', '短评打分': 3}
{'短评内容': '地点方便，性价比不錯', '短评打分': 3}
{'短评内容': ' 房间好大啊，而且电视有国外电视台频道，很满意！', '短评打分': 3}
{'短评内容': '酒店性价比很高，值得入住，下次还会入住，如果早餐能够经常换花样就更好了', '短评打分': 5}
{'短评内容': '酒店还好。', '短评打分': 3}
{'短评内容': ' 不错的酒店', '短评打分': 3}
{'短评内容': '不错的酒店，房间还有空调和洗衣机，免费游泳，酒店旁边的烧烤也可以！', '短评打分': 5}
{'短评内容': '如果是到奥运村附近出差，这家酒店性价比相当高，还可以免费游泳，不错不错！', '短评打分': 5}
{'短评内容': '优点：房间比较宽敞，隔音效果很好，临近四环，窗户一关，声音就没了。里面设施齐备，就是烫裤子的那个DD客服都不怎么会用。客服态度好，有事一打电话就来了。靠近奥林匹克公园，看鸟巢、水立方的话走走10分钟左右就到了，很方便。\n不足：房内的灯实在是太暗了，想看看地图都要拿手电照（房间里有），建议换节能灯。卫生间稍小了些，客服服务欠主动，一双拖鞋穿了3、4天还要打电话了才换。\n总体：推荐', '短评打分': 5}
{'短评内容': '住的是公寓B，总体说来只能是一般般，客房设施陈旧，尤其是卫生间设备太旧了，门都变形的开关不顺，早餐只能用一个“差”来评价，住在这里的唯一理由就是自己开车来的，开车出行还算方便，如果能免费停车就更好了。', '短评打分': 5}
{'短评内容': '已入住外国专家大厦还不错', '短评打分': 3}
{'短评内容': '真不错，入住标准间房间升级成公寓式的，一室一厅，有冰箱、洗衣机、微波炉……超值！', '短评打分': 5}
{'短评内容': '很不错了,定的一室一厅的套间，免费升级了。有厅，看但是不会影响别人，O(∩_∩)O~', '短评打分': 5}
{'短评内容': ' 退房寄存不方便 其中都可以', '短评打分': 3}
{'短评内容': '酒店真的不错，有游泳池，值得入住，如果早餐不是每天都一样就更好了，希望多些创新', '短评打分': 5}
{'短评内容': '很不错', '短评打分': 3}
{'短评内容': '室内装修太陈旧，服务还好！', '短评打分': 3}
{'短评内容': '还不错，套房设施齐全，服务好，晚上也很安静，就是交通略有不便。', '短评打分': 5}
{'短评内容': '很不错，再次加定了一天', '短评打分': 3}
{'短评内容': '宾馆很好,下次还来住。', '短评打分': 3}
{'短评内容': '强烈推荐，套间面积大，设施齐全，很有档次，前台服务很到位，作为四星级酒店性价比很高，下次还回来', '短评打分': 5}
{'短评内容': '很不错，带客厅，相互不干扰，又加定了一天', '短评打分': 3}
{'短评内容': '房间比较大，而且整洁千净', '短评打分': 3}
{'短评内容': '酒店性价比不错，早餐虽然比其它四星的差些，不过这个价格算不过的，值得入住', '短评打分': 5}
{'短评内容': '宾馆环境好,服务好,下次还要来住', '短评打分': 3}
{'短评内容': '很不错，房间大，带客厅，看电视不影响同伴:-)', '短评打分': 5}
{'短评内容': ' 比较满意。一个我在意的问题是，如果你周末过中途离店，你有食品剩下，不能寄存，就算你隔天再住', '短评打分': 3}
{'短评内容': '已入住，还不错，可是没早餐。装修不算最新，但是挺干净。', '短评打分': 3}
{'短评内容': '比较老的酒店，感觉有点80年代对外的那种老宾馆，里面都东西都比较旧了点，但是靠近鸟巢附近，周边交通还算方便，性价比一般。', '短评打分': 5}
{'短评内容': '地方够大，设施齐全，性价比不错。', '短评打分': 3}
{'短评内容': '环境好、卫生好、条件好，我还会推荐朋友去北京都住此酒店。', '短评打分': 5}
{'短评内容': '前台服务很好。仅因为我们订的两间房相距太远，就帮我们免费升级到一居室。\n房间内生活用具齐全。\n隔音不错。\n房间干净。', '短评打分': 5}
{'短评内容': '服务不错，但设备比较陈旧。', '短评打分': 3}
{'短评内容': '很满意，但是套房中标准间床小了一点，特别是可以寄包，谢谢！', '短评打分': 5}
{'短评内容': '在北四环，离地铁一站半公交车程。去家乐福比较近。酒店比较干净。', '短评打分': 5}
{'短评内容': '出了地铁，走路十五分钟左右能到，路上还有一家比较大的家乐福，可以去买日常用品。酒店在立交桥旁边，很好找。', '短评打分': 5}
{'短评内容': '第二次住了，离奥体中心体育馆好近，方便', '短评打分': 3}
{'短评内容': '酒店很好,干净', '短评打分': 3}
{'短评内容': '性价比高，空间很大，布局温馨，有家的感觉，适于家人一起旅行居住，但设施有些陈旧。', '短评打分': 3}
{'短评内容': '还好,性价比尚可;但服务水准还需提高;第3天竟然发现房间内网线连不上', '短评打分': 5}
{'短评内容': '很好 挂牌4星', '短评打分': 3}
{'短评内容': '不错不错。性价比非常好！！哈哈哈哈哈哈哈哈哈啊啊啊哈', '短评打分': 5}
{'短评内容': '非常好，普通标间还是一室一厅呢，太棒了，哈哈哈哈哈哈哈哈哈啊啊啊哈', '短评打分': 5}
{'短评内容': '离鸟巢与水立方都很近，晚上散步过去非常方便。', '短评打分': 5}
{'短评内容': '虽然在四环边上，但是房间里听不到马路噪音，很赞。特别是有房客（估计是某国专家）用路由器，使得忘带路由器的我也可以用ipad上网，赞一个。', '短评打分': 5}
{'短评内容': '酒店大堂气派，很多外国人，出行不是很方便。', '短评打分': 5}
{'短评内容': '还不错.早餐较好.房间细节和服务还需加强.', '短评打分': 5}
{'短评内容': '房间还是蛮好的，大小舒适，就是硬件设施还是老旧了些。不过一室一厅公寓和图片展示的差了些。。总体来说还是不错的，朋友很喜欢，有家的感觉~', '短评打分': 5}
{'短评内容': '挺好的，房间大，价钱也还行，停车还要收10元钱，早餐一般', '短评打分': 5}
{'短评内容': '挺好的，住了好多次了，安静，价格也还行，就是早餐一般，房间大', '短评打分': 5}
{'短评内容': '很不错，住着很舒服，设施也齐全，下次去北京还会考虑住在这里', '短评打分': 5}
{'短评内容': '消费偏贵，大概是针对老外的吧； 服务态度一般。酒店设施陈旧。', '短评打分': 5}
{'短评内容': '满意，很好，如能两个卫生间就更好了', '短评打分': 3}
{'短评内容': '很不错的酒店，以后有机会还要住这里。但是早餐的品种太少，有些遗憾', '短评打分': 5}
{'短评内容': '每天下午会有服务员敲门问是否要整理房间，而房间已经整理好了！服务方式啊！', '短评打分': 3}
{'短评内容': '室外网球很好！', '短评打分': 3}
{'短评内容': '外国人很多，酒店很干净，卫生，价格也不贵，床稍有点硬，早餐还是很不错的。', '短评打分': 3}
{'短评内容': ' 房间很大 方便', '短评打分': 3}
{'短评内容': '酒店位置不错, 但房间设施显得不够温馨,早餐比较简单.', '短评打分': 5}
{'短评内容': '比较干净整洁，服务态度好！下次有机会到北京旅游或出差，还会预定北京外国专家大厦，希望继续保持顾客至上的服务精神！', '短评打分': 5}
{'短评内容': '设施旧了点，服务不错。停车过夜需收费10元，不合理', '短评打分': 5}
{'短评内容': '酒店离鸟巢很近，去颐和园，北大清华都很方便。设施旧了点，服务不错。停车过夜需收费10元，虽不免费比别处便宜，管理好多了。', '短评打分': 3}
{'短评内容': '酒店环境、设施都很好，适合给比较重要的客人预定。', '短评打分': 5}
{'短评内容': '我已成功入住北京外国专家大夏，感觉非常好。', '短评打分': 3}
{'短评内容': '早餐真的需要去靠量，既然提供就应该把他做好，西餐也没有，涉外的功能如何体现呢？', '短评打分': 5}
{'短评内容': '交通便利，食宿方便。就是不知道泳池如何。', '短评打分': 5}
{'短评内容': 'このホテルに3日泊まりましたが、部屋が広く、サービスがよかったです。\nもし、機会があれば、また利用しようと思っています。', '短评打分': 5}
{'短评内容': '很不错的一个酒店！房间环境很好，设施也齐全！早餐有点不够丰富，不过房间里提供的微波炉、冰箱，能给为自己准备早餐提供方便，所以可以接受！\n', '短评打分': 5}
{'短评内容': '房间布局很合理,有厨房,阳台,有家的感觉,而且被子很舒服!', '短评打分': 5}
{'短评内容': '服务规范，饭店整洁，房间安静。商务出差是很不错的选择。', '短评打分': 5}
{'短评内容': '房间是帮领导定的，领导感觉房间环境挺好，对酒店的硬件也比较满意。', '短评打分': 5}
{'短评内容': '不错，一室一厅带厨房，家庭气氛，干净整洁，冰箱，洗衣机等等，适合长居几天，价格还很公道。', '短评打分': 3}
{'短评内容': '离路边近，交通方便。环境不错，住的是一室一厅的房间，房间较大', '短评打分': 5}
{'短评内容': '总体还不错啦，奢侈虽然年代感重了点，结构比较合理、服务人员也不错~', '短评打分': 5}
{'短评内容': '特价房的性价比很高，400元套间，带客厅和厨房，适合一家三口旅游。只是特价房不常有。', '短评打分': 5}
{'短评内容': '酒店条件不错', '短评打分': 3}
{'短评内容': '免费升级一居室，可是宽带位置太悲催，房间都没有办公桌，能用的只有餐桌！', '短评打分': 3}
{'短评内容': '我在房间能看到鸟巢。酒店的服务态度非常不错，就连门口的保安都很热心帮我们解决问题', '短评打分': 5}
{'短评内容': '性价比极高，公寓式酒店做的跟自己家里一样，既舒适又温馨，卫生和服务都没的说，还有免费的游泳健身，早餐也还不错，468的价格真是超值啊！', '短评打分': 5}
{'短评内容': '酒店很不错，房间很好，下次还住这里----------', '短评打分': 5}
{'短评内容': '临近四环交通方便、酒店设施好，服务人员态度好，值得推荐', '短评打分': 5}
{'短评内容': '很好的酒店，性价比非常高！建议大家来北京出差就住这家酒店...', '短评打分': 5}
{'短评内容': '呵呵很好，地理位置好，价钱不贵！！不错不错！', '短评打分': 5}
{'短评内容': '非常好的酒店，住的很舒服，已经成了我的定点酒店了。唯一不足的是娱乐休闲项目太少。', '短评打分': 5}
{'短评内容': '前台服务员工作素质需要提高，特别是哪位负责的。', '短评打分': 1}
{'短评内容': '酒店位置很好，可以看到鸟巢。服务态度不错，办理手续也不耽误时间。', '短评打分': 5}
{'短评内容': '总体感觉很好，因为旧一些，厕所门关不上。停车场开始收费了。', '短评打分': 5}
{'短评内容': '非常好，安静舒适。房间设施齐全，面积超大，物有所值。', '短评打分': 5}
{'短评内容': '酒店开净舒适感', '短评打分': 3}
{'短评内容': 'The lock of the toilet was broken. We decided to ask for a repairment. it was done in the afternoon. Very efficiant.\n', '短评打分': 5}
{'短评内容': '在北四环，位置方便，去清华北大，奥体中心等都行，服务细心，就是设施有点儿陈旧，总体说还行。', '短评打分': 5}
